鹌鹑蛋,an'chun'dan
白醋,bai'cu
百合,bai'he
白胡椒粉包,bai'hu'jiao'fen'bao
白灵菇,bai'ling'gu
白萝卜,bai'luo'bo
白糖,bai'tang
白芝麻,bai'zhi'ma
板栗,ban'li
鲍鱼汁,bao'yu'zhi
饼干,bing'gan
冰片糖,bing'pian'tang
薄荷叶,bo'he'ye
菜芨,cai'ji
菜籽油,cai'zi'you
草菇,cao'gu
草头,cao'tou
茶树菇,cha'shu'gu
长血,chang'xue
超大土豆,chao'da'tu'dou
陈皮,chen'pi
粗辣椒面,cu'la'jiao'mian
大白菜,da'bai'cai
大包金针菇,da'bao'jin'zhen'gu
大菠菜,da'bo'cai
大土豆,da'tu'dou
大香菜,da'xiang'cai
大洋兰,da'yang'lan
淡菜,dan'cai
当归片,dang'gui'pian
党参,dang'shen
刀豆,dao'dou
刀切馒头,dao'qie'man'tou
冬瓜,dong'gua
豆瓣酱,dou'ban'jiang
豆腐乳,dou'fu'ru
二锅头,er'guo'tou
番茄,fan'qie
番茄酱,fan'qie'jiang
风车生粉,feng'che'sheng'fen
腐竹,fu'zhu
咖喱粉,ga'li'fen
干贝,gan'bei
干豇豆,gan'jiang'dou
干椒段,gan'jiao'duan
干辣椒,gan'la'jiao
枸杞,gou'qi
广东菜心,guang'dong'cai'xin
桂皮,gui'pi
桂圆,gui'yuan
哈密瓜,ha'mi'gua
海带结,hai'dai'jie
海带丝,hai'dai'si
海带头,hai'dai'tou
海狮油,hai'shi'you
杭白菜,hang'bai'cai
杭椒,hang'jiao
蒿子,hao'zi
河粉,he'fen
荷兰芹,he'lan'qin
黑木耳,hei'mu'er
红尖椒,hong'jian'jiao
红椒,hong'jiao
红辣椒粉,hong'la'jiao'fen
红薯,hong'shu
红星沙茶酱,hong'xing'sha'cha'jiang
红腰豆,hong'yao'dou
红枣,hong'zao
胡萝卜,hu'luo'bo
花边纸,hua'bian'zhi
花菜,hua'cai
花雕酒,hua'diao'jiu
花椒粉,hua'jiao'fen
黄豆芽,huang'dou'ya
黄瓜,huang'gua
黄咸菜,huang'xian'cai
黄油,huang'you
鸡蛋,ji'dan
鸡粉,ji'fen
鸡架,ji'jia
鸡毛菜,ji'mao'cai
鸡腿菇,ji'tui'gu
豇豆,jiang'dou
姜肉,jiang'rou
酱鸭,jiang'ya
金百叶,jin'bai'ye
金针菇,jin'zhen'gu
京葱,jing'cong
精盐,jing'yan
精制盐,jing'zhi'yan
韭菜,jiu'cai
韭菜花,jiu'cai'hua
韭黄,jiu'huang
桔子,ju'zi
卷心菜,juan'xin'cai
烤麸,kao'fu
空心菜,kong'xin'cai
苦瓜,ku'gua
腊鸭舌,la'ya'she
