阿青,a'qing
袁家,yuan'jia
月余,yue'yu
枣坪,zao'ping
寨塬头,zhai'yuan'tou
张多,zhang'duo
张家,zhang'jia
张家沟,zhang'jia'gou
张家滩,zhang'jia'tan
张家窑科,zhang'jia'yao'ke
张家塬,zhang'jia'yuan
张罗沟,zhang'luo'gou
张台,zhang'tai
张阳,zhang'yang
赵家圪塔,zhao'jia'ge'ta
赵家塬,zhao'jia'yuan
赵家庄,zhao'jia'zhuang
赵见,zhao'jian
赵庄,zhao'zhuang
郑庄,zheng'zhuang
中村,zhong'cun
朱家河,zhu'jia'he
桌子岭,zhuo'zi'ling
左溪,zuo'xi
