氨基端,an'ji'duan
靶标识别,ba'biao'shi'bie
胞嘧啶,bao'mi'ding
保守序列,bao'shou'xu'lie
比对,bi'dui
比对的比对,bi'dui'de'bi'dui
编码序列,bian'ma'xu'lie
变性蛋白质,bian'xing'dan'bai'zhi
表达谱,biao'da'pu
表达序列标签,biao'da'xu'lie'biao'qian
标度树,biao'du'shu
表型,biao'xing
残基,can'ji
操纵子,cao'zong'zi
操纵子序列,cao'zong'zi'xu'lie
侧链,ce'lian
测序,ce'xu
插入或删除,cha'ru'huo'shan'chu
插入序列,cha'ru'xu'lie
常染色质,chang'ran'se'zhi
超二级结构,chao'er'ji'jie'gou
超家族,chao'jia'zu
沉默子,chen'mo'zi
打分矩阵,da'fen'ju'zhen
带电氨基酸,dai'dian'an'ji'suan
蛋白质测序,dan'bai'zhi'ce'xu
蛋白质电泳,dan'bai'zhi'dian'yong
蛋白质骨架,dan'bai'zhi'gu'jia
蛋白质结构预测线索法,dan'bai'zhi'jie'gou'yu'ce'xian'suo'fa
蛋白质组,dan'bai'zhi'zu
蛋白质组学,dan'bai'zhi'zu'xue
单核苷酸多态性,dan'he'gan'suan'duo'tai'xing
等位基因,deng'wei'ji'yin
等值区,deng'zhi'qu
颠换,dian'huan
点接受突变,dian'jie'shou'tu'bian
点阵图,dian'zhen'tu
动态规划,dong'tai'gui'hua
对数几率矩阵,dui'shu'ji'lv'ju'zhen
多重序列比对,duo'chong'xu'lie'bi'dui
多核苷酸,duo'he'gan'suan
多聚腺苷酸化,duo'ju'xian'gan'suan'hua
多顺反子,duo'shun'fan'zi
多肽,duo'tai
二级结构,er'ji'jie'gou
二硫键,er'liu'jian
二肽,er'tai
发夹环,fa'jia'huan
反向平行,fan'xiang'ping'xing
翻译,fan'yi
非标度树,fei'biao'du'shu
非加权分组平均法,fei'jia'quan'fen'zu'ping'jun'fa
非简并位点,fei'jian'bing'wei'dian
非信息位点,fei'xin'xi'wei'dian
分支,fen'zhi
分支约束法,fen'zhi'yue'shu'fa
分子克隆,fen'zi'ke'long
分子模型化,fen'zi'mo'xing'hua
分子图形学,fen'zi'tu'xing'xue
分子钟,fen'zi'zhong
负调控,fu'tiao'kong
构象,gou'xiang
固有终止子,gu'you'zhong'zhi'zi
管家基因,guan'jia'ji'yin
核磁共振,he'ci'gong'zhen
核苷酸,he'gan'suan
核酶,he'mei
核糖核酸,he'tang'he'suan
核糖体,he'tang'ti
核心折叠,he'xin'zhe'die
互补的,hu'bu'de
活化位点,huo'hua'wei'dian
基本的局部比对搜索工具,ji'ben'de'ju'bu'bi'dui'sou'suo'gong'ju
计算分子生物学,ji'suan'fen'zi'sheng'wu'xue
极性氨基酸,ji'xing'an'ji'suan
极性键,ji'xing'jian
基因,ji'yin
基因本体论,ji'yin'ben'ti'lun
基因表达,ji'yin'biao'da
基因表达的系列分析,ji'yin'biao'da'de'xi'lie'fen'xi
基因次序,ji'yin'ci'xu
基因内容,ji'yin'nei'rong
基因识别,ji'yin'shi'bie
基因树,ji'yin'shu
基因水平转移,ji'yin'shui'ping'zhuan'yi
基因文库,ji'yin'wen'ku
基因型,ji'yin'xing
基因组,ji'yin'zu
基因组学,ji'yin'zu'xue
甲基化,jia'ji'hua
家族,jia'zu
简并性,jian'bing'xing
碱基对,jian'ji'dui
剪接,jian'jie
剪接体,jian'jie'ti
简约性,jian'yue'xing
节点,jie'dian
结构蛋白,jie'gou'dan'bai
结构域,jie'gou'yu
茎干,jing'gan
晶体,jing'ti
局部比对,ju'bu'bi'dui
聚合酶链反应,ju'he'mei'lian'fan'ying
距离变换法,ju'li'bian'huan'fa
开放阅读框,kai'fang'yue'du'kuang
可变剪接,ke'bian'jian'jie
克隆,ke'long
空位,kong'wei
空位罚分,kong'wei'fa'fen
连锁图谱,lian'suo'tu'pu
连续交叠群,lian'xu'jiao'die'qun
邻近归并法,lin'jin'gui'bing'fa
磷酸二酯键,lin'suan'er'zhi'jian
酶,mei
嘧啶,mi'ding
密码子,mi'ma'zi
模式判别分析,mo'shi'pan'bie'fen'xi
内部节点,nei'bu'jie'dian
内含子,nei'han'zi
内群,nei'qun
逆转录,ni'zhuan'lu
逆转录酶,ni'zhuan'lu'mei
鸟嘌呤,niao'piao'ling
凝胶电泳,ning'jiao'dian'yong
旁系同源物,pang'xi'tong'yuan'wu
匹配得分,pi'pei'de'fen
嘌呤,piao'ling
启动子序列,qi'dong'zi'xu'lie
启发式方法,qi'fa'shi'fang'fa
起始罚分,qi'shi'fa'fen
起始复合物,qi'shi'fu'he'wu
起始密码子,qi'shi'mi'ma'zi
起始序列,qi'shi'xu'lie
亲水的,qin'shui'de
氢键,qing'jian
穷举搜索,qiong'ju'sou'suo
趋同进化,qu'tong'jin'hua
全局比对,quan'ju'bi'dui
染色体,ran'se'ti
染色质,ran'se'zhi
人类基因组计划,ren'lei'ji'yin'zu'ji'hua
三级结构,san'ji'jie'gou
三联密码,san'lian'mi'ma
神经网络,shen'jing'wang'luo
生物计算,sheng'wu'ji'suan
生物信息学,sheng'wu'xin'xi'xue
失配打分,shi'pei'da'fen
疏水氨基酸,shu'shui'an'ji'suan
疏水的,shu'shui'de
疏水折叠,shu'shui'zhe'die
双重简并位点,shuang'chong'jian'bing'wei'dian
四重简并位点,si'chong'jian'bing'wei'dian
四级结构,si'ji'jie'gou
羧基端,suo'ji'duan
肽,tai
肽键,tai'jian
探针,tan'zhen
特征,te'zheng
替换,ti'huan
天然结构,tian'ran'jie'gou
调控,tiao'kong
同义替换,tong'yi'ti'huan
同源序列,tong'yuan'xu'lie
突变,tu'bian
推断树,tui'duan'shu
推断祖先,tui'duan'zu'xian
拓扑结构,tuo'pu'jie'gou
脱氧核糖核酸,tuo'yang'he'tang'he'suan
外部节点,wai'bu'jie'dian
外群,wai'qun
外显子,wai'xian'zi
伪基因,wei'ji'yin
伪结,wei'jie
微卫星,wei'wei'xing
微阵列,wei'zhen'lie
微阵列实验的最小信息,wei'zhen'lie'shi'yan'de'zui'xiao'xin'xi
位置特异性打分矩阵,wei'zhi'te'yi'xing'da'fen'ju'zhen
无根树,wu'gen'shu
物理图谱,wu'li'tu'pu
物种树,wu'zhong'shu
系统发生树,xi'tong'fa'sheng'shu
系统生物学,xi'tong'sheng'wu'xue
先导化合物,xian'dao'hua'he'wu
腺嘌呤,xian'piao'ling
限制性酶切图谱,xian'zhi'xing'mei'qie'tu'pu
限制性酶切位点,xian'zhi'xing'mei'qie'wei'dian
限制性内切酶,xian'zhi'xing'nei'qie'mei
小卫星,xiao'wei'xing
胸腺嘧啶,xiong'xian'mi'ding
序列,xu'lie
序列标记位点,xu'lie'biao'ji'wei'dian
序列两两比对,xu'lie'liang'liang'bi'dui
序列模式,xu'lie'mo'shi
药物基因组学,yao'wu'ji'yin'zu'xue
遗传图谱,yi'chuan'tu'pu
一级结构,yi'ji'jie'gou
异染色质,yi'ran'se'zhi
异义替换,yi'yi'ti'huan
抑制剂,yi'zhi'ji
一致序列,yi'zhi'xu'lie
印迹和杂交,yin'ji'he'za'jiao
隐马尔柯夫模型,yin'ma'er'ke'fu'mo'xing
有根树,you'gen'shu
阅读框,yue'du'kuang
增强子,zeng'qiang'zi
折叠,zhe'die
正调控,zheng'tiao'kong
支持向量机,zhi'chi'xiang'liang'ji
直系同源物,zhi'xi'tong'yuan'wu
中心法则,zhong'xin'fa'ze
中性突变,zhong'xing'tu'bian
终止密码子,zhong'zhi'mi'ma'zi
主成分分析,zhu'cheng'fen'fen'xi
逐对加和,zhu'dui'jia'he
转换,zhuan'huan
转录,zhuan'lu
转录组,zhuan'lu'zu
转座子,zhuan'zuo'zi
准全局比对,zhun'quan'ju'bi'dui
自举检验,zi'ju'jian'yan
自然选择,zi'ran'xuan'ze
自组织映射神经网络,zi'zu'zhi'ying'she'shen'jing'wang'luo
最大似然法,zui'da'si'ran'fa
最近邻分类法,zui'jin'lin'fen'lei'fa
