阿公,a'gong
阿妈,a'ma
阿婆,a'po
阿爷,a'ye
阿祖公,a'zu'gong
阿祖妈,a'zu'ma
挨电扯倒,ai'dian'che'dao
矮哥,ai'ge
矮瓜,ai'gua
艾话,ai'hua
捱佬,ai'lao
矮妹,ai'mei
矮婆,ai'po
矮仔,ai'zai
挨捉,ai'zhuo
暗磅磅,an'bang'bang
暗黑,an'hei
昂婆,ang'po
昂仔,ang'zai
巴闭,ba'bi
罢就,ba'jiu
扒蛇,ba'she
笆筒,ba'tong
巴渣,ba'zha
八爪鱼,ba'zhua'yu
八足,ba'zu
白抽,bai'chou
白糍籺,bai'ci'he
白粉妹,bai'fen'mei
百汇,bai'hui
白捻,bai'nian
百捻佬,bai'nian'lao
拜山,bai'shan
白斩,bai'zhan
白斩鸡,bai'zhan'ji
白斩鸭,bai'zhan'ya
扳手,ban'shou
班鱼,ban'yu
饱颈,bao'jing
暴口枣,bao'kou'zao
褒水石,bao'shui'shi
爆中,bao'zhong
煲粥,bao'zhou
爆庄,bao'zhuang
爆桩,bao'zhuang
北海佬,bei'hai'lao
北河塘,bei'he'tang
背脊,bei'ji
畚箕,ben'ji
崩高,beng'gao
绷颈老亚,beng'jing'lao'ya
鼻弓,bi'gong
壁公鼠,bi'gong'shu
逼薯藤叶,bi'shu'teng'ye
憋颈,bie'jing
槟榔芋,bing'lang'yu
伯公,bo'gong
簸箕,bo'ji
簸箕籺,bo'ji'he
跛脚,bo'jiao
薄连,bo'lian
伯妈,bo'ma
膊头,bo'tou
驳头,bo'tou
波罩,bo'zhao
波子,bo'zi
布露,bu'lu
猜码,cai'ma
菜头,cai'tou
菜头膏,cai'tou'gao
草花蛇,cao'hua'she
差佬,cha'lao
常日,chang'ri
常日跟倒我屎弗尾做密低,chang'ri'gen'dao'wo'shi'fu'wei'zuo'mi'di
长袖衫,chang'xiu'shan
车车转,che'che'zhuan
车大炮,che'da'pao
扯人,che'ren
扯注,che'zhu
趁势,chen'shi
沉睡,chen'shui
趁圩,chen'xu
撑铲,cheng'chan
撑撸,cheng'lu
撑硬颈,cheng'ying'jing
吃低,chi'di
吃低蛮,chi'di'man
池菇,chi'gu
吃坏米,chi'huai'mi
炽火,chi'huo
炽面前,chi'mian'qian
吃日中,chi'ri'zhong
痴线,chi'xian
吃夜晚,chi'ye'wan
豉油,chi'you
吃早朝,chi'zao'chao
抽凳搭脚,chou'deng'da'jiao
愁心,chou'xin
抽心,chou'xin
出日头落鬼雨掴烂沙褒无米煮,chu'ri'tou'luo'gui'yu'guai'lan'sha'bao'wu'mi'zhu
