矮脚虎王英,ai'jiao'hu'wang'ying
八臂哪吒项充,ba'bi'ne'zha'xiang'chong
白花蛇杨春,bai'hua'she'yang'chun
白面郎君郑天寿,bai'mian'lang'jun'zheng'tian'shou
白日鼠白胜,bai'ri'shu'bai'sheng
百胜将军韩滔,bai'sheng'jiang'jun'han'tao
豹子头林冲,bao'zi'tou'lin'chong
病大虫薛永,bing'da'chong'xue'yong
病关索杨雄,bing'guan'suo'yang'xiong
病尉迟孙立,bing'yu'chi'sun'li
菜园子张青,cai'yuan'zi'zhang'qing
操刀鬼曹正,cao'dao'gui'cao'zheng
插翅虎雷横,cha'chi'hu'lei'heng
赤发鬼刘唐,chi'fa'gui'liu'tang
丑郡马宣赞,chou'jun'ma'xuan'zan
出洞蛟童威,chu'dong'jiao'tong'wei
出林龙邹渊,chu'lin'long'zou'yuan
船伙儿张横,chuan'huo'er'zhang'heng
催命判官李立,cui'ming'pan'guan'li'li
大刀关胜,da'dao'guan'sheng
打虎将李忠,da'hu'jiang'li'zhong
独火星孔亮,du'huo'xing'kong'liang
独角龙邹润,du'jiao'long'zou'run
短命二郎阮小五,duan'ming'er'lang'ruan'xiao'wu
翻江蜃童猛,fan'jiang'shen'tong'meng
飞天大圣李兖,fei'tian'da'sheng'li'yan
鼓上蚤时迁,gu'shang'zao'shi'qian
鬼脸儿杜兴,gui'lian'er'du'xing
旱地忽律朱贵,han'di'hu'lv'zhu'gui
黑旋风李逵,hei'xuan'feng'li'kui
轰天雷凌振,hong'tian'lei'ling'zhen
花和尚鲁智深,hua'he'shang'lu'zhi'shen
花项虎龚旺,hua'xiang'hu'gong'wang
混江龙李俊,hun'jiang'long'li'jun
混世魔王樊瑞,hun'shi'mo'wang'fan'rui
活闪婆王定六,huo'shan'po'wang'ding'liu
火眼猊邓飞,huo'yan'ni'deng'fei
活阎王阮小七,huo'yan'wang'ruan'xiao'qi
及时雨宋江,ji'shi'yu'song'jiang
急先锋索超,ji'xian'feng'suo'chao
锦豹子杨林,jin'bao'zi'yang'lin
锦毛虎燕顺,jin'mao'hu'yan'shun
金毛犬段景住,jin'mao'quan'duan'jing'zhu
金钱豹子汤隆,jin'qian'bao'zi'tang'long
金枪将徐宁,jin'qiang'jiang'xu'ning
金眼彪施恩,jin'yan'biao'shi'en
井木犴郝思文,jing'mu'an'hao'si'wen
九尾龟陶宗旺,jiu'wei'gui'tao'zong'wang
九纹龙史进,jiu'wen'long'shi'jin
浪里白条张顺,lang'li'bai'tiao'zhang'shun
浪子燕青,lang'zi'yan'qing
立地太岁阮小二,li'di'tai'sui'ruan'xiao'er
两头蛇解珍,liang'tou'she'xie'zhen
毛头星孔明,mao'tou'xing'kong'ming
没面目焦挺,mei'mian'mu'jiao'ting
美髯公朱仝,mei'ran'gong'zhu'tong
没羽箭张清,mei'yu'jian'zhang'qing
没遮拦穆弘,mei'zhe'lan'mu'hong
摩云金欧鹏,mo'yun'jin'ou'peng
摸着天杜迁,mo'zhe'tian'du'qian
母大虫顾大嫂,mu'da'chong'gu'da'sao
母夜叉孙二娘,mu'ye'cha'sun'er'niang
霹雳火秦明,pi'li'huo'qin'ming
拼命三郎石秀,pin'ming'san'lang'shi'xiu
扑天雕李应,pu'tian'diao'li'ying
青面兽杨志,qing'mian'shou'yang'zhi
青眼虎李云,qing'yan'hu'li'yun
入云龙公孙胜,ru'yun'long'gong'sun'sheng
赛仁贵郭盛,sai'ren'gui'guo'sheng
丧门神鲍旭,sang'men'shen'bao'xu
神火将军魏定国,shen'huo'jiang'jun'wei'ding'guo
神机军师朱武,shen'ji'jun'shi'zhu'wu
神算子蒋敬,shen'suan'zi'jiang'jing
神行太保戴宗,shen'xing'tai'bao'dai'zong
神医安道全,shen'yi'an'dao'quan
圣手书生萧让,sheng'shou'shu'sheng'xiao'rang
圣水将军单廷,sheng'shui'jiang'jun'dan'ting
石将军石勇,shi'jiang'jun'shi'yong
双鞭呼延灼,shuang'bian'hu'yan'zhuo
双枪将董平,shuang'qiang'jiang'dong'ping
双尾蝎解宝,shuang'wei'xie'xie'bao
天目将军彭圯,tian'mu'jiang'jun'peng'yi
跳涧虎陈达,tiao'jian'hu'chen'da
铁臂膊蔡福,tie'bi'bo'cai'fu
铁笛仙马麟,tie'di'xian'ma'lin
铁叫子乐和,tie'jiao'zi'le'he
铁面孔目裴宣,tie'mian'kong'mu'pei'xuan
铁扇子宋清,tie'shan'zi'song'qing
通臂猿侯健,tong'bi'yuan'hou'jian
险道神郁保四,xian'dao'shen'yu'bao'si
小霸王周通,xiao'ba'wang'zhou'tong
小李广花荣,xiao'li'guang'hua'rong
笑面虎朱富,xiao'mian'hu'zhu'fu
小温侯吕方,xiao'wen'hou'lv'fang
小旋风柴进,xiao'xuan'feng'chai'jin
小尉迟孙新,xiao'yu'chi'sun'xin
小遮拦穆春,xiao'zhe'lan'mu'chun
行者武松,xing'zhe'wu'song
一丈青扈三娘,yi'zhang'qing'hu'san'niang
一枝花蔡庆,yi'zhi'hua'cai'qing
玉臂匠金大坚,yu'bi'jiang'jin'da'jian
玉幡竿孟康,yu'fan'gan'meng'kang
玉麒麟卢俊义,yu'qi'lin'lu'jun'yi
云里金刚宋万,yun'li'jin'gang'song'wan
镇三山黄信,zhen'san'shan'huang'xin
智多星吴用,zhi'duo'xing'wu'yong
中箭虎丁得孙,zhong'jian'hu'ding'de'sun
紫髯伯皇甫端,zi'ran'bo'huang'fu'duan
