爱校中路,ai'xiao'zhong'lu
爱心仓储,ai'xin'cang'chu
奥场,ao'chang
八教,ba'jiao
八一路,ba'yi'lu
半边山,ban'bian'shan
半山庐,ban'shan'lu
保卫部,bao'wei'bu
保险研究所,bao'xian'yan'jiu'suo
包装工程,bao'zhuang'gong'cheng
本部,ben'bu
毕昇路,bi'sheng'lu
变形金刚,bian'xing'jin'gang
病毒学国家重点实验室,bing'du'xue'guo'jia'zhong'dian'shi'yan'shi
病毒学系,bing'du'xue'xi
播音与主持艺术,bo'yin'yu'zhu'chi'yi'shu
采编部,cai'bian'bu
材料工程系,cai'liao'gong'cheng'xi
材料化学与物理,cai'liao'hua'xue'yu'wu'li
材料科学与工程学院,cai'liao'ke'xue'yu'gong'cheng'xue'yuan
材料物理系,cai'liao'wu'li'xi
财务部,cai'wu'bu
财政与税收系,cai'zheng'yu'shui'shou'xi
侧船山路,ce'chuan'shan'lu
测绘工程专业,ce'hui'gong'cheng'zhuan'ye
测绘学院,ce'hui'xue'yuan
测绘遥感信息工程国家重点实验室,ce'hui'yao'gan'xin'xi'gong'cheng'guo'jia'zhong'dian'shi'yan'shi
测控技术与仪器系,ce'kong'ji'shu'yu'yi'qi'xi
茶,cha
茶港,cha'gang
长庆油田助学金,chang'qing'you'tian'zhu'xue'jin
陈懋中奖助学金,chen'mao'zhong'jiang'zhu'xue'jin
陈昭方,chen'zhao'fang
城市规划,cheng'shi'gui'hua
城市空间信息工程,cheng'shi'kong'jian'xin'xi'gong'cheng
城市设计学院,cheng'shi'she'ji'xue'yuan
唇舌烽火,chun'she'feng'huo
春英诗社,chun'ying'shi'she
村田助学金,cun'tian'zhu'xue'jin
大地测量,da'di'ce'liang
大学生活动中心,da'xue'sheng'huo'dong'zhong'xin
大学英语教学部,da'xue'ying'yu'jiao'xue'bu
档案馆,dang'an'guan
德文系,de'wen'xi
第二临床学院,di'er'lin'chuang'xue'yuan
地球物理学专业,di'qiu'wu'li'xue'zhuan'ye
地图学与地理信息系统,di'tu'xue'yu'di'li'xin'xi'xi'tong
第一临床学院,di'yi'lin'chuang'xue'yuan
电气,dian'qi
电气工程学院,dian'qi'gong'cheng'xue'yuan
电气工程与自动化,dian'qi'gong'cheng'yu'zi'dong'hua
电子工程系,dian'zi'gong'cheng'xi
电子科学与技术系,dian'zi'ke'xue'yu'ji'shu'xi
电子信息学院,dian'zi'xin'xi'xue'yuan
电子阅览室,dian'zi'yue'lan'shi
丁煌,ding'huang
东湖,dong'hu
东湖分校,dong'hu'fen'xiao
动机,dong'ji
动力工程系,dong'li'gong'cheng'xi
动力与机械学院,dong'li'yu'ji'xie'xue'yuan
俄文系,e'wen'xi
二教,er'jiao
二区,er'qu
法文系,fa'wen'xi
法学院,fa'xue'yuan
方芳,fang'fang
方言学堂,fang'yan'xue'tang
飞鸟与冬天,fei'niao'yu'dong'tian
冯天瑜,feng'tian'yu
风雨操场,feng'yu'cao'chang
枫园,feng'yuan
枫园食堂,feng'yuan'shi'tang
港口海岸及治河工程,gang'kou'hai'an'ji'zhi'he'gong'cheng
高级研究中心大学,gao'ji'yan'jiu'zhong'xin'da'xue
工程力学,gong'cheng'li'xue
公共事业管理,gong'gong'shi'ye'guan'li
公共卫生学院,gong'gong'wei'sheng'xue'yuan
工商管理系,gong'shang'guan'li'xi
工学部,gong'xue'bu
工业设计,gong'ye'she'ji
顾海良,gu'hai'liang
管理科学与工程系,guan'li'ke'xue'yu'gong'cheng'xi
广八路,guang'ba'lu
广播电视系,guang'bo'dian'shi'xi
广播电视新闻学,guang'bo'dian'shi'xin'wen'xue
广埠屯,guang'bu'tun
光电信息工程系,guang'dian'xin'xi'gong'cheng'xi
广告设计,guang'gao'she'ji
广告学系,guang'gao'xue'xi
桂希恩,gui'xi'en
桂园,gui'yuan
桂园餐厅,gui'yuan'can'ting
桂园操场,gui'yuan'cao'chang
桂园食堂,gui'yuan'shi'tang
国防生,guo'fang'sheng
国际法研究所,guo'ji'fa'yan'jiu'suo
国际软件学院,guo'ji'ruan'jian'xue'yuan
国家多媒体软件工程技术研究中心,guo'jia'duo'mei'ti'ruan'jian'gong'cheng'ji'shu'yan'jiu'zhong'xin
国家卫星定位系统工程技术研究中心,guo'jia'wei'xing'ding'wei'xi'tong'gong'cheng'ji'shu'yan'jiu'zhong'xin
国立武昌大学,guo'li'wu'chang'da'xue
国立武昌高等师范学校,guo'li'wu'chang'gao'deng'shi'fan'xue'xiao
国立武昌师范大学,guo'li'wu'chang'shi'fan'da'xue
国立武汉大学,guo'li'wu'han'da'xue
韩德培,han'de'pei
宏博学生公寓,hong'bo'xue'sheng'gong'yu
弘毅,hong'yi
弘毅大酒店,hong'yi'da'jiu'dian
侯杰昌,hou'jie'chang
湖北医科大学,hu'bei'yi'ke'da'xue
湖滨,hu'bin
湖滨路,hu'bin'lu
湖滨食堂,hu'bin'shi'tang
湖广总督,hu'guang'zong'du
护理学,hu'li'xue
护理学院,hu'li'xue'yuan
湖医,hu'yi
化学与分子科学学院学院,hua'xue'yu'fen'zi'ke'xue'xue'yuan'xue'yuan
化学院,hua'xue'yuan
环境法研究所,huan'jing'fa'yan'jiu'suo
黄从新,huang'cong'xin
皇皇武大,huang'huang'wu'da
黄进,huang'jin
黄来女,huang'lai'nv
会员权益部,hui'yuan'quan'yi'bu
基础医学院,ji'chu'yi'xue'yuan
纪辉,ji'hui
技术经济研究所,ji'shu'jing'ji'yan'jiu'suo
计算机工程系,ji'suan'ji'gong'cheng'xi
计算机科学系,ji'suan'ji'ke'xue'xi
计算机学院,ji'suan'ji'xue'yuan
计算机应用技术系,ji'suan'ji'ying'yong'ji'shu'xi
计算机与信息技术系,ji'suan'ji'yu'xin'xi'ji'shu'xi
计算机中心,ji'suan'ji'zhong'xin
机械工程系,ji'xie'gong'cheng'xi
继续教育学院,ji'xu'jiao'yu'xue'yuan
记者团,ji'zhe'tuan
家是珞珈,jia'shi'luo'jia
珈园,jia'yuan
鉴湖,jian'hu
建筑学,jian'zhu'xue
江西省青基会助学金,jiang'xi'sheng'qing'ji'hui'zhu'xue'jin
教二,jiao'er
教工食堂,jiao'gong'shi'tang
教三,jiao'san
教四,jiao'si
教五,jiao'wu
教务部,jiao'wu'bu
教五多功能报告厅,jiao'wu'duo'gong'neng'bao'gao'ting
教一,jiao'yi
教育科学学院,jiao'yu'ke'xue'xue'yuan
街道口,jie'dao'kou
金秋艺术节,jin'qiu'yi'shu'jie
金融系与保险与精算系,jin'rong'xi'yu'bao'xian'yu'jing'suan'xi
经管,jing'guan
经济发展研究中心,jing'ji'fa'zhan'yan'jiu'zhong'xin
经济系,jing'ji'xi
经济研究所,jing'ji'yan'jiu'suo
经济与管理学院,jing'ji'yu'guan'li'xue'yuan
九教,jiu'jiao
九一二体育场,jiu'yi'er'ti'yu'chang
考古学,kao'gu'xue
科技路,ke'ji'lu
空间信息工程系,kong'jian'xin'xi'gong'cheng'xi
空间信息与数字技术,kong'jian'xin'xi'yu'shu'zi'ji'shu
口腔医学,kou'qiang'yi'xue
口腔医学院,kou'qiang'yi'xue'yuan
会计系,kuai'ji'xi
鲲鹏广场,kun'peng'guang'chang
浪涛石文学社,lang'tao'shi'wen'xue'she
劳动与社会保障,lao'dong'yu'she'hui'bao'zhang
老图书馆,lao'tu'shu'guan
老外院,lao'wai'yuan
老斋舍,lao'zhai'she
李达,li'da
李德仁,li'de'ren
理工楼,li'gong'lou
李工真,li'gong'zhen
李汉俊,li'han'jun
李敬一,li'jing'yi
李龙,li'long
李清泉,li'qing'quan
历史学基地班,li'shi'xue'ji'di'ban
历史学院,li'shi'xue'yuan
李四光,li'si'guang
理学部,li'xue'bu
李震,li'zhen
临床医学,lin'chuang'yi'xue
凌波门,ling'bo'men
刘道玉,liu'dao'yu
刘纲纪,liu'gang'ji
流光溢彩,liu'guang'yi'cai
六教,liu'jiao
刘经南,liu'jing'nan
刘树杞,liu'shu'qi
流通部,liu'tong'bu
留香行板,liu'xiang'xing'ban
刘晓春,liu'xiao'chun
留学生院,liu'xue'sheng'yuan
刘仰峤,liu'yang'qiao
六一惨案,liu'yi'can'an
六一纪念亭,liu'yi'ji'nian'ting
龙小乐,long'xiao'le
珞珈青年报,luo'jia'qing'nian'bao
珞珈山,luo'jia'shan
珞珈山水,luo'jia'shan'shui
珞珈山庄,luo'jia'shan'zhuang
珞珈素质教育讲坛,luo'jia'su'zhi'jiao'yu'jiang'tan
珞珈心源,luo'jia'xin'yuan
珞珈学院,luo'jia'xue'yuan
罗教讲,luo'jiao'jiang
珞青读报亭,luo'qing'du'bao'ting
珞狮北路,luo'shi'bei'lu
珞狮路,luo'shi'lu
珞行客剧社,luo'xing'ke'ju'she
珞樱,luo'ying
珞喻路,luo'yu'lu
骆郁廷,luo'yu'ting
马克昌,ma'ke'chang
马应龙助学金,ma'ying'long'zhu'xue'jin
茆智,mao'zhi
美国加拿大经济研究所,mei'guo'jia'na'da'jing'ji'yan'jiu'suo
美术与艺术史系,mei'shu'yu'yi'shu'shi'xi
媒体发展研究中心,mei'ti'fa'zhan'yan'jiu'zhong'xin
梅园,mei'yuan
梅园食堂,mei'yuan'shi'tang
梅园小操场,mei'yuan'xiao'cao'chang
民俗学,min'su'xue
明珠园,ming'zhu'yuan
南国置业弘毅助学金,nan'guo'zhi'ye'hong'yi'zhu'xue'jin
宁津生,ning'jin'sheng
农业水利工程,nong'ye'shui'li'gong'cheng
女生部,nv'sheng'bu
彭斐章,peng'fei'zhang
七教,qi'jiao
期刊社,qi'kan'she
期刊室,qi'kan'shi
齐民友,qi'min'you
情景剧,qing'jing'ju
青年自愿者协会,qing'nian'zi'yuan'zhe'xie'hui
青骑士剧社,qing'qi'shi'ju'she
情人坡,qing'ren'po
青协,qing'xie
求是,qiu'shi
劝业场,quan'ye'chang
人文馆,ren'wen'guan
人文科学部,ren'wen'ke'xue'bu
人文科学试验班,ren'wen'ke'xue'shi'yan'ban
人文路,ren'wen'lu
任心廉,ren'xin'lian
人资部,ren'zi'bu
日文系,ri'wen'xi
软件工程,ruan'jian'gong'cheng
软件工程国家重点实验室,ruan'jian'gong'cheng'guo'jia'zhong'dian'shi'yan'shi
阮玲玉,ruan'ling'yu
三环学生公寓,san'huan'xue'sheng'gong'yu
三教,san'jiao
三农发展协会,san'nong'fa'zhan'xie'hui
三区,san'qu
尚重生,shang'chong'sheng
社会保障研究中心,she'hui'bao'zhang'yan'jiu'zhong'xin
社会工作,she'hui'gong'zuo
社会科学部,she'hui'ke'xue'bu
