艾尔姆支雷,ai'er'mu'zhi'lei
暗袋,an'dai
安贺林,an'he'lin
巴格拉斯,ba'ge'la'si
巴格拉斯效果,ba'ge'la'si'xiao'guo
白边牌,bai'bian'pai
白扇,bai'shan
白学松,bai'xue'song
坂井弘幸,ban'jing'hong'xing
爆筒,bao'tong
背牌,bei'pai
币壳,bi'ke
变牌,bian'pai
标位牌,biao'wei'pai
拨牌迫牌,bo'pai'po'pai
布雷克,bu'lei'ke
彩箱,cai'xiang
彩桌,cai'zhuo
藏牌,cang'pai
侧边偷牌,ce'bian'tou'pai
侧边洗牌,ce'bian'xi'pai
长短牌,chang'duan'pai
长牌,chang'pai
陈冠霖,chen'guan'lin
程广生,cheng'guang'sheng
程连苏,cheng'lian'su
出鸽子,chu'ge'zi
出牌,chu'pai
出伞,chu'san
出托,chu'tuo
穿透,chuan'tou
穿越,chuan'yue
错误引导,cuo'wu'yin'dao
错引,cuo'yin
达尔文藏币,da'er'wen'cang'bi
大角牌,da'jiao'pai
达里尔,da'li'er
达伦布朗,da'lun'bu'lang
达玛利兹,da'ma'li'zi
大卫布莱恩,da'wei'bu'lai'en
大卫考柏菲,da'wei'kao'bai'fei
大卫科波菲尔,da'wei'ke'bo'fei'er
大卫斯通,da'wei'si'tong
大卫威廉姆森,da'wei'wei'lian'mu'sen
大型幻术,da'xing'huan'shu
大型魔术,da'xing'mo'shu
弹棒,dan'bang
单车牌,dan'che'pai
弹蜡,dan'la
单路强选,dan'lu'qiang'xuan
单手开扇,dan'shou'kai'shan
单手切牌,dan'shou'qie'pai
单手偷顶,dan'shou'tou'ding
单手洗牌,dan'shou'xi'pai
邓男子,deng'nan'zi
底牌,di'pai
电视魔术,dian'shi'mo'shu
顶牌,ding'pai
毒蛇牌,du'she'pai
赌徒扣牌,du'tu'kou'pai
短牌,duan'pai
发底,fa'di
发底牌,fa'di'pai
发底张,fa'di'zhang
发二,fa'er
发二张,fa'er'zhang
法兰西落下,fa'lan'xi'luo'xia
法兰西式藏币,fa'lan'xi'shi'cang'bi
发中,fa'zhong
发中张,fa'zhong'zhang
翻牌,fan'pai
反扇,fan'shan
方块,fang'kuai
疯子洗牌法,feng'zi'xi'pai'fa
弗雷德凯布斯,fu'lei'de'kai'bu'si
傅起凤,fu'qi'feng
傅腾龙,fu'teng'long
傅琰东,fu'yan'dong
鸽尾式洗牌,ge'wei'shi'xi'pai
古典藏币,gu'dian'cang'bi
古典迫牌,gu'dian'po'pai
古典移牌,gu'dian'yi'pai
关键牌,guan'jian'pai
鬼牌,gui'pai
郭安迪,guo'an'di
郭旭,guo'xu
郭汛杰,guo'xun'jie
哈拉里,ha'la'li
海曼数牌,hai'man'shu'pai
海曼移牌,hai'man'yi'pai
韩秉谦移动,han'bing'qian'yi'dong
韩雪熙,han'xue'xi
黑桃,hei'tao
亨利伊万斯,heng'li'yi'wan'si
红桃,hong'tao
红心,hong'xin
侯思洋,hou'si'yang
胡安,hu'an
胡迪尼,hu'di'ni
互动魔术,hu'dong'mo'shu
胡凯伦,hu'kai'lun
花式切牌,hua'shi'qie'pai
花式洗牌,hua'shi'xi'pai
滑行技法,hua'xing'ji'fa
换顶牌,huan'ding'pai
换牌,huan'pai
幻术,huan'shu
火娃,huo'wa
假发牌,jia'fa'pai
假切,jia'qie
假数牌,jia'shu'pai
加藤阳,jia'teng'yang
假洗,jia'xi
简单移牌,jian'dan'yi'pai
剪绳还原,jian'sheng'huan'yuan
姜伯泉,jiang'bo'quan
杰森拉提玛,jie'sen'la'ti'ma
街头魔术,jie'tou'mo'shu
近景魔术,jin'jing'mo'shu
金贤俊,jin'xian'jun
开扇,kai'shan
克里斯安吉尔,ke'li'si'an'ji'er
控牌,kong'pai
空手出牌,kong'shou'chu'pai
葵扇,kui'shan
垃圾袋,la'ji'dai
垃圾箱,la'ji'xiang
拉牌,la'pai
兰纳德格林,lan'na'de'ge'lin
兰斯伯顿,lan'si'bo'dun
狼蛛,lang'zhu
雷射,lei'she
冷冻之手,leng'dong'zhi'shou
李冠志,li'guan'zhi
李行奇,li'xing'qi
李永军,li'yong'jun
梁明,liang'ming
流程,liu'cheng
刘谦,liu'qian
刘世杰,liu'shi'jie
刘子豪,liu'zi'hao
卢炳旭,lu'bing'xu
罗宾,luo'bin
罗扣,luo'kou
落膝,luo'xi
吕思远,lv'si'yuan
马克思梅文,ma'ke'si'mei'wen
麦杰,mai'jie
美国枷锁,mei'guo'jia'suo
梅花,mei'hua
美金五角,mei'jin'wu'jiao
魅力崔,mei'li'cui
梦伞魂,meng'san'hun
蜜蜂牌,mi'feng'pai
瞄线,miao'xian
魔术蜡,mo'shu'la
姆指藏币,mu'zhi'cang'bi
拇指套,mu'zhi'tao
欧昌铉,ou'chang'xuan
牌穿玻璃,pai'chuan'bo'li
牌底,pai'di
牌垫,pai'dian
牌顶,pai'ding
牌粉,pai'fen
牌盒,pai'he
牌蜡,pai'la
牌王格林,pai'wang'ge'lin
抛托,pao'tuo
皮特马维,pi'te'ma'wei
迫牌,po'pai
扑克魔术,pu'ke'mo'shu
钱币魔术,qian'bi'mo'shu
钱壳,qian'ke
强迫选牌,qiang'po'xuan'pai
抢托,qiang'tuo
强选,qiang'xuan
乔丹数牌,qiao'dan'shu'pai
桥型牌,qiao'xing'pai
切牌,qie'pai
秦明晓,qin'ming'xiao
入袖,ru'xiu
三杯球,san'bei'qiu
三段假切,san'duan'jia'qie
三段切牌,san'duan'qie'pai
伞魂,san'hun
三绳奇术,san'sheng'qi'shu
三仙归洞,san'xian'gui'dong
三折咬币,san'zhe'yao'bi
上托,shang'tuo
射牌,she'pai
深井洋正,shen'jing'yang'zheng
神奇洗牌手,shen'qi'xi'pai'shou
史超,shi'chao
视频魔术,shi'pin'mo'shu
十字迫牌,shi'zi'po'pai
手背藏牌,shou'bei'cang'pai
手机入瓶,shou'ji'ru'ping
双白牌,shuang'bai'pai
双背牌,shuang'bei'pai
双翻,shuang'fan
双面牌,shuang'mian'pai
双切,shuang'qie
双提,shuang'ti
四币归一,si'bi'gui'yi
撕牌,si'pai
缩棒,suo'bang
缩蜡,suo'la
摊牌控牌,tan'pai'kong'pai
摊牌迫牌,tan'pai'po'pai
梯形牌,ti'xing'pai
天海藏币,tian'hai'cang'bi
天海藏牌,tian'hai'cang'pai
铜板,tong'ban
偷底,tou'di
偷底牌,tou'di'pai
偷顶,tou'ding
偷顶牌,tou'ding'pai
偷看牌,tou'kan'pai
偷拗牌,tou'niu'pai
偷牌,tou'pai
偷瞥,tou'pie
托帕斯,tuo'pa'si
完美洗牌,wan'mei'xi'pai
王禹,wang'yu
文沛然,wen'pei'ran
翁达智,weng'da'zhi
吴冠达,wu'guan'da
舞台幻术,wu'tai'huan'shu
舞台魔术,wu'tai'mo'shu
西里尔,xi'li'er
洗牌,xi'pai
下托,xia'tuo
仙人摘豆,xian'ren'zhai'dou
小林浩平,xiao'lin'hao'ping
小指射牌,xiao'zhi'she'pai
心灵魔术,xin'ling'mo'shu
绪川集人,xu'chuan'ji'ren
压力扇,ya'li'shan
杨杰,yang'jie
咬币,yao'bi
移牌,yi'pai
一球变四,yi'qiu'bian'si
印度式洗牌,yin'du'shi'xi'pai
阴魂不散,yin'hun'bu'san
隐线,yin'xian
隐线蜡,yin'xian'la
隐线轮,yin'xian'lun
英磅一分,ying'bang'yi'fen
硬币魔术,ying'bi'mo'shu
硬币入瓶,ying'bi'ru'ping
硬币消失器,ying'bi'xiao'shi'qi
有雄心的扑克,you'xiong'xin'de'pu'ke
预言,yu'yan
袁波,yuan'bo
粘立人,zhan'li'ren
展牌,zhan'pai
粘托,zhan'tuo
张国洲,zhang'guo'zhou
掌心藏牌,zhang'xin'cang'pai
折牌,zhe'pai
指间藏币,zhi'jian'cang'bi
指尖藏币,zhi'jian'cang'bi
纸牌魔术,zhi'pai'mo'shu
指套,zhi'tao
中央移牌,zhong'yang'yi'pai
朱连魁,zhu'lian'kui
转牌,zhuan'pai
桌面展牌,zhuo'mian'zhan'pai
字白牌,zi'bai'pai
