阿尔泰雪鸡,a'er'tai'xue'ji
阿穆尔隼,a'mu'er'sun
埃及夜鹰,ai'ji'ye'ying
鹌鹑,an'chun
暗腹雪鸡,an'fu'xue'ji
暗灰鹃鵙,an'hui'juan'ju
暗绿背鸬鹚,an'lv'bei'lu'ci
暗绿柳莺,an'lv'liu'ying
暗绿绣眼鸟,an'lv'xiu'yan'niao
暗冕鹪莺,an'mian'jiao'ying
暗色鸦雀,an'se'ya'que
暗胸朱雀,an'xiong'zhu'que
澳南沙锥,ao'nan'sha'zhui
八哥,ba'ge
八色鸫,ba'se'dong
八色鸫科,ba'se'dong'ke
八声杜鹃,ba'sheng'du'juan
白斑翅拟蜡嘴雀,bai'ban'chi'ni'la'zui'que
白斑翅雪雀,bai'ban'chi'xue'que
白斑黑石鵖,bai'ban'hei'shi'bi
白斑军舰鸟,bai'ban'jun'jian'niao
白斑尾柳莺,bai'ban'wei'liu'ying
白背矶鸫,bai'bei'ji'dong
白背兀鹫,bai'bei'wu'jiu
白背啄木鸟,bai'bei'zhuo'mu'niao
白翅百灵,bai'chi'bai'ling
白翅浮鸥,bai'chi'fu'ou
白翅交嘴雀,bai'chi'jiao'zui'que
白翅蓝鹊,bai'chi'lan'que
白翅啄木鸟,bai'chi'zhuo'mu'niao
白点翅拟蜡嘴雀,bai'dian'chi'ni'la'zui'que
白点鹛,bai'dian'mei
白顶鵖,bai'ding'bi
白顶溪鸲,bai'ding'xi'qu
白顶玄燕鸥,bai'ding'xuan'yan'ou
白额鹱,bai'e'hu
白额雁,bai'e'yan
白额燕鸥,bai'e'yan'ou
白耳奇鹛,bai'er'qi'mei
白腹鸫,bai'fu'dong
白腹短翅鸲,bai'fu'duan'chi'qu
白腹凤鹛,bai'fu'feng'mei
白腹海雕,bai'fu'hai'diao
白腹黑啄木鸟,bai'fu'hei'zhuo'mu'niao
白腹姬鹟,bai'fu'ji'weng
白腹锦鸡,bai'fu'jin'ji
白腹军舰鸟,bai'fu'jun'jian'niao
白腹鹭,bai'fu'lu
白腹毛脚燕,bai'fu'mao'jiao'yan
白腹隼雕,bai'fu'sun'diao
白腹鹞,bai'fu'yao
白腹幽鹛,bai'fu'you'mei
白鹳,bai'guan
白冠长尾雉,bai'guan'chang'wei'zhi
白冠攀雀,bai'guan'pan'que
白冠燕尾,bai'guan'yan'wei
白冠噪鹛,bai'guan'zao'mei
白鹤,bai'he
白喉斑秧鸡,bai'hou'ban'yang'ji
白喉短翅鸫,bai'hou'duan'chi'dong
白喉冠鹎,bai'hou'guan'bei
白喉红臀鹎,bai'hou'hong'tun'bei
白喉红尾鸲,bai'hou'hong'wei'qu
白喉矶鸫,bai'hou'ji'dong
白喉姬鹟,bai'hou'ji'weng
白喉林鹟,bai'hou'lin'weng
白喉林莺,bai'hou'lin'ying
白喉扇尾鹟,bai'hou'shan'wei'weng
白喉石鵖,bai'hou'shi'bi
白喉犀鸟,bai'hou'xi'niao
白喉噪鹛,bai'hou'zao'mei
白喉针尾雨燕,bai'hou'zhen'wei'yu'yan
白鹮,bai'huan
白鹡鸰,bai'ji'ling
白颊鹎,bai'jia'bei
白颊山鹧鸪,bai'jia'shan'zhe'gu
白颊噪鹛,bai'jia'zao'mei
白肩雕,bai'jian'diao
白颈长尾雉,bai'jing'chang'wei'zhi
白颈鸫,bai'jing'dong
白颈黑鹭,bai'jing'hei'lu
白颈鸦,bai'jing'ya
白颈噪鹛,bai'jing'zao'mei
白眶斑翅鹛,bai'kuang'ban'chi'mei
白眶雀鹛,bai'kuang'que'mei
白眶鹟莺,bai'kuang'weng'ying
白眶鸦雀,bai'kuang'ya'que
白脸,bai'lian
百灵,bai'ling
白领八哥,bai'ling'ba'ge
白领翡翠,bai'ling'fei'cui
白领凤鹛,bai'ling'feng'mei
百灵科,bai'ling'ke
白鹭,bai'lu
白马鸡,bai'ma'ji
白眉地鸫,bai'mei'di'dong
白眉鸫,bai'mei'dong
白眉歌鸫,bai'mei'ge'dong
白眉姬鹟,bai'mei'ji'weng
白眉蓝姬鹟,bai'mei'lan'ji'weng
白眉林鸲,bai'mei'lin'qu
白眉雀鹛,bai'mei'que'mei
白眉山雀,bai'mei'shan'que
白眉扇尾鹟,bai'mei'shan'wei'weng
白眉山鹧鸪,bai'mei'shan'zhe'gu
白眉田鸡,bai'mei'tian'ji
白眉鹀,bai'mei'wu
白眉鸭,bai'mei'ya
白眉朱雀,bai'mei'zhu'que
白眉棕啄木鸟,bai'mei'zong'zhuo'mu'niao
白琵,bai'pi
白琵鹭,bai'pi'lu
白秋沙鸭,bai'qiu'sha'ya
白鹈鹕,bai'ti'hu
白头鹎,bai'tou'bei
白头鹤,bai'tou'he
白头鹮鹳,bai'tou'huan'guan
白头鵙鹛,bai'tou'ju'mei
白头鹀,bai'tou'wu
白头鹞,bai'tou'yao
白头硬尾鸭,bai'tou'ying'wei'ya
白腿小隼,bai'tui'xiao'sun
白尾,bai'wei
白尾地鸦,bai'wei'di'ya
白尾海雕,bai'wei'hai'diao
白尾蓝地鸲,bai'wei'lan'di'qu
白尾蓝仙鹟,bai'wei'lan'xian'weng
白尾麦鸡,bai'wei'mai'ji
白尾鹲,bai'wei'meng
白尾梢虹雉,bai'wei'shao'hong'zhi
白尾鹞,bai'wei'yao
白鹇,bai'xian
白项凤鹛,bai'xiang'feng'mei
白胸翡翠,bai'xiong'fei'cui
白胸苦恶鸟,bai'xiong'ku'e'niao
白玄鸥,bai'xuan'ou
白眼河燕,bai'yan'he'yan
白眼鵟鹰,bai'yan'kuang'ying
白眼潜鸭,bai'yan'qian'ya
白腰杓鹬,bai'yao'biao'yu
白腰滨鹬,bai'yao'bin'yu
白腰草鹬,bai'yao'cao'yu
白腰叉尾海燕,bai'yao'cha'wei'hai'yan
白腰鹊鸲,bai'yao'que'qu
白腰文鸟,bai'yao'wen'niao
白腰雪雀,bai'yao'xue'que
白腰燕鸥,bai'yao'yan'ou
白腰雨燕,bai'yao'yu'yan
白腰朱顶雀,bai'yao'zhu'ding'que
白枕鹤,bai'zhen'he
白嘴潜鸟,bai'zui'qian'niao
斑背大尾莺,ban'bei'da'wei'ying
斑背潜鸭,ban'bei'qian'ya
斑背燕尾,ban'bei'yan'wei
斑背噪鹛,ban'bei'zao'mei
斑翅凤头鹃,ban'chi'feng'tou'juan
斑翅鹩鹛,ban'chi'liao'mei
斑翅鹛,ban'chi'mei
斑翅山鹑,ban'chi'shan'chun
斑翅朱雀,ban'chi'zhu'que
斑鸫,ban'dong
斑海雀,ban'hai'que
斑喉希鹛,ban'hou'xi'mei
斑姬啄木鸟,ban'ji'zhuo'mu'niao
斑颈穗鹛,ban'jing'sui'mei
斑脸海番鸭,ban'lian'hai'fan'ya
斑椋鸟,ban'liang'niao
半蹼鹬,ban'pu'yu
斑头大翠鸟,ban'tou'da'cui'niao
斑头绿拟啄木鸟,ban'tou'lv'ni'zhuo'mu'niao
斑头鸺鹠,ban'tou'xiu'liu
斑头雁,ban'tou'yan
斑尾塍鹬,ban'wei'cheng'yu
斑尾鹃鸠,ban'wei'juan'jiu
斑尾林鸽,ban'wei'lin'ge
斑尾榛鸡,ban'wei'zhen'ji
斑文鸟,ban'wen'niao
斑鹟,ban'weng
斑胁姬鹛,ban'xie'ji'mei
斑胁田鸡,ban'xie'tian'ji
斑胸滨鹬,ban'xiong'bin'yu
斑胸短翅莺,ban'xiong'duan'chi'ying
斑胸钩嘴鹛,ban'xiong'gou'zui'mei
斑胸田鸡,ban'xiong'tian'ji
斑胸鸦雀,ban'xiong'ya'que
斑胸噪鹛,ban'xiong'zao'mei
斑腰燕,ban'yao'yan
斑鱼狗,ban'yu'gou
斑嘴鹈鹕,ban'zui'ti'hu
斑嘴鸭,ban'zui'ya
鸨科,bao'ke
宝兴歌鸫,bao'xing'ge'dong
宝兴鹛雀,bao'xing'mei'que
暴雪鹱,bao'xue'hu
北红尾鸲,bei'hong'wei'qu
北蝗莺,bei'huang'ying
北灰鹟,bei'hui'weng
北极鸥,bei'ji'ou
鹎科,bei'ke
北椋鸟,bei'liang'niao
北鹨,bei'liu
北噪鸦,bei'zao'ya
北朱雀,bei'zhu'que
扁嘴海雀,bian'zui'hai'que
波斑鸨,bo'ban'bao
伯劳,bo'lao
伯劳科,bo'lao'ke
布莱氏鹨,bu'lai'shi'liu
布氏苇莺,bu'shi'wei'ying
彩虹鹦鹉,cai'hong'ying'wu
彩鹮,cai'huan
彩鹬,cai'yu
彩鹬科,cai'yu'ke
藏黄雀,cang'huang'que
苍鹭,cang'lu
苍眉蝗莺,cang'mei'huang'ying
藏雀,cang'que
苍头燕雀,cang'tou'yan'que
藏鹀,cang'wu
仓鸮,cang'xiao
藏雪鸡,cang'xue'ji
苍鹰,cang'ying
草地鹨,cao'di'liu
草鹭,cao'lu
草绿篱莺,cao'lv'li'ying
草鸮,cao'xiao
草鸮科,cao'xiao'ke
草原雕,cao'yuan'diao
草原鹞,cao'yuan'yao
叉尾鸥,cha'wei'ou
叉尾太阳鸟,cha'wei'tai'yang'niao
茶胸斑啄木鸟,cha'xiong'ban'zhuo'mu'niao
长耳鸮,chang'er'xiao
长脚秧鸡,chang'jiao'yang'ji
长尾地鸫,chang'wei'di'dong
长尾缝叶莺,chang'wei'feng'ye'ying
长尾阔嘴鸟,chang'wei'kuo'zui'niao
长尾鹩鹛,chang'wei'liao'mei
长尾林鸮,chang'wei'lin'xiao
长尾奇鹛,chang'wei'qi'mei
长尾雀,chang'wei'que
长尾山椒鸟,chang'wei'shan'jiao'niao
长尾鸭,chang'wei'ya
长尾夜鹰,chang'wei'ye'ying
长尾鹦鹉,chang'wei'ying'wu
长尾贼鸥,chang'wei'zei'ou
长尾雉,chang'wei'zhi
长趾滨鹬,chang'zhi'bin'yu
橙斑翅柳莺,cheng'ban'chi'liu'ying
橙翅噪鹛,cheng'chi'zao'mei
橙额鸦雀,cheng'e'ya'que
橙腹叶鹎,cheng'fu'ye'bei
橙头地鸫,cheng'tou'di'dong
橙胸姬鹟,cheng'xiong'ji'weng
橙胸绿鸠,cheng'xiong'lv'jiu
橙胸咬鹃,cheng'xiong'yao'juan
赤膀鸭,chi'bang'ya
赤翅沙雀,chi'chi'sha'que
赤翡翠,chi'fei'cui
赤腹鹰,chi'fu'ying
赤红山椒鸟,chi'hong'shan'jiao'niao
赤颈,chi'jing
赤颈鸫,chi'jing'dong
赤颈鹤,chi'jing'he
赤颈鸊鷉,chi'jing'pi'si
赤颈鸭,chi'jing'ya
池鹭,chi'lu
赤麻鸭,chi'ma'ya
赤尾噪鹛,chi'wei'zao'mei
鸱鸮科,chi'xiao'ke
赤胸鸫,chi'xiong'dong
