白水寺,bai'shui'si
承恩寺,cheng'en'si
大北门,da'bei'men
定中门,ding'zhong'men
夫人城,fu'ren'cheng
抚州会馆,fu'zhou'hui'guan
公馆门码头,gong'guan'men'ma'tou
古隆中,gu'long'zhong
黄家湾,huang'jia'wan
黄州会馆,huang'zhou'hui'guan
老龙堤,lao'long'di
鹿角门,lu'jiao'men
鹿门寺,lu'men'si
绿影壁,lv'ying'bi
马跃檀溪,ma'yue'tan'xi
米公祠,mi'gong'ci
庞公祠,pang'gong'ci
谯楼,qiao'lou
三道河风景区,san'dao'he'feng'jing'qu
山陕会馆,shan'shan'hui'guan
水镜庄,shui'jing'zhuang
水星台,shui'xing'tai
苏公泉井,su'gong'quan'jing
铁佛寺,tie'fo'si
襄阳古城墙,xiang'yang'gu'cheng'qiang
小北门,xiao'bei'men
薤山风景区,xie'shan'feng'jing'qu
张公祠,zhang'gong'ci
昭明台,zhao'ming'tai
仲宣楼,zhong'xuan'lou
