安全标识符,an'quan'biao'zhi'fu
安全策略,an'quan'ce'lue
安全关键类型或成员,an'quan'guan'jian'lei'xing'huo'cheng'yuan
安全漏洞,an'quan'lou'dong
安全模式,an'quan'mo'shi
安全说明符,an'quan'shuo'ming'fu
版本策略,ban'ben'ce'lue
半同步方法,ban'tong'bu'fang'fa
本地化,ben'di'hua
本机代码,ben'ji'dai'ma
本机映像生成,ben'ji'ying'xiang'sheng'cheng
比较计算器,bi'jiao'ji'suan'qi
编辑浏览控件,bian'ji'liu'lan'kong'jian
边界,bian'jie
边距,bian'ju
编码类,bian'ma'lei
编译,bian'yi
表布局,biao'bu'ju
表达式,biao'da'shi
标题,biao'ti
标题按钮,biao'ti'an'niu
标题栏,biao'ti'lan
标志符号,biao'zhi'fu'hao
标准查询运算符,biao'zhun'cha'xun'yun'suan'fu
标准使用方,biao'zhun'shi'yong'fang
并集,bing'ji
并行执行,bing'xing'zhi'xing
部分页呈现,bu'fen'ye'cheng'xian
部件,bu'jian
部件控件,bu'jian'kong'jian
部件控件集,bu'jian'kong'jian'ji
部件连接,bu'jian'lian'jie
部件页,bu'jian'ye
部署,bu'shu
部署清单,bu'shu'qing'dan
参数化类型,can'shu'hua'lei'xing
参数约束,can'shu'yue'shu
操作窗格,cao'zuo'chuang'ge
差集,cha'ji
插件,cha'jian
查询,cha'xun
查询变量,cha'xun'bian'liang
查询表达式,cha'xun'biao'da'shi
查询关键字,cha'xun'guan'jian'zi
查询模式,cha'xun'mo'shi
查询子句,cha'xun'zi'ju
呈现,cheng'xian
程序集,cheng'xu'ji
程序集缓存,cheng'xu'ji'huan'cun
程序集清单,cheng'xu'ji'qing'dan
程序集元数据,cheng'xu'ji'yuan'shu'ju
程序数据库文件,cheng'xu'shu'ju'ku'wen'jian
成员资格,cheng'yuan'zi'ge
处理程序,chu'li'cheng'xu
窗体,chuang'ti
窗体区域,chuang'ti'qu'yu
窗体设计器,chuang'ti'she'ji'qi
词法范围,ci'fa'fan'wei
从右到左,cong'you'dao'zuo
存储架构定义语言,cun'chu'jia'gou'ding'yi'yu'yan
代码访问安全性,dai'ma'fang'wen'an'quan'xing
代码隐藏类,dai'ma'yin'cang'lei
代码隐藏文件,dai'ma'yin'cang'wen'jian
代码隐藏页,dai'ma'yin'cang'ye
导航属性,dao'hang'shu'xing
订阅,ding'yue
动态控件,dong'tai'kong'jian
动态数据,dong'tai'shu'ju
断言,duan'yan
对齐线,dui'qi'xian
对象初始值设定项,dui'xiang'chu'shi'zhi'she'ding'xiang
对象服务,dui'xiang'fu'wu
对象管理器,dui'xiang'guan'li'qi
对象关系设计器,dui'xiang'guan'xi'she'ji'qi
对象路径,dui'xiang'lu'jing
堆栈布局,dui'zhan'bu'ju
多列排序模式,duo'lie'pai'xu'mo'shi
多目标,duo'mu'biao
多线程,duo'xian'cheng
反射,fan'she
范围变量,fan'wei'bian'liang
泛型,fan'xing
泛型方法,fan'xing'fang'fa
泛型接口,fan'xing'jie'kou
泛型类,fan'xing'lei
泛型类型,fan'xing'lei'xing
泛型类型变量,fan'xing'lei'xing'bian'liang
泛型类型参数,fan'xing'lei'xing'can'shu
泛型类型参数列表,fan'xing'lei'xing'can'shu'lie'biao
泛型类型参数约束,fan'xing'lei'xing'can'shu'yue'shu
泛型类型定义,fan'xing'lei'xing'ding'yi
泛型类型实参,fan'xing'lei'xing'shi'can
方法,fang'fa
访问控制列表,fang'wen'kong'zhi'lie'biao
方向,fang'xiang
非托管代码,fei'tuo'guan'dai'ma
非托管函数,fei'tuo'guan'han'shu
分部类型,fen'bu'lei'xing
分离的提供程序,fen'li'de'ti'gong'cheng'xu
分离式堆栈布局,fen'li'shi'dui'zhan'bu'ju
分页,fen'ye
封闭式泛型类型,feng'bi'shi'fan'xing'lei'xing
风格,feng'ge
封送处理库,feng'song'chu'li'ku
封装,feng'zhuang
符合,fu'he
复合控件,fu'he'kong'jian
附属程序集,fu'shu'cheng'xu'ji
服务描述语言,fu'wu'miao'shu'yu'yan
服务器控件,fu'wu'qi'kong'jian
伽马校正,ga'ma'jiao'zheng
概念架构定义语言,gai'nian'jia'gou'ding'yi'yu'yan
概念模型,gai'nian'mo'xing
个性化设置,ge'xing'hua'she'zhi
个性化设置范围,ge'xing'hua'she'zhi'fan'wei
跟踪,gen'zong
公共信息模型,gong'gong'xin'xi'mo'xing
公共语言规范,gong'gong'yu'yan'gui'fan
公共语言运行时,gong'gong'yu'yan'yun'xing'shi
公共语言运行时宿主,gong'gong'yu'yan'yun'xing'shi'su'zhu
工具栏编辑框按钮,gong'ju'lan'bian'ji'kuang'an'niu
功能区,gong'neng'qu
功能区窗格默认按钮,gong'neng'qu'chuang'ge'mo'ren'an'niu
功能区类别,gong'neng'qu'lei'bie
功能区面板,gong'neng'qu'mian'ban
功能区启动按钮,gong'neng'qu'qi'dong'an'niu
功能区选项卡,gong'neng'qu'xuan'xiang'ka
共享程序集,gong'xiang'cheng'xu'ji
共享控件,gong'xiang'kong'jian
共享名,gong'xiang'ming
工作区,gong'zuo'qu
工作区坐标,gong'zuo'qu'zuo'biao
构造的泛型类型,gou'zao'de'fan'xing'lei'xing
构造泛型类型,gou'zao'fan'xing'lei'xing
构造类型,gou'zao'lei'xing
管理应用程序,guan'li'ying'yong'cheng'xu
关联,guan'lian
关联集,guan'lian'ji
关联类,guan'lian'lei
关联连线,guan'lian'lian'xian
关系模型,guan'xi'mo'xing
管线,guan'xian
管线段,guan'xian'duan
互操作,hu'cao'zuo
互操作程序集,hu'cao'zuo'cheng'xu'ji
回发,hui'fa
会话状态,hui'hua'zhuang'tai
活动模板库,huo'dong'mu'ban'ku
集成管线,ji'cheng'guan'xian
集成模式,ji'cheng'mo'shi
基础类库,ji'chu'lei'ku
基架,ji'jia
即时查询,ji'shi'cha'xun
基于的企业管理,ji'yu'de'qi'ye'guan'li
基于方法的查询,ji'yu'fang'fa'de'cha'xun
基于角色授权,ji'yu'jue'se'shou'quan
基于事件的异步模式,ji'yu'shi'jian'de'yi'bu'mo'shi
架构,jia'gou
架构文档,jia'gou'wen'dang
鉴别器属性,jian'bie'qi'shu'xing
检测,jian'ce
剪辑,jian'ji
交集,jiao'ji
结构,jie'gou
接口,jie'kou
介质检测线程,jie'zhi'jian'ce'xian'cheng
经典模式,jing'dian'mo'shi
静态控件,jing'tai'kong'jian
聚合事件,ju'he'shi'jian
拒绝,ju'jue
拒绝服务攻击,ju'jue'fu'wu'gong'ji
角色,jue'se
卡片,ka'pian
卡片组,ka'pian'zu
开放式泛型类型,kai'fang'shi'fan'xing'lei'xing
可查询类型,ke'cha'xun'lei'xing
可调用的包装,ke'diao'yong'de'bao'zhuang
客户端应用程序服务,ke'hu'duan'ying'yong'cheng'xu'fu'wu
可扩展标记语言,ke'kuo'zhan'biao'ji'yu'yan
可扩展应用程序标记语言,ke'kuo'zhan'ying'yong'cheng'xu'biao'ji'yu'yan
可视化管理器,ke'shi'hua'guan'li'qi
可移植可执行文件,ke'yi'zhi'ke'zhi'xing'wen'jian
可执行文件,ke'zhi'xing'wen'jian
空白,kong'bai
控件,kong'jian
控件状态,kong'jian'zhuang'tai
跨页面发布,kua'ye'mian'fa'bu
快捷键编辑器,kuai'jie'jian'bian'ji'qi
快速信息工具提示,kuai'su'xin'xi'gong'ju'ti'shi
扩展程序控件,kuo'zhan'cheng'xu'kong'jian
扩展方法,kuo'zhan'fang'fa
垃圾回收,la'ji'hui'shou
拉伸,la'shen
类库,lei'ku
类设计器,lei'she'ji'qi
类型安全,lei'xing'an'quan
类型参数列表,lei'xing'can'shu'lie'biao
类型实参,lei'xing'shi'can
类型推理,lei'xing'tui'li
类型系统,lei'xing'xi'tong
类型形参,lei'xing'xing'can
连接,lian'jie
连接点,lian'jie'dian
临时使用方,lin'shi'shi'yong'fang
流布局,liu'bu'ju
锚定,mao'ding
枚举,mei'ju
每用户的控件,mei'yong'hu'de'kong'jian
迷你工具栏,mi'ni'gong'ju'lan
面向性能的语法优化器,mian'xiang'xing'neng'de'yu'fa'you'hua'qi
命令性安全检查,ming'ling'xing'an'quan'jian'cha
命名空间,ming'ming'kong'jian
命名容器,ming'ming'rong'qi
名字对象,ming'zi'dui'xiang
模块,mo'kuai
默认单元系统,mo'ren'dan'yuan'xi'tong
模板,mu'ban
模板化控件,mu'ban'hua'kong'jian
模板集,mu'ban'ji
模板节点,mu'ban'jie'dian
母版页,mu'ban'ye
目录,mu'lu
内部样式,nei'bu'yang'shi
内部样式表,nei'bu'yang'shi'biao
内联函数,nei'lian'han'shu
内容控件,nei'rong'kong'jian
内容页,nei'rong'ye
内在事件,nei'zai'shi'jian
匿名方法,ni'ming'fang'fa
匿名类型,ni'ming'lei'xing
配置文件,pei'zhi'wen'jian
配置文件属性,pei'zhi'wen'jian'shu'xing
批注,pi'zhu
漂浮,piao'fu
平台调用,ping'tai'diao'yong
签名,qian'ming
嵌入资源,qian'ru'zi'yuan
