八十周年校庆,ba'shi'zhou'nian'xiao'qing
保卫处,bao'wei'chu
本部,ben'bu
财务处,cai'wu'chu
曾文瀚,ceng'wen'han
产业管理办,chan'ye'guan'li'ban
城市文化学院,cheng'shi'wen'hua'xue'yuan
城市学院,cheng'shi'xue'yuan
大学城校区,da'xue'cheng'xiao'qu
第二课室大楼,di'er'ke'shi'da'lou
地科院,di'ke'yuan
地理科学学院,di'li'ke'xue'xue'yuan
第三课室大楼,di'san'ke'shi'da'lou
第一课室大楼,di'yi'ke'shi'da'lou
电脑爱好者协会,dian'nao'ai'hao'zhe'xie'hui
二课,er'ke
法学院,fa'xue'yuan
法政系,fa'zheng'xi
非师范,fei'shi'fan
凤凰国际学院,feng'huang'guo'ji'xue'yuan
风味餐厅,feng'wei'can'ting
附幼,fu'you
公共管理学院,gong'gong'guan'li'xue'yuan
公管学院,gong'guan'xue'yuan
光电学院,guang'dian'xue'yuan
光电子材料与技术研究所,guang'dian'zi'cai'liao'yu'ji'shu'yan'jiu'suo
广东省立文理学院,guang'dong'sheng'li'wen'li'xue'yuan
广东省领军人才,guang'dong'sheng'ling'jun'ren'cai
广东省文理学院,guang'dong'sheng'wen'li'xue'yuan
广东师范学院,guang'dong'shi'fan'xue'yuan
广东文理学院,guang'dong'wen'li'xue'yuan
国际商学院,guo'ji'shang'xue'yuan
国际文化学院,guo'ji'wen'hua'xue'yuan
郭杰,guo'jie
汉语言文学,han'yu'yan'wen'xue
翰园,han'yuan
后勤管理处,hou'qin'guan'li'chu
后山,hou'shan
胡钦太,hu'qin'tai
胡社军,hu'she'jun
化环学院,hua'huan'xue'yuan
华南师范大学,hua'nan'shi'fan'da'xue
华南师范大学后院论坛,hua'nan'shi'fan'da'xue'hou'yuan'lun'tan
华南师范大学后院社区,hua'nan'shi'fan'da'xue'hou'yuan'she'qu
华南师范大学学报,hua'nan'shi'fan'da'xue'xue'bao
华南师范学院,hua'nan'shi'fan'xue'yuan
华南先进光电子研究院,hua'nan'xian'jin'guang'dian'zi'yan'jiu'yuan
华师,hua'shi
华师附小,hua'shi'fu'xiao
华师附中,hua'shi'fu'zhong
华师后院,hua'shi'hou'yuan
华师新闻中心,hua'shi'xin'wen'zhong'xin
华师粤海酒店,hua'shi'yue'hai'jiu'dian
化学与环境学院,hua'xue'yu'huan'jing'xue'yuan
环境理论化学重点实验室,huan'jing'li'lun'hua'xue'zhong'dian'shi'yan'shi
黄丽雅,huang'li'ya
黄晓波,huang'xiao'bo
黄兆团,huang'zhao'tuan
基础教育培训与研究院,ji'chu'jiao'yu'pei'xun'yu'yan'jiu'yuan
机关党委,ji'guan'dang'wei
激光生命科学重点实验室,ji'guang'sheng'ming'ke'xue'zhong'dian'shi'yan'shi
基建处,ji'jian'chu
纪检监察处,ji'jian'jian'cha'chu
计算机工程系,ji'suan'ji'gong'cheng'xi
计算机网络技术,ji'suan'ji'wang'luo'ji'shu
计算机系,ji'suan'ji'xi
计算机学院,ji'suan'ji'xue'yuan
继续教育学院,ji'xu'jiao'yu'xue'yuan
计院,ji'yuan
艰苦奋斗,jian'ku'fen'dou
教科办,jiao'ke'ban
教科院,jiao'ke'yuan
教务处,jiao'wu'chu
教信,jiao'xin
教信学院,jiao'xin'xue'yuan
教学研究型,jiao'xue'yan'jiu'xing
教育发展中心,jiao'yu'fa'zhan'zhong'xin
教育科学学院,jiao'yu'ke'xue'xue'yuan
教育信息技术,jiao'yu'xin'xi'ji'shu
教育信息技术学院,jiao'yu'xin'xi'ji'shu'xue'yuan
教育信息技术中心,jiao'yu'xin'xi'ji'shu'zhong'xin
经管系,jing'guan'xi
经管学院,jing'guan'xue'yuan
经济与管理系,jing'ji'yu'guan'li'xi
经济与管理学院,jing'ji'yu'guan'li'xue'yuan
开放学院,kai'fang'xue'yuan
康有为雕像,kang'you'wei'diao'xiang
康有为广场,kang'you'wei'guang'chang
科技处,ke'ji'chu
科学开发公司,ke'xue'kai'fa'gong'si
孔子雕像,kong'zi'diao'xiang
劳动服务公司,lao'dong'fu'wu'gong'si
李静雯,li'jing'wen
理论部,li'lun'bu
历史文化学院,li'shi'wen'hua'xue'yuan
历史学院,li'shi'xue'yuan
离退休工作版,li'tui'xiu'gong'zuo'ban
李醒华,li'xing'hua
刘鸣,liu'ming
旅管,lv'guan
旅游管理系,lv'you'guan'li'xi
旅游管理学院,lv'you'guan'li'xue'yuan
马克思主义学院,ma'ke'si'zhu'yi'xue'yuan
马学义,ma'xue'yi
美食坊,mei'shi'fang
美术学院,mei'shu'xue'yuan
美院,mei'yuan
明德广场,ming'de'guang'chang
南方大学,nan'fang'da'xue
南海校区,nan'hai'xiao'qu
南海校区管委会,nan'hai'xiao'qu'guan'wei'hui
南海学院,nan'hai'xue'yuan
南院,nan'yuan
楠园,nan'yuan
七十五周年校庆,qi'shi'wu'zhou'nian'xiao'qing
七十周年校庆,qi'shi'zhou'nian'xiao'qing
钱贤彬,qian'xian'bin
沁园,qin'yuan
情侣路,qing'lv'lu
情人路,qing'ren'lu
求实创新,qiu'shi'chuang'xin
勷勤大学教育学院,rang'qin'da'xue'jiao'yu'xue'yuan
勷勤大学师范学院,rang'qin'da'xue'shi'fan'xue'yuan
人事处,ren'shi'chu
软件学院,ruan'jian'xue'yuan
瑞典皇家科学院,rui'dian'huang'jia'ke'xue'yuan
三课,san'ke
商业街,shang'ye'jie
社会服务与产学研合作处,she'hui'fu'wu'yu'chan'xue'yan'he'zuo'chu
社会科学处,she'hui'ke'xue'chu
社科处,she'ke'chu
审计处,shen'ji'chu
沈文淮,shen'wen'huai
生科院,sheng'ke'yuan
生命科学学院,sheng'ming'ke'xue'xue'yuan
