按钮菜单,an'niu'cai'dan
凹凸贴图,ao'tu'tie'tu
半透明度,ban'tou'ming'du
贝塞尔曲线,bei'sai'er'qu'xian
比例图示,bi'li'tu'shi
边修改器,bian'xiu'gai'qi
标高,biao'gao
表格打断,biao'ge'da'duan
表格样式,biao'ge'yang'shi
标记,biao'ji
标记集,biao'ji'ji
标签块,biao'qian'kuai
标注变量,biao'zhu'bian'liang
标注块,biao'zhu'kuai
标注文字,biao'zhu'wen'zi
标注样式,biao'zhu'yang'shi
别名,bie'ming
部分自定义文件,bu'fen'zi'ding'yi'wen'jian
布局,bu'ju
布局视口,bu'ju'shi'kou
不透明贴图,bu'tou'ming'tie'tu
捕捉分辨率,bu'zhuo'fen'bian'lv
捕捉角度,bu'zhuo'jiao'du
捕捉模式,bu'zhuo'mo'shi
捕捉栅格,bu'zhuo'shan'ge
菜单浏览器,cai'dan'liu'lan'qi
采样,cai'yang
参考底图,can'kao'di'tu
参数,can'shu
参数集,can'shu'ji
参照,can'zhao
插件,cha'jian
查寻表,cha'xun'biao
查寻特性,cha'xun'te'xing
插值点,cha'zhi'dian
常规特性,chang'gui'te'xing
尺寸线圆弧,chi'cun'xian'yuan'hu
呎烛光,chi'zhu'guang
重画,chong'hua
初始环境,chu'shi'huan'jing
窗交选择,chuang'jiao'xuan'ze
窗口,chuang'kou
窗口选择,chuang'kou'xuan'ze
垂直功能区,chui'zhi'gong'neng'qu
粗糙度,cu'cao'du
存回,cun'hui
大控制盘,da'kong'zhi'pan
打印样式,da'yin'yang'shi
打印样式表,da'yin'yang'shi'biao
代理对象,dai'li'dui'xiang
单个控制盘,dan'ge'kong'zhi'pan
单元,dan'yuan
单元边界,dan'yuan'bian'jie
单元样式,dan'yuan'yang'shi
当前图形,dang'qian'tu'xing
导向曲线,dao'xiang'qu'xian
灯具,deng'ju
等轴测捕捉样式,deng'zhou'ce'bu'zhuo'yang'shi
地理标高,di'li'biao'gao
地理标记,di'li'biao'ji
地面下,di'mian'xia
地平面,di'ping'mian
点标记,dian'biao'ji
点过滤器,dian'guo'lv'qi
电子图形集,dian'zi'tu'xing'ji
顶点,ding'dian
定义表,ding'yi'biao
定义点,ding'yi'dian
冻结,dong'jie
动作,dong'zuo
动作宏,dong'zuo'hong
动作宏文件,dong'zuo'hong'wen'jian
动作树,dong'zuo'shu
抖动,dou'dong
对齐标注,dui'qi'biao'zhu
对象,dui'xiang
对象捕捉模式,dui'xiang'bu'zhuo'mo'shi
对象捕捉替代,dui'xiang'bu'zhuo'ti'dai
多边形窗口选择,duo'bian'xing'chuang'kou'xuan'ze
多重引线,duo'chong'yin'xian
多段体,duo'duan'ti
多段线,duo'duan'xian
多页,duo'ye
法线,fa'xian
反射度,fan'she'du
反射色,fan'she'se
反射贴图,fan'she'tie'tu
范围,fan'wei
反向查寻,fan'xiang'cha'xun
反走样,fan'zou'yang
仿射校准,fang'she'jiao'zhun
放样曲面,fang'yang'qu'mian
放样实体,fang'yang'shi'ti
非关联标注,fei'guan'lian'biao'zhu
分解,fen'jie
分解的标注,fen'jie'de'biao'zhu
浮动面板,fu'dong'mian'ban
浮动视口,fu'dong'shi'kou
符号,fu'hao
符号表,fu'hao'biao
符号库,fu'hao'ku
复合实体,fu'he'shi'ti
辅助表格碎片,fu'zhu'biao'ge'sui'pian
个性化,ge'xing'hua
工具,gong'ju
工具栏,gong'ju'lan
工具提示,gong'ju'ti'shi
工具消息,gong'ju'xiao'xi
功能区,gong'neng'qu
功能区面板,gong'neng'qu'mian'ban
功能区选项卡,gong'neng'qu'xuan'xiang'ka
工作集,gong'zuo'ji
工作空间,gong'zuo'kong'jian
工作平面,gong'zuo'ping'mian
工作图形,gong'zuo'tu'xing
构造平面,gou'zao'ping'mian
孤岛,gu'dao
古氏着色,gu'shi'zhuo'se
关键点,guan'jian'dian
关联标注,guan'lian'biao'zhu
关联填充,guan'lian'tian'chong
光标,guang'biao
光标菜单,guang'biao'cai'dan
光度控制光源,guang'du'kong'zhi'guang'yuan
光通量,guang'tong'liang
光线跟踪,guang'xian'gen'zong
光线跟踪阴影,guang'xian'gen'zong'yin'ying
光线轮廓,guang'xian'lun'kuo
光子贴图,guang'zi'tie'tu
过程化材质,guo'cheng'hua'cai'zhi
过滤器,guo'lv'qi
合并,he'bing
横截面,heng'jie'mian
厚度,hou'du
后向面,hou'xiang'mian
滑出面板,hua'chu'mian'ban
幻灯库,huan'deng'ku
幻灯文件,huan'deng'wen'jian
环境变量,huan'jing'bian'liang
环境光,huan'jing'guang
环境色,huan'jing'se
环境贴图,huan'jing'tie'tu
环形阵列,huan'xing'zhen'lie
回放,hui'fang
回放前的图形环境,hui'fang'qian'de'tu'xing'huan'jing
绘图区域,hui'tu'qu'yu
获取标记,huo'qu'biao'ji
获取的点,huo'qu'de'dian
基本工具提示,ji'ben'gong'ju'ti'shi
基本控制盘,ji'ben'kong'zhi'pan
基点,ji'dian
几何图形,ji'he'tu'xing
激活,ji'huo
基线,ji'xian
基线标注,ji'xian'biao'zhu
基线间隙,ji'xian'jian'xi
极轴追踪,ji'zhou'zhui'zong
夹点,jia'dian
夹点工具,jia'dian'gong'ju
夹点模式,jia'dian'mo'shi
剪裁平面,jian'cai'ping'mian
间接凹凸度,jian'jie'ao'tu'du
间接发光,jian'jie'fa'guang
箭头,jian'tou
脚本文件,jiao'ben'wen'jian
角度标注,jiao'du'biao'zhu
角度单位,jiao'du'dan'wei
焦距,jiao'ju
节点,jie'dian
解冻,jie'dong
界面元素,jie'mian'yuan'su
界限,jie'xian
近似点,jin'si'dian
镜面反射,jing'mian'fan'she
镜像,jing'xiang
句柄,ju'bing
矩形打断,ju'xing'da'duan
绝对坐标,jue'dui'zuo'biao
可固定窗口,ke'gu'ding'chuang'kou
可见性模式,ke'jian'xing'mo'shi
可见性状态,ke'jian'xing'zhuang'tai
空间索引,kong'jian'suo'yin
孔斯片,kong'si'pian
空选择集,kong'xuan'ze'ji
控制点,kong'zhi'dian
控制框,kong'zhi'kuang
控制盘,kong'zhi'pan
控制盘按钮,kong'zhi'pan'an'niu
控制盘表面,kong'zhi'pan'biao'mian
库搜索路径,ku'sou'suo'lu'jing
块编写工具,kuai'bian'xie'gong'ju
块编写选项板,kuai'bian'xie'xuan'xiang'ban
块参照,kuai'can'zhao
块定义,kuai'ding'yi
块定义表,kuai'ding'yi'biao
快捷菜单,kuai'jie'cai'dan
快捷键,kuai'jie'jian
块实例,kuai'shi'li
快速查看工具,kuai'su'cha'kan'gong'ju
快速查看图像,kuai'su'cha'kan'tu'xiang
快照,kuai'zhao
宽高比,kuan'gao'bi
扩展工具提示,kuo'zhan'gong'ju'ti'shi
拉伸,la'shen
拉伸框,la'shen'kuang
勒克斯,le'ke'si
类别,lei'bie
链动作,lian'dong'zuo
链接,lian'jie
连续标注,lian'xu'biao'zhu
亮度,liang'du
亮显相关性,liang'xian'xiang'guan'xing
临时文件,lin'shi'wen'jian
流明,liu'ming
路径曲线,lu'jing'qu'xian
录制的值,lu'zhi'de'zhi
