八一校,ba'yi'xiao
保险公司,bao'xian'gong'si
翠东工业区,cui'dong'gong'ye'qu
翠峦客运站,cui'luan'ke'yun'zhan
翠峦区政府,cui'luan'qu'zheng'fu
翠峦医院,cui'luan'yi'yuan
翠峦原机修厂,cui'luan'yuan'ji'xiu'chang
大百货,da'bai'huo
党校,dang'xiao
道南,dao'nan
第八中学,di'ba'zhong'xue
第五中学,di'wu'zhong'xue
电厂,dian'chang
电厂家属楼,dian'chang'jia'shu'lou
东升,dong'sheng
东升一队,dong'sheng'yi'dui
二百货,er'bai'huo
二粮店,er'liang'dian
二门诊,er'men'zhen
二运,er'yun
二中,er'zhong
繁荣市场,fan'rong'shi'chang
防火中心,fang'huo'zhong'xin
丰林校,feng'lin'xiao
富春园,fu'chun'yuan
妇联幼儿园,fu'lian'you'er'yuan
工行,gong'hang
公交旅行社,gong'jiao'lv'xing'she
工业区,gong'ye'qu
光明二厂,guang'ming'er'chang
光明集团,guang'ming'ji'tuan
光明楼,guang'ming'lou
光明药业,guang'ming'yao'ye
光明一厂,guang'ming'yi'chang
国美电器,guo'mei'dian'qi
红旗,hong'qi
红旗沟口,hong'qi'gou'kou
红旗小区,hong'qi'xiao'qu
红升小区,hong'sheng'xiao'qu
华安财险,hua'an'cai'xian
黄金花园,huang'jin'hua'yuan
火车站,huo'che'zhan
计生委,ji'sheng'wei
机修街,ji'xiu'jie
加工厂医院,jia'gong'chang'yi'yuan
驾校,jia'xiao
加油站,jia'you'zhan
检查站,jian'cha'zhan
交警队,jiao'jing'dui
锦山村,jin'shan'cun
景盛小区,jing'sheng'xiao'qu
经营所,jing'ying'suo
旧货市场,jiu'huo'shi'chang
军分区,jun'fen'qu
康复医院,kang'fu'yi'yuan
康乐药店,kang'le'yao'dian
靠山街,kao'shan'jie
客运站,ke'yun'zhan
筷子厂,kuai'zi'chang
劳动局,lao'dong'ju
老清真寺,lao'qing'zhen'si
老收费站,lao'shou'fei'zhan
老政府,lao'zheng'fu
黎明校,li'ming'xiao
黎明小区,li'ming'xiao'qu
黎明小区西门,li'ming'xiao'qu'xi'men
黎明小学道口,li'ming'xiao'xue'dao'kou
龙凤阁,long'feng'ge
龙凤阁市场,long'feng'ge'shi'chang
绿磨盘,lv'mo'pan
美华,mei'hua
明园小区,ming'yuan'xiao'qu
农行大厦,nong'hang'da'sha
农机厂,nong'ji'chang
农林街,nong'lin'jie
批发市场,pi'fa'shi'chang
汽车公司,qi'che'gong'si
七公里,qi'gong'li
汽校,qi'xiao
七中,qi'zhong
前进社,qian'jin'she
桥东,qiao'dong
青峰道口,qing'feng'dao'kou
人防办,ren'fang'ban
人民银行,ren'min'yin'hang
日报社,ri'bao'she
三桥,san'qiao
三小,san'xiao
森铁街,sen'tie'jie
商厦,shang'sha
少年宫,shao'nian'gong
圣泉河,sheng'quan'he
市场,shi'chang
世纪园,shi'ji'yuan
市建设局,shi'jian'she'ju
市委,shi'wei
市政府,shi'zheng'fu
曙光,shu'guang
水上公园,shui'shang'gong'yuan
松韵城,song'yun'cheng
特教,te'jiao
体育馆,ti'yu'guan
铁林小学,tie'lin'xiao'xue
铁路医院,tie'lu'yi'yuan
图书馆,tu'shu'guan
卫东,wei'dong
卫校,wei'xiao
文化宫,wen'hua'gong
五二三,wu'er'san
五六,wu'liu
乌马河广场,wu'ma'he'guang'chang
武装部,wu'zhuang'bu
西山,xi'shan
乡政府,xiang'zheng'fu
新欣小区,xin'xin'xiao'qu
信用社,xin'yong'she
星河湾,xing'he'wan
行政中心,xing'zheng'zhong'xin
畜牧局,xu'mu'ju
血站,xue'zhan
烟草公司,yan'cao'gong'si
一百货,yi'bai'huo
伊春商厦,yi'chun'shang'sha
伊东林场,yi'dong'lin'chang
伊东农牧场,yi'dong'nong'mu'chang
伊林林场,yi'lin'lin'chang
伊青道口,yi'qing'dao'kou
医院道口,yi'yuan'dao'kou
一中,yi'zhong
银座酒店,yin'zuo'jiu'dian
永兴小区,yong'xing'xiao'qu
邮电大厦,you'dian'da'sha
原检查站,yuan'jian'cha'zhan
朝阳小学,zhao'yang'xiao'xue
政府新址,zheng'fu'xin'zhi
征稽处,zheng'ji'chu
职工食堂,zhi'gong'shi'tang
职教中心,zhi'jiao'zhong'xin
职业学院,zhi'ye'xue'yuan
中心街,zhong'xin'jie
中心医院,zhong'xin'yi'yuan
中植村,zhong'zhi'cun
贮木厂,zhu'mu'chang
砖厂,zhuan'chang
总工会,zong'gong'hui
综合市场,zong'he'shi'chang
