阿代,a'dai
阿丹,a'dan
阿德,a'de
阿甸园,a'dian'yuan
阿赫默德,a'he'mo'de
阿西叶,a'xi'ye
阿宰尔,a'zai'er
阿扎尔,a'zha'er
阿兹拉伊来,a'zi'la'yi'lai
艾布伯舍尔,ai'bu'bo'she'er
哀哈格夫,ai'ha'ge'fu
艾哈戛弗,ai'ha'jia'fu
艾哈默德,ai'ha'mo'de
哀凯,ai'kai
艾勒叶赛尔,ai'le'ye'sai'er
安优卜,an'you'bo
巴尔,ba'er
白耳利,bai'er'li
拜星教徒,bai'xing'jiao'tu
比勒基斯,bi'le'ji'si
卜拉格,bo'la'ge
查鲁特,cha'lu'te
丛林的居民,cong'lin'de'ju'min
大欧特,da'ou'te
达伍德,da'wu'de
达伍德的迷误,da'wu'de'de'mi'wu
登霄,deng'xiao
洞中人,dong'zhong'ren
杜瓦,du'wa
恩霖阴,en'lin'yin
尔母兰,er'mu'lan
尔撒,er'sa
尔撒的预言,er'sa'de'yu'yan
尔撒之死,er'sa'zhi'si
法老,fa'lao
斐尔道司,fei'er'dao'si
匪喇傲,fei'la'ao
嘎比勒,ga'bi'le
葛伦,ge'lun
戈伦,ge'lun
哈比勒,ha'bi'le
哈鲁特,ha'lu'te
哈伦,ha'lun
哈曼,ha'man
哈哲尔,ha'zhe'er
好娃,hao'wa
好娲,hao'wa
赫资勒,he'zi'le
黑秩尔,hei'zhi'er
黑孜尔,hei'zi'er
胡伯勒,hu'bo'le
扈代,hu'dai
胡德,hu'de
黄牛,huang'niu
吉卜利里,ji'bo'li'li
吉卜特,ji'bo'te
精灵,jing'ling
精尼,jing'ni
掘坑人,jue'keng'ren
拉特,la'te
赖吉姆,lai'ji'mu
兰斯,lan'si
滥斯,lan'si
鲁格曼,lu'ge'man
鲁密,lu'mi
鲁姆,lu'mu
鲁特,lu'te
鲁脱,lu'tuo
马尔焉,ma'er'yan
马立克,ma'li'ke
玛利克,ma'li'ke
马鲁特,ma'lu'te
马纳特,ma'na'te
马朱者,ma'zhu'zhe
买大严,mai'da'yan
麦德彦,mai'de'yan
麦尔彦,mai'er'yan
麦嘎姆麦哈茂德,mai'ga'mu'mai'ha'mao'de
麦希哈,mai'xi'ha
埋西哈,mai'xi'ha
蒙卡尔,meng'ka'er
米卡里,mi'ka'li
米卡伊来,mi'ka'yi'lai
默那,mo'na
母撒,mu'sa
穆萨,mu'sa
穆萨的奇迹,mu'sa'de'qi'ji
穆萨的约定,mu'sa'de'yue'ding
纳基尔,na'ji'er
奈斯尔,nai'si'er
奈伊莱,nai'yi'lai
努哈,nu'ha
努海,nu'hai
欧萨,ou'sa
欧宰尔,ou'zai'er
七人一狗,qi'ren'yi'gou
萨比教徒,sa'bi'jiao'tu
撒旦,sa'dan
撒立哈,sa'li'ha
撒米里,sa'mi'li
塞白,sai'bai
赛伯邑,sai'bo'yi
赛莫德,sai'mo'de
赛母德,sai'mu'de
沙便人,sha'bian'ren
沙里哈,sha'li'ha
沙迷赖人,sha'mi'lai'ren
晒依陀尼,shai'yi'tuo'ni
施师,shi'shi
舒阿卜,shu'a'bo
书尔布,shu'er'bu
双角人,shuang'jiao'ren
苏莱曼,su'lai'man
素赖曼,su'lai'man
苏莱曼的智慧,su'lai'man'de'zhi'hui
素瓦尔,su'wa'er
塔古特,ta'gu'te
塔鲁特,ta'lu'te
天降筵席,tian'jiang'yan'xi
图白,tu'bai
图尔,tu'er
图哇,tu'wa
瓦德,wa'de
旺德,wang'de
乌札,wu'zha
希只尔,xi'zhi'er
希兹尔,xi'zi'er
象军,xiang'jun
信禁,xin'jin
修建天房传说,xiu'jian'tian'fang'chuan'shuo
雅非斯,ya'fei'si
雅朱者,ya'zhu'zhe
叶尔孤白,ye'er'gu'bai
叶哈雅,ye'ha'ya
叶欧格,ye'ou'ge
叶巫斯,ye'wu'si
夜行,ye'xing
伊布拉欣,yi'bu'la'xin
易卜拉欣,yi'bu'la'xin
易卜拉欣立足地,yi'bu'la'xin'li'zu'di
易卜劣厮,yi'bu'lie'si
一德理师,yi'de'li'shi
易德里斯,yi'de'li'si
易夫里特,yi'fu'li'te
伊赖姆,yi'lai'mu
易勒雅斯,yi'le'ya'si
伊銮,yi'luan
仪姆兰,yi'mu'lan
伊赛夫,yi'sai'fu
以色列的后裔,yi'se'lie'de'hou'yi
易司哈格,yi'si'ha'ge
伊斯坎达尔,yi'si'kan'da'er
伊斯拉非来,yi'si'la'fei'lai
易司拉仪,yi'si'la'yi
伊斯玛仪,yi'si'ma'yi
易司马仪,yi'si'ma'yi
伊兹拉伊来,yi'zi'la'yi'lai
幼年的尔撒,you'nian'de'er'sa
优努斯,you'nu'si
优舍阿,you'she'a
优素福,you'su'fu
宰凯里雅,zai'kai'li'ya
宰洛祈福礼,zai'luo'qi'fu'li
翟克赁亚,zhai'ke'lin'ya
哲布勒伊来,zhe'bu'le'yi'lai
镇尼,zhen'ni
滞布特,zhi'bu'te
朱迪,zhu'di
朱迭,zhu'die
助勒基福勒,zhu'le'ji'fu'le
租立格尔乃尼,zu'li'ge'er'nai'ni
左勒盖尔奈英,zuo'le'gai'er'nai'ying
左农,zuo'nong
