爱丽舍宫,ai'li'she'gong
艾滋病,ai'zi'bing
按揭贷款,an'jie'dai'kuan
安居工程,an'ju'gong'cheng
暗亏,an'kui
按劳分配,an'lao'fen'pei
澳门大三巴牌坊,ao'men'da'san'ba'pai'fang
奥姆真理教,ao'mu'zhen'li'jiao
巴黎证券交易所,ba'li'zheng'quan'jiao'yi'suo
把握大局,ba'wo'da'ju
拜把兄弟,bai'ba'xiong'di
摆架子,bai'jia'zi
白马王子,bai'ma'wang'zi
拜年,bai'nian
摆谱儿,bai'pu'er
白色行情表,bai'se'hang'qing'biao
白色农业,bai'se'nong'ye
白手起家,bai'shou'qi'jia
白条,bai'tiao
半拉子工程,ban'la'zi'gong'cheng
搬迁户,ban'qian'hu
傍大款,bang'da'kuan
棒球运动记者,bang'qiu'yun'dong'ji'zhe
保持国有股,bao'chi'guo'you'gu
包干到户,bao'gan'dao'hu
包干制,bao'gan'zhi
包工包料,bao'gong'bao'liao
报国计划的实施,bao'guo'ji'hua'de'shi'shi
保护性关税,bao'hu'xing'guan'shui
保健食品,bao'jian'shi'pin
保理业务,bao'li'ye'wu
保税区,bao'shui'qu
保雅家,bao'ya'jia
保证重点支出,bao'zheng'zhong'dian'zhi'chu
保值储蓄,bao'zhi'chu'xu
包装机械,bao'zhuang'ji'xie
北欧投资银行,bei'ou'tou'zi'yin'hang
本本主义,ben'ben'zhu'yi
本垒打,ben'lei'da
本命年,ben'ming'nian
笨鸟先飞,ben'niao'xian'fei
奔小康,ben'xiao'kang
蹦极,beng'ji
比较经济学,bi'jiao'jing'ji'xue
闭门羹,bi'men'geng
比上不足,bi'shang'bu'zu
逼上梁山,bi'shang'liang'shan
边际报酬,bian'ji'bao'chou
变相涨价,bian'xiang'zhang'jia
便携式电脑,bian'xie'shi'dian'nao
边缘科学,bian'yuan'ke'xue
标书,biao'shu
表演赛,biao'yan'sai
剥夺冠军,bo'duo'guan'jun
博士生,bo'shi'sheng
不败记录,bu'bai'ji'lu
不承诺放弃使用武器,bu'cheng'nuo'fang'qi'shi'yong'wu'qi
不打不成交,bu'da'bu'cheng'jiao
布达拉宫,bu'da'la'gong
不到长城非好汉,bu'dao'chang'cheng'fei'hao'han
不可再生资源,bu'ke'zai'sheng'zi'yuan
布雷顿森林体系,bu'lei'dun'sen'lin'ti'xi
不良贷款,bu'liang'dai'kuan
补缺选举,bu'que'xuan'ju
补贴与反补贴措施,bu'tie'yu'fan'bu'tie'cuo'shi
步行天桥,bu'xing'tian'qiao
不夜城,bu'ye'cheng
不正之风,bu'zheng'zhi'feng
不准打白条,bu'zhun'da'bai'tiao
擦边球,ca'bian'qiu
擦网球,ca'wang'qiu
采取高姿态,cai'qu'gao'zi'tai
采取市场多元化战略,cai'qu'shi'chang'duo'yuan'hua'zhan'lue
参政,can'zheng
仓储式超市,cang'chu'shi'chao'shi
沧海桑田,cang'hai'sang'tian
草根工业,cao'gen'gong'ye
层层转包和违法分保,ceng'ceng'zhuan'bao'he'wei'fa'fen'bao
茶道,cha'dao
差额投票,cha'e'tou'piao
差额选举,cha'e'xuan'ju
查房,cha'fang
拆东墙补西墙,chai'dong'qiang'bu'xi'qiang
拆迁户,chai'qian'hu
产粮大省,chan'liang'da'sheng
产品结构,chan'pin'jie'gou
产权明晰,chan'quan'ming'xi
产权制度,chan'quan'zhi'du
搀水股票,chan'shui'gu'piao
产销直接挂钩,chan'xiao'zhi'jie'gua'gou
产业的升级换代,chan'ye'de'sheng'ji'huan'dai
产业结构升级,chan'ye'jie'gou'sheng'ji
长二捆,chang'er'kun
唱高调,chang'gao'diao
长江三角洲,chang'jiang'san'jiao'zhou
长期共存,chang'qi'gong'cun
畅通工程,chang'tong'gong'cheng
长线产品,chang'xian'chan'pin
畅销产品,chang'xiao'chan'pin
厂长经理负责制,chang'zhang'jing'li'fu'ze'zhi
超高速巨型计算机,chao'gao'su'ju'xing'ji'suan'ji
超前消费,chao'qian'xiao'fei
城市规划,cheng'shi'gui'hua
城市中年雅皮士,cheng'shi'zhong'nian'ya'pi'shi
城乡信用社,cheng'xiang'xin'yong'she
吃大锅饭,chi'da'guo'fan
吃皇粮,chi'huang'liang
重复建设,chong'fu'jian'she
筹备委员会,chou'bei'wei'yuan'hui
抽杀成功,chou'sha'cheng'gong
出风头,chu'feng'tou
出家,chu'jia
出口创汇能力,chu'kou'chuang'hui'neng'li
出口加工区,chu'kou'jia'gong'qu
出口退税,chu'kou'tui'shui
出口退税制度,chu'kou'tui'shui'zhi'du
出口转内销,chu'kou'zhuan'nei'xiao
传销,chuan'xiao
