百年标,bai'nian'biao
白皮标,bai'pi'biao
白片,bai'pian
包浆,bao'jiang
藏报,cang'bao
藏交会,cang'jiao'hui
藏刊,cang'kan
藏品交流会,cang'pin'jiao'liu'hui
藏品展,cang'pin'zhan
藏友,cang'you
传世古,chuan'shi'gu
存疑戳,cun'yi'chuo
存疑片,cun'yi'pian
大路标,da'lu'biao
倒戳,dao'chuo
地方国营标,di'fang'guo'ying'biao
翻印片,fan'yin'pian
反置片,fan'zhi'pian
风景戳,feng'jing'chuo
公私合营标,gong'si'he'ying'biao
古旧书,gu'jiu'shu
观光纪念标,guan'guang'ji'nian'biao
广陵票证,guang'ling'piao'zheng
规范片,gui'fan'pian
国耻片,guo'chi'pian
过渡标,guo'du'biao
国际集邮联,guo'ji'ji'you'lian
国庆标,guo'qing'biao
函购,han'gou
罕品,han'pin
贺年金卡,he'nian'jin'ka
贺年有奖明信片,he'nian'you'jiang'ming'xin'pian
互登互换,hu'deng'hu'huan
绘画片,hui'hua'pian
混血片,hun'xue'pian
集藏,ji'cang
集卡,ji'ka
集粮,ji'liang
纪念标,ji'nian'biao
极限集邮,ji'xian'ji'you
极限集邮评审规则,ji'xian'ji'you'ping'shen'gui'ze
极限明信片,ji'xian'ming'xin'pian
极限片,ji'xian'pian
集邮,ji'you
集邮界,ji'you'jie
剪副,jian'fu
警句标,jing'ju'biao
酒标,jiu'biao
卡标,ka'biao
卡友,ka'you
老标,lao'biao
联营标,lian'ying'biao
连友,lian'you
粮友,liang'you
马片,ma'pian
玫瑰片,mei'gui'pian
派生品,pai'sheng'pin
啤标,pi'biao
片源,pian'yuan
票后片,piao'hou'pian
票前片,piao'qian'pian
品丰价廉,pin'feng'jia'lian
企业金卡,qi'ye'jin'ka
全对位,quan'dui'wei
人美版,ren'mei'ban
散票,san'piao
三无标,san'wu'biao
色套标,se'tao'biao
山东省收藏家协会,shan'dong'sheng'shou'cang'jia'xie'hui
山东收藏协会,shan'dong'shou'cang'xie'hui
摄影片,she'ying'pian
试制标,shi'zhi'biao
收藏,shou'cang
收藏界,shou'cang'jie
双面标,shuang'mian'biao
索阅,suo'yue
套票,tao'piao
条码标,tiao'ma'biao
贴标,tie'biao
同步片,tong'bu'pian
外标,wai'biao
文革标,wen'ge'biao
文革品,wen'ge'pin
无格片,wu'ge'pian
下马标,xia'ma'biao
相似片,xiang'si'pian
新邮,xin'you
亚运标,ya'yun'biao
烟标,yan'biao
沂蒙收藏,yi'meng'shou'cang
邮报,you'bao
有格片,you'ge'pian
邮刊,you'kan
邮目,you'mu
邮友,you'you
邮展,you'zhan
邮政规章制度,you'zheng'gui'zhang'zhi'du
邮制极限片,you'zhi'ji'xian'pian
语布,yu'bu
原地戳,yuan'di'chuo
原地集邮,yuan'di'ji'you
早期标,zao'qi'biao
早期片,zao'qi'pian
珍罕,zhen'han
珍票,zhen'piao
重德守信,zhong'de'shou'xin
中国收藏家协会,zhong'guo'shou'cang'jia'xie'hui
中烟标,zhong'yan'biao
专印片,zhuan'yin'pian
自然片,zi'ran'pian
自制极限片,zi'zhi'ji'xian'pian
