阿富汗狐,a'fu'han'hu
白狐,bai'hu
北极狐,bei'ji'hu
北极狐属,bei'ji'hu'shu
苍狐,cang'hu
藏狐,cang'hu
草狐,cao'hu
草原狐,cao'yuan'hu
赤狐,chi'hu
大耳狐,da'er'hu
大耳狐属,da'er'hu'shu
岛屿灰狐,dao'yu'hui'hu
耳廓狐,er'kuo'hu
红狐,hong'hu
狐狸,hu'li
狐属,hu'shu
灰狐,hui'hu
灰狐属,hui'hu'shu
蓝狐,lan'hu
吕佩尔狐,lv'pei'er'hu
孟加拉狐,meng'jia'la'hu
敏狐,min'hu
南非狐,nan'fei'hu
沙狐,sha'hu
