备用频率,bei'yong'pin'lv
操作反干扰,cao'zuo'fan'gan'rao
地面电子侦察站,di'mian'dian'zi'zhen'cha'zhan
电磁辐射,dian'ci'fu'she
电磁辐射源,dian'ci'fu'she'yuan
电子对抗,dian'zi'dui'kang
电子对抗保障计划,dian'zi'dui'kang'bao'zhang'ji'hua
电子对抗模拟试验场,dian'zi'dui'kang'mo'ni'shi'yan'chang
电子对抗演习,dian'zi'dui'kang'yan'xi
电子干扰,dian'zi'gan'rao
电子干扰飞机,dian'zi'gan'rao'fei'ji
电子干扰设备,dian'zi'gan'rao'she'bei
电子干扰艇,dian'zi'gan'rao'ting
电子干扰装置,dian'zi'gan'rao'zhuang'zhi
电子告警,dian'zi'gao'jing
电子告警设备,dian'zi'gao'jing'she'bei
电子诱饵,dian'zi'you'er
电子侦察,dian'zi'zhen'cha
电子侦察船,dian'zi'zhen'cha'chuan
电子侦察飞机,dian'zi'zhen'cha'fei'ji
电子侦察卫星,dian'zi'zhen'cha'wei'xing
定向天线,ding'xiang'tian'xian
多路通信,duo'lu'tong'xin
发信台,fa'xin'tai
反辐射导弹,fan'fu'she'dao'dan
反干扰,fan'gan'rao
反干扰电路,fan'gan'rao'dian'lu
反干扰能力,fan'gan'rao'neng'li
反雷达导弹,fan'lei'da'dao'dan
复合干扰,fu'he'gan'rao
干扰目标,gan'rao'mu'biao
干扰目的,gan'rao'mu'di
干扰强度,gan'rao'qiang'du
干扰扇面,gan'rao'shan'mian
干扰设备,gan'rao'she'bei
干扰手段,gan'rao'shou'duan
干扰物,gan'rao'wu
干扰效果,gan'rao'xiao'guo
干扰装置,gan'rao'zhuang'zhi
干扰走廊,gan'rao'zou'lang
工作频率,gong'zuo'pin'lv
光电对抗,guang'dian'dui'kang
光学干扰,guang'xue'gan'rao
光学干扰装置,guang'xue'gan'rao'zhuang'zhi
红外诱饵,hong'wai'you'er
后方干扰分群,hou'fang'gan'rao'fen'qun
回答式干扰,hui'da'shi'gan'rao
己方雷达,ji'fang'lei'da
假的通信联络,jia'de'tong'xin'lian'luo
假电报,jia'dian'bao
假电台,jia'dian'tai
抗干扰,kang'gan'rao
快速跳频,kuai'su'tiao'pin
快速通信,kuai'su'tong'xin
雷达部队对抗,lei'da'bu'dui'dui'kang
雷达对抗,lei'da'dui'kang
雷达反干扰,lei'da'fan'gan'rao
雷达干扰,lei'da'gan'rao
雷达迷盲,lei'da'mi'mang
雷达网,lei'da'wang
雷达诱饵,lei'da'you'er
雷达侦测,lei'da'zhen'ce
瞄准式干扰,miao'zhun'shi'gan'rao
欺骗性干扰,qi'pian'xing'gan'rao
前方干扰分群,qian'fang'gan'rao'fen'qun
人工慢速电报,ren'gong'man'su'dian'bao
水声对抗,shui'sheng'dui'kang
随行干扰,sui'xing'gan'rao
探测手段,tan'ce'shou'duan
天线副瓣,tian'xian'fu'ban
跳频,tiao'pin
通信频带,tong'xin'pin'dai
通信体制,tong'xin'ti'zhi
投掷式电子侦察器材,tou'zhi'shi'dian'zi'zhen'cha'qi'cai
投掷式干扰机,tou'zhi'shi'gan'rao'ji
无线电测向,wu'xian'dian'ce'xiang
无线电测向台,wu'xian'dian'ce'xiang'tai
无线电通信部队对抗,wu'xian'dian'tong'xin'bu'dui'dui'kang
无线电通信对抗计划,wu'xian'dian'tong'xin'dui'kang'ji'hua
无线电通信反干扰,wu'xian'dian'tong'xin'fan'gan'rao
无线电通信反侦察,wu'xian'dian'tong'xin'fan'zhen'cha
无线电通信干扰,wu'xian'dian'tong'xin'gan'rao
无线电通信干扰群,wu'xian'dian'tong'xin'gan'rao'qun
无线电通信干扰站,wu'xian'dian'tong'xin'gan'rao'zhan
无线电通信冒充,wu'xian'dian'tong'xin'mao'chong
无线电通信迷惑,wu'xian'dian'tong'xin'mi'huo
无线电通信侦听引导台,wu'xian'dian'tong'xin'zhen'ting'yin'dao'tai
无线电通讯电子侦察,wu'xian'dian'tong'xun'dian'zi'zhen'cha
无线电仰动,wu'xian'dian'yang'dong
无源定位,wu'yuan'ding'wei
无源干扰,wu'yuan'gan'rao
吸收材料,xi'shou'cai'liao
消极干扰弹,xiao'ji'gan'rao'tan
消极干扰投放器,xiao'ji'gan'rao'tou'fang'qi
压制性干扰,ya'zhi'xing'gan'rao
仰动,yang'dong
一次使用干扰机,yi'ci'shi'yong'gan'rao'ji
有源干扰,you'yuan'gan'rao
展宽频段,zhan'kuan'pin'duan
自卫干扰,zi'wei'gan'rao
阻塞式干扰,zu'se'shi'gan'rao
最大干扰距离,zui'da'gan'rao'ju'li
最小干扰距离,zui'xiao'gan'rao'ju'li
