阿西龙冶金公司,a'xi'long'ye'jin'gong'si
矮高炉,ai'gao'lu
艾氏冲击,ai'shi'chong'ji
艾氏冲击试验,ai'shi'chong'ji'shi'yan
艾氏冲击试验机,ai'shi'chong'ji'shi'yan'ji
艾氏冲击试样,ai'shi'chong'ji'shi'yang
艾氏冲击值,ai'shi'chong'ji'zhi
艾氏抗冲击强度,ai'shi'kang'chong'ji'qiang'du
艾氏切口,ai'shi'qie'kou
矮竖炉,ai'shu'lu
黯表面,an'biao'mian
安大略湖钢公司,an'da'lue'hu'gang'gong'si
按量分配室,an'liang'fen'pei'shi
暗裂纹,an'lie'wen
按钮式操纵器,an'niu'shi'cao'zong'qi
安全界限,an'quan'jie'xian
按项目前进,an'xiang'mu'qian'jin
安装,an'zhuang
奥多莱塞小型钢公司,ao'duo'lai'se'xiao'xing'gang'gong'si
凹凸透镜,ao'tu'tou'jing
坝基截水墙槽,ba'ji'jie'shui'qiang'cao
拔模,ba'mo
把弄清楚,ba'nong'qing'chu
把手,ba'shou
白点,bai'dian
摆动式给料机,bai'dong'shi'gei'liao'ji
摆动星轮,bai'dong'xing'lun
百公斤,bai'gong'jin
白榴石,bai'liu'shi
白铍石,bai'pi'shi
白色光亮金属,bai'se'guang'liang'jin'shu
白铁矿,bai'tie'kuang
白透辉石,bai'tou'hui'shi
百万,bai'wan
百万吨,bai'wan'dun
百万分之一,bai'wan'fen'zhi'yi
百万分之一的,bai'wan'fen'zhi'yi'de
百万分之一英寸,bai'wan'fen'zhi'yi'ying'cun
百万位,bai'wan'wei
白渣熔炼,bai'zha'rong'lian
白棕绳,bai'zong'sheng
板,ban
瓣,ban
半安定白硅石,ban'an'ding'bai'gui'shi
板材在多辊式矫直机上矫直,ban'cai'zai'duo'gun'shi'jiao'zhi'ji'shang'jiao'zhi
板材轧机,ban'cai'zha'ji
半导体激光器,ban'dao'ti'ji'guang'qi
半肥型砂,ban'fei'xing'sha
半干粘土器皿,ban'gan'nian'tu'qi'min
拌好的混凝土,ban'hao'de'hun'ning'tu
拌合槽,ban'he'cao
拌合器,ban'he'qi
半金属,ban'jin'shu
板晶钙磷酸石,ban'jing'gai'lin'suan'shi
板晶石,ban'jing'shi
半凝顶弯,ban'ning'ding'wan
板式基础,ban'shi'ji'chu
板条,ban'tiao
板条状马氏体,ban'tiao'zhuang'ma'shi'ti
半椭圆针锉,ban'tuo'yuan'zhen'cuo
半悬链系,ban'xuan'lian'xi
半液体润滑,ban'ye'ti'run'hua
半油脂砂,ban'you'zhi'sha
班长,ban'zhang
瓣状晶粒的主晶,ban'zhuang'jing'li'de'zhu'jing
搬走,ban'zou
棒材切割机,bang'cai'qie'ge'ji
棒料最大许可直径,bang'liao'zui'da'xu'ke'zhi'jing
绑线,bang'xian
包,bao
薄板,bao'ban
薄板电磁分送机构,bao'ban'dian'ci'fen'song'ji'gou
薄板矫平,bao'ban'jiao'ping
薄板金属焊接,bao'ban'jin'shu'han'jie
薄板轧机,bao'ban'zha'ji
