挨打呀,ai'da'ya
爱上器,ai'shang'qi
安益街,an'yi'jie
熬不行,ao'bu'xing
白洞,bai'dong
白凯奇,bai'kai'qi
白马城,bai'ma'cheng
白皮,bai'pi
板鸡,ban'ji
包工队,bao'gong'dui
北都桥,bei'du'qiao
倍加造,bei'jia'zao
北馨,bei'xin
甭介,beng'jie
鼻窦,bi'dou
逼寡,bi'gua
别价,bie'jie
别麻烦,bie'ma'fan
别麻烦了,bie'ma'fan'le
不大点,bu'da'dian
不带的,bu'dai'de
不带的了,bu'dai'de'le
不带去了,bu'dai'qu'le
不待着,bu'dai'zhe
不得呢,bu'de'ne
不顶了,bu'ding'le
不定事,bu'ding'shi
不肚疼,bu'du'teng
不敢定,bu'gan'ding
不红火,bu'hong'huo
不进眼,bu'jin'yan
不进眼的,bu'jin'yan'de
不愣,bu'leng
不领我,bu'ling'wo
不能哇,bu'neng'wa
不是哇,bu'shi'wa
不睡的呢,bu'shui'de'ne
不由人,bu'you'ren
不在大同,bu'zai'da'tong
不知道的呢,bu'zhi'dao'de'ne
不知道咋啦,bu'zhi'dao'za'la
不至于哇,bu'zhi'yu'wa
材料科,cai'liao'ke
猜也是,cai'ye'shi
操场城,cao'chang'cheng
差不多哇,cha'bu'duo'wa
柴沟堡,chai'gou'bu
常有理,chang'you'li
吃饭的呢,chi'fan'de'ne
吃饭去哇,chi'fan'qu'wa
吃饭哇,chi'fan'wa
吃糕,chi'gao
吃凉粉,chi'liang'fen
齿轮厂,chi'lun'chang
迟去,chi'qu
吃去哇,chi'qu'wa
吃去呀,chi'qu'ya
吃啥饭了,chi'sha'fan'le
丑货,chou'huo
出不上,chu'bu'shang
出来哇,chu'lai'wa
出呀,chu'ya
从大同,cong'da'tong
从太原,cong'tai'yuan
粗粮馆,cu'liang'guan
存电,cun'dian
大齿,da'chi
打电话哇,da'dian'hua'wa
大斗沟,da'dou'gou
大黑夜,da'hei'ye
大黑夜的,da'hei'ye'de
大红本,da'hong'ben
大庆路,da'qing'lu
打扰家,da'rao'jia
打扫家,da'sao'jia
大同,da'tong
大同啊,da'tong'a
大同吧,da'tong'ba
大同宾馆,da'tong'bin'guan
大同大学,da'tong'da'xue
大同到,da'tong'dao
大同的,da'tong'de
大同二中,da'tong'er'zhong
大同公园,da'tong'gong'yuan
大同号,da'tong'hao
大同话,da'tong'hua
大同啦,da'tong'la
大同了,da'tong'le
大同吗,da'tong'ma
大同那,da'tong'na
大同哪的,da'tong'na'de
大同哪里,da'tong'na'li
