阿奴是粒大真珠,a'nu'shi'li'da'zhen'zhu
爱歌,ai'ge
爱歌唱,ai'ge'chang
爱歌春香传,ai'ge'chun'xiang'chuan
爱歌春香传选段,ai'ge'chun'xiang'chuan'xuan'duan
爱歌春香传选曲,ai'ge'chun'xiang'chuan'xuan'qu
爱歌选自春香传,ai'ge'xuan'zi'chun'xiang'chuan
爱恨交织折磨人,ai'hen'jiao'zhi'zhe'mo'ren
爱恨交织折磨人沈园绝唱选曲,ai'hen'jiao'zhi'zhe'mo'ren'shen'yuan'jue'chang'xuan'qu
爱慕之情,ai'mu'zhi'qing
安得心上人儿还,an'de'xin'shang'ren'er'hai
安得心上人儿还宝莲灯,an'de'xin'shang'ren'er'hai'bao'lian'deng
安得心上人儿还宝莲灯林燕云,an'de'xin'shang'ren'er'hai'bao'lian'deng'lin'yan'yun
安得心上人儿还选自宝莲灯,an'de'xin'shang'ren'er'hai'xuan'zi'bao'lian'deng
傲雪寒梅能挺立,ao'xue'han'mei'neng'ting'li
八宝追夫唱,ba'bao'zhui'fu'chang
跋山涉水披风尘选自十五贯,ba'shan'she'shui'pi'feng'chen'xuan'zi'shi'wu'guan
拜辞菩萨再叩首下山,bai'ci'pu'sa'zai'kou'shou'xia'shan
百龄挂帅定边疆,bai'ling'gua'shuai'ding'bian'jiang
百龄挂帅定边疆杨令婆征西,bai'ling'gua'shuai'ding'bian'jiang'yang'ling'po'zheng'xi
白玉凤祭江三竿恨选曲,bai'yu'feng'ji'jiang'san'gan'hen'xuan'qu
拜月华,bai'yue'hua
拜月华王魁休妻刘柔铄,bai'yue'hua'wang'kui'xiu'qi'liu'rou'shuo
拜月华王魁休妻曲,bai'yue'hua'wang'kui'xiu'qi'qu
拜月华张怡凰,bai'yue'hua'zhang'yi'huang
板仓采线连井风蝶恋花蚁燕丹,ban'cang'cai'xian'lian'jing'feng'die'lian'hua'yi'yan'dan
报仇雪恨告狼豺,bao'chou'xue'hen'gao'lang'chai
报仇雪恨告狼豺选自告亲夫,bao'chou'xue'hen'gao'lang'chai'xuan'zi'gao'qin'fu
宝钏盼郎,bao'chuan'pan'lang
宝钏盼郎红鬃烈马,bao'chuan'pan'lang'hong'zong'lie'ma
包公会李后,bao'gong'hui'li'hou
报国志,bao'guo'zhi
鸨母问老三方展荣薛泽游,bao'mu'wen'lao'san'fang'zhan'rong'xue'ze'you
宝玉哭灵红楼梦,bao'yu'ku'ling'hong'lou'meng
包拯难敷眼前伤包公错判狄龙案,bao'zheng'nan'fu'yan'qian'shang'bao'gong'cuo'pan'di'long'an
包拯岂是怕死辈,bao'zheng'qi'shi'pa'si'bei
杯茶炷香奠芳魂,bei'cha'zhu'xiang'dian'fang'hun
杯茶炷香奠芳魂选自花烛泪,bei'cha'zhu'xiang'dian'fang'hun'xuan'zi'hua'zhu'lei
北风紧催步履忙,bei'feng'jin'cui'bu'lv'mang
悲泪哭上苍白高梁选曲,bei'lei'ku'shang'cang'bai'gao'liang'xuan'qu
悲切切埋下这心头恨三竿恨选曲,bei'qie'qie'mai'xia'zhe'xin'tou'hen'san'gan'hen'xuan'qu
悲妾身芦林会,bei'qie'shen'lu'lin'hui
悲思王兄无尽期,bei'si'wang'xiong'wu'jin'qi
悲思王兄无尽期罗通扫北,bei'si'wang'xiong'wu'jin'qi'luo'tong'sao'bei
奔腾起伏大巴山江姐选曲,ben'teng'qi'fu'da'ba'shan'jiang'jie'xuan'qu
奔天涯,ben'tian'ya
碧波情缘,bi'bo'qing'yuan
碧波情缘西湖公主余丽莉,bi'bo'qing'yuan'xi'hu'gong'zhu'yu'li'li
碧波情缘选自西湖公主,bi'bo'qing'yuan'xuan'zi'xi'hu'gong'zhu
彼此已非旧时人,bi'ci'yi'fei'jiu'shi'ren
碧空如水夜如海,bi'kong'ru'shui'ye'ru'hai
碧空如水夜如海磨房会选曲,bi'kong'ru'shui'ye'ru'hai'mo'fang'hui'xuan'qu
璧娘劝郎,bi'niang'quan'lang
笔颂终南魂选段,bi'song'zhong'nan'hun'xuan'duan
表花火焰驹,biao'hua'huo'yan'ju
