柏溪,bai'xi
柏溪花园,bai'xi'hua'yuan
北桥头,bei'qiao'tou
北正街,bei'zheng'jie
碧峰园,bi'feng'yuan
碧水山庄,bi'shui'shan'zhuang
菜坝中学,cai'ba'zhong'xue
叉路口,cha'lu'kou
长江桥头,chang'jiang'qiao'tou
长江造林局,chang'jiang'zao'lin'ju
车间,che'jian
川煤,chuan'mei
川南医院,chuan'nan'yi'yuan
翠屏路,cui'ping'lu
翠屏山,cui'ping'shan
翠屏天桥,cui'ping'tian'qiao
大观楼,da'guan'lou
大麦坝,da'mai'ba
大南街,da'nan'jie
大南路,da'nan'lu
大水井,da'shui'jing
大溪口,da'xi'kou
党校,dang'xiao
电厂,dian'chang
电厂大门,dian'chang'da'men
电厂东大门,dian'chang'dong'da'men
电视台,dian'shi'tai
吊黄楼火车站,diao'huang'lou'huo'che'zhan
东街,dong'jie
东楼街,dong'lou'jie
二二四,er'er'si
二岗,er'gang
二医院,er'yi'yuan
方碑,fang'bei
肥鱼场,fei'yu'chang
凤凰小区,feng'huang'xiao'qu
福利院,fu'li'yuan
富邻金沙,fu'lin'jin'sha
高客站,gao'ke'zhan
高庄桥,gao'zhuang'qiao
工商银行,gong'shang'yin'hang
骨科医院,gu'ke'yi'yuan
观斗山温泉,guan'dou'shan'wen'quan
观音湾,guan'yin'wan
广场东路,guang'chang'dong'lu
广场西路,guang'chang'xi'lu
广东馆,guang'dong'guan
光厦小区,guang'sha'xiao'qu
桂园宾馆,gui'yuan'bin'guan
航天路口,hang'tian'lu'kou
和苑小区,he'yuan'xiao'qu
黑林子,hei'lin'zi
红峰西路,hong'feng'xi'lu
华荣酒店,hua'rong'jiu'dian
会馆路,hui'guan'lu
火车站,huo'che'zhan
机场,ji'chang
疾控中心,ji'kong'zhong'xin
驾校,jia'xiao
加油站,jia'you'zhan
建设路,jian'she'lu
江北鼎业兴城,jiang'bei'ding'ye'xing'cheng
江北建材城,jiang'bei'jian'cai'cheng
交警大队,jiao'jing'da'dui
街区,jie'qu
金发市场,jin'fa'shi'chang
金凤凰,jin'feng'huang
金江大厦,jin'jiang'da'sha
金沙广场,jin'sha'guang'chang
金沙广场西站,jin'sha'guang'chang'xi'zhan
锦丝路,jin'si'lu
锦绣花园,jin'xiu'hua'yuan
经济校,jing'ji'xiao
敬业路,jing'ye'lu
酒都温泉,jiu'du'wen'quan
九家村,jiu'jia'cun
旧州路,jiu'zhou'lu
桔园,ju'yuan
开发区,kai'fa'qu
老菜市,lao'cai'shi
李家院,li'jia'yuan
梨子坳口,li'zi'ao'kou
两路桥,liang'lu'qiao
林化厂,lin'hua'chang
刘臣街,liu'chen'jie
六中,liu'zhong
龙凤苑,long'feng'yuan
龙湾路,long'wan'lu
龙湾小区,long'wan'xiao'qu
鲁能生活广场,lu'neng'sheng'huo'guang'chang
绿洲家园,lv'zhou'jia'yuan
绿洲家园二区,lv'zhou'jia'yuan'er'qu
煤坝,mei'ba
煤厂,mei'chang
岷江大桥,min'jiang'da'qiao
岷江桥北,min'jiang'qiao'bei
南岸火车站,nan'an'huo'che'zhan
南岸文化广场,nan'an'wen'hua'guang'chang
南岸一医院,nan'an'yi'yi'yuan
南广,nan'guang
南广路,nan'guang'lu
南客站,nan'ke'zhan
南门大桥,nan'men'da'qiao
南门桥,nan'men'qiao
南门桥北,nan'men'qiao'bei
南门桥头,nan'men'qiao'tou
农贸市场,nong'mao'shi'chang
女学街,nv'xue'jie
鹏程电子厂,peng'cheng'dian'zi'chang
平交道,ping'jiao'dao
蒲草田,pu'cao'tian
普什公司,pu'shen'gong'si
葡萄园小区,pu'tao'yuan'xiao'qu
骑龙坳,qi'long'ao
气象站,qi'xiang'zhan
七星小区,qi'xing'xiao'qu
仁和街,ren'he'jie
人民路,ren'min'lu
人民路广场,ren'min'lu'guang'chang
容发食品厂,rong'fa'shi'pin'chang
肉联厂,rou'lian'chang
三官楼,san'guan'lou
三江厂,san'jiang'chang
三中,san'zhong
森林小区,sen'lin'xiao'qu
沙坪镇,sha'ping'zhen
上渡口,shang'du'kou
省建,sheng'jian
市建行,shi'jian'hang
石码坡,shi'ma'po
市政府,shi'zheng'fu
水厂,shui'chang
水井,shui'jing
四零五,si'ling'wu
思瑞,si'rui
笋子厂,sun'zi'chang
天池公园,tian'chi'gong'yuan
天马山庄,tian'ma'shan'zhuang
