阿斯莫,a'si'mo
爱刺,ai'ci
爱刺天族,ai'ci'tian'zu
艾伐,ai'fa
艾伐黑触手,ai'fa'hei'chu'shou
艾罗娜,ai'luo'na
矮人,ai'ren
矮人防御者,ai'ren'fang'yu'zhe
矮人矛斧,ai'ren'mao'fu
矮人文,ai'ren'wen
矮人语,ai'ren'yu
矮人之神,ai'ren'zhi'shen
矮人重斧,ai'ren'zhong'fu
矮种马,ai'zhong'ma
矮种战马,ai'zhong'zhan'ma
安定心神,an'ding'xin'shen
安抚动物,an'fu'dong'wu
暗黑卫士,an'hei'wei'shi
暗黑祝福,an'hei'zhu'fu
暗菁华露,an'jing'hua'lu
黯精灵,an'jing'ling
暗掠者粉末,an'lue'zhe'fen'mo
暗幕魔兽,an'mu'mo'shou
暗纳迦,an'na'jia
鞍囊,an'nang
暗示,an'shi
暗音盲怪,an'yin'mang'guai
暗语沟通,an'yu'gou'tong
奥法骑士,ao'fa'qi'shi
奥火,ao'huo
奥塞魔,ao'sai'mo
獒首,ao'shou
獒首神使,ao'shou'shen'shi
奥术,ao'shu
奥术施法者,ao'shu'shi'fa'zhe
奥术失效,ao'shu'shi'xiao
奥术使用者,ao'shu'shi'yong'zhe
奥术与防具,ao'shu'yu'fang'ju
奥术之手,ao'shu'zhi'shou
奥图迷舞,ao'tu'mi'wu
巴霸魔,ba'ba'mo
巴洛魔,ba'luo'mo
八面骰,ba'mian'tou
巴特祖,ba'te'zu
巴特祖族,ba'te'zu'zu
八头蛇蜥,ba'tou'she'xi
拔武器,ba'wu'qi
耙抓,ba'zhua
百病不侵,bai'bing'bu'qin
白龙,bai'long
百面骰,bai'mian'tou
百足魔兽,bai'zu'mo'shou
半精灵,ban'jing'ling
半身甲,ban'shen'jia
半身人,ban'shen'ren
半身人女神,ban'shen'ren'nv'shen
半兽人,ban'shou'ren
绊摔,ban'shuai
半速移动,ban'su'yi'dong
板条甲,ban'tiao'jia
半位面,ban'wei'mian
半羊人,ban'yang'ren
绊足包,ban'zu'bao
薄板龙,bao'ban'long
保护领域,bao'hu'ling'yu
包卷,bao'juan
爆雷石,bao'lei'shi
爆裂符文,bao'lie'fu'wen
暴龙,bao'long
暴虐之王,bao'nue'zhi'wang
被吹动,bei'chui'dong
贝克风精,bei'ke'feng'jing
倍数伤害,bei'shu'shang'hai
倍速移动,bei'su'yi'dong
本职技能,ben'zhi'ji'neng
本职技能最高级数,ben'zhi'ji'neng'zui'gao'ji'shu
毕格比,bi'ge'bi
毕格比飞击掌,bi'ge'bi'fei'ji'zhang
毕格比粉碎掌,bi'ge'bi'fen'sui'zhang
毕格比护身掌,bi'ge'bi'hu'shen'zhang
毕格比金刚拳,bi'ge'bi'jin'gang'quan
毕格比擒拿掌,bi'ge'bi'qin'na'zhang
必然命中,bi'ran'ming'zhong
碧玉,bi'yu
变化系,bian'hua'xi
变巨术,bian'ju'shu
扁瓶,bian'ping
变身术,bian'shen'shu
辨识法术,bian'shi'fa'shu
便携式攻城槌,bian'xie'shi'gong'cheng'chui
变形怪,bian'xing'guai
变形生物,bian'xing'sheng'wu
变形他人,bian'xing'ta'ren
变形万物,bian'xing'wan'wu
变形蛛,bian'xing'zhu
变形自己,bian'xing'zi'ji
变颜术,bian'yan'shu
辨知,bian'zhi
辨知谎言,bian'zhi'huang'yan
表演,biao'yan
标准宝物,biao'zhun'bao'wu
标准动作,biao'zhun'dong'zuo
濒死,bin'si
冰风暴,bing'feng'bao
冰魔蝠,bing'mo'fu
冰墙术,bing'qiang'shu
兵蚁,bing'yi
波达尸,bo'da'shi
拨挡,bo'dang
拨挡飞箭,bo'dang'fei'jian
博卡布,bo'ka'bu
玻璃酒瓶,bo'li'jiu'ping
博学士,bo'xue'shi
部分动作,bu'fen'dong'zuo
不倦狂暴,bu'juan'kuang'bao
不老身躯,bu'lao'shen'qu
不灭明焰,bu'mie'ming'yan
不屈意志,bu'qu'yi'zhi
