白板,bai'ban
白板笔,bai'ban'bi
板擦,ban'ca
办公台,ban'gong'tai
报表,bao'biao
报事贴,bao'shi'tie
保险柜,bao'xian'gui
笔袋,bi'dai
笔记本,bi'ji'ben
笔架,bi'jia
笔筒,bi'tong
便笺,bian'jian
彩喷纸,cai'pen'zhi
裁纸刀,cai'zhi'dao
裁纸机,cai'zhi'ji
尺子,chi'zi
储物柜,chu'wu'gui
传真机,chuan'zhen'ji
传真纸,chuan'zhen'zhi
磁性板,ci'xing'ban
大班椅,da'ban'yi
大班桌,da'ban'zhuo
打孔机,da'kong'ji
大头针,da'tou'zhen
打印机,da'yin'ji
打字机,da'zi'ji
档案袋,dang'an'dai
刀削,dao'xiao
地球仪,di'qiu'yi
点钞机,dian'chao'ji
电话本,dian'hua'ben
电脑桌,dian'nao'zhuo
订书机,ding'shu'ji
订书针,ding'shu'zhen
放大镜,fang'da'jing
粉笔,fen'bi
分光仪,fen'guang'yi
复写纸,fu'xie'zhi
复印机,fu'yin'ji
复印纸,fu'yin'zhi
钢笔,gang'bi
固体胶,gu'ti'jiao
光度计,guang'du'ji
光谱仪,guang'pu'yi
过塑机,guo'su'ji
号码机,hao'ma'ji
黑板,hei'ban
画笔,hua'bi
画布,hua'bu
画框,hua'kuang
画纸,hua'zhi
幻灯机,huan'deng'ji
会客椅,hui'ke'yi
绘图机,hui'tu'ji
绘图纸,hui'tu'zhi
回形针,hui'xing'zhen
会议桌,hui'yi'zhuo
活页本,huo'ye'ben
记号笔,ji'hao'bi
记事本,ji'shi'ben
集邮簿,ji'you'bu
讲台,jiang'tai
教鞭,jiao'bian
胶卷,jiao'juan
胶片,jiao'pian
胶水,jiao'shui
镜头,jing'tou
经纬仪,jing'wei'yi
卷笔,juan'bi
考勤机,kao'qin'ji
课桌椅,ke'zhuo'yi
刻字机,ke'zi'ji
棱镜,leng'jing
练习本,lian'xi'ben
绿板,lv'ban
滤光片,lv'guang'pian
滤色片,lv'se'pian
毛笔,mao'bi
美工刀,mei'gong'dao
名片盒,ming'pian'he
墨盒,mo'he
墨水,mo'shui
墨砚,mo'yan
屏风,ping'feng
凭证,ping'zheng
铅笔,qian'bi
三脚架,san'jiao'jia
扫描仪,sao'miao'yi
色差计,se'cha'ji
色带,se'dai
晒图机,shai'tu'ji
摄影棚,she'ying'peng
收银纸,shou'yin'zhi
书包,shu'bao
书立,shu'li
书写纸,shu'xie'zhi
水准仪,shui'zhun'yi
塑封机,su'feng'ji
算盘,suan'pan
碎纸机,sui'zhi'ji
太阳镜,tai'yang'jing
碳带,tan'dai
碳粉,tan'fen
提款箱,ti'kuan'xiang
通讯录,tong'xun'lu
透镜,tou'jing
投影机,tou'ying'ji
图钉,tu'ding
望远镜,wang'yuan'jing
文件柜,wen'jian'gui
文件夹,wen'jian'jia
文具盒,wen'ju'he
硒鼓,xi'gu
线圈本,xian'quan'ben
显微镜,xian'wei'jing
相册,xiang'ce
橡皮擦,xiang'pi'ca
相纸,xiang'zhi
信封,xin'feng
修正带,xiu'zheng'dai
修正液,xiu'zheng'ye
宣纸,xuan'zhi
学生床,xue'sheng'chuang
验钞机,yan'chao'ji
眼镜布,yan'jing'bu
眼镜盒,yan'jing'he
夜视仪,ye'shi'yi
荧光笔,ying'guang'bi
圆规,yuan'gui
圆珠笔,yuan'zhu'bi
展示台,zhan'shi'tai
帐簿,zhang'bu
折射仪,zhe'she'yi
职员椅,zhi'yuan'yi
中性笔,zhong'xing'bi
装订机,zhuang'ding'ji
