阿长与山海经,a'chang'yu'shan'hai'jing
阿寄传,a'ji'chuan
阿英文集,a'ying'wen'ji
艾昂甫,ai'ang'fu
矮柏赋,ai'bai'fu
爱国歌,ai'guo'ge
爱国魂,ai'guo'hun
哀江南赋,ai'jiang'nan'fu
哀江头,ai'jiang'tou
爱莲说,ai'lian'shuo
哀纤夫,ai'qian'fu
艾青,ai'qing
艾青全集,ai'qing'quan'ji
哀诗,ai'shi
艾芜,ai'wu
哀郢,ai'ying
哀中国,ai'zhong'guo
安边书,an'bian'shu
安定集,an'ding'ji
安徽安县人,an'hui'an'xian'ren
安徽全椒人,an'hui'quan'jiao'ren
安徽人,an'hui'ren
安徽桐城人,an'hui'tong'cheng'ren
安徽无为县人,an'hui'wu'wei'xian'ren
安徽宣城人,an'hui'xuan'cheng'ren
安身论,an'shen'lun
岸堂集,an'tang'ji
安序堂文钞,an'xu'tang'wen'chao
安雅堂酒令,an'ya'tang'jiu'ling
安雅堂全集,an'ya'tang'quan'ji
安重荣,an'zhong'rong
聱叟,ao'sou
八公山赋,ba'gong'shan'fu
巴金,ba'jin
八声甘州,ba'sheng'gan'zhou
八仙出处东游记传,ba'xian'chu'chu'dong'you'ji'chuan
罢宴,ba'yan
把一切献给党,ba'yi'qie'xian'gei'dang
白沟,bai'gou
百合花,bai'he'hua
白虎通义,bai'hu'tong'yi
白虎通注,bai'hu'tong'zhu
白华门藏稿,bai'hua'men'cang'gao
百家谱,bai'jia'pu
拜经楼诗集,bai'jing'lou'shi'ji
白居易,bai'ju'yi
白莲,bai'lian
百炼成钢,bai'lian'cheng'gang
白马论,bai'ma'lun
白马篇,bai'ma'pian
白毛女,bai'mao'nv
白茅堂集,bai'mao'tang'ji
百末词,bai'mo'ci
白朴,bai'pu
稗畦集,bai'qi'ji
白求恩大夫,bai'qiu'en'dai'fu
白氏长庆集,bai'shi'chang'qing'ji
白石词,bai'shi'ci
白石道人诗,bai'shi'dao'ren'shi
白石道人诗集,bai'shi'dao'ren'shi'ji
白水瀑布,bai'shui'pu'bu
白苏斋集,bai'su'zhai'ji
白苏斋类集,bai'su'zhai'lei'ji
白头吟,bai'tou'yin
白兔赋,bai'tu'fu
白兔记,bai'tu'ji
白行简,bai'xing'jian
白雪歌,bai'xue'ge
白雪遗音,bai'xue'yi'yin
白洋淀纪事,bai'yang'dian'ji'shi
百一居士,bai'yi'ju'shi
白雨斋词话,bai'yu'zhai'ci'hua
拜月亭,bai'yue'ting
百战百胜,bai'zhan'bai'sheng
柏庄诗草,bai'zhuang'shi'cao
柏子,bai'zi
半边眉,ban'bian'mei
班彪,ban'biao
班固,ban'gu
柈湖文集,ban'hu'wen'ji
半农杂文,ban'nong'za'wen
板桥集,ban'qiao'ji
板桥杂记,ban'qiao'za'ji
板桥自序,ban'qiao'zi'xu
般涉哨遍,ban'she'shao'bian
班师议,ban'shi'yi
半塘词稿,ban'tang'ci'gao
半夜朝元,ban'ye'chao'yuan
班昭,ban'zhao
斑竹记,ban'zhu'ji
傍杏楼调琴草,bang'xing'lou'tiao'qin'cao
褒贬论,bao'bian'lun
鲍参军集,bao'can'jun'ji
宝鼎记,bao'ding'ji
保定人,bao'ding'ren
暴风骤雨,bao'feng'zhou'yu
葆光子,bao'guang'zi
宝绘堂记,bao'hui'tang'ji
宝剑歌,bao'jian'ge
宝剑记,bao'jian'ji
抱箭集,bao'jian'ji
宝晋英光集,bao'jin'ying'guang'ji
宝林,bao'lin
宝林禅师语录,bao'lin'chan'shi'yu'lu
