安头,an'tou
白兑庄,bai'dui'zhuang
白家岭,bai'jia'ling
白家焉,bai'jia'yan
白家庄,bai'jia'zhuang
柏掌,bai'zhang
堡上,bao'shang
堡只,bao'zhi
北村,bei'cun
北故乡,bei'gu'xiang
北峪,bei'yu
北庄,bei'zhuang
毕家掌,bi'jia'zhang
卜家庄,bu'jia'zhuang
蔡家沟,cai'jia'gou
曹家社,cao'jia'she
曹家崖,cao'jia'ya
茶坊,cha'fang
岔口,cha'kou
柴家庄,chai'jia'zhuang
常家岭,chang'jia'ling
常家山,chang'jia'shan
长街,chang'jie
长足,chang'zu
车户园,che'hu'yuan
车足头,che'zu'tou
陈家峪,chen'jia'yu
陈家庄,chen'jia'zhuang
城北沟,cheng'bei'gou
程家庄,cheng'jia'zhuang
锄家沿,chu'jia'yan
川口,chuan'kou
崔家洼,cui'jia'wa
崔家庄,cui'jia'zhuang
大井坡,da'jing'po
大麦郊,da'mai'jiao
大洼,da'wa
店则沟,dian'ze'gou
丁家沟,ding'jia'gou
丁家焉,ding'jia'yan
东沟,dong'gou
东沟底,dong'gou'di
东家塘,dong'jia'tang
东家洼,dong'jia'wa
东岭,dong'ling
东罗洼,dong'luo'wa
东坡,dong'po
东头,dong'tou
东洼,dong'wa
东营塘,dong'ying'tang
段家庄,duan'jia'zhuang
樊家沿,fan'jia'yan
樊家庄,fan'jia'zhuang
范石滩,fan'shi'tan
范辛庄,fan'xin'zhuang
峰堡,feng'bao
峰村,feng'cun
冯家港,feng'jia'gang
风只山,feng'zhi'shan
付家社,fu'jia'she
高堡,gao'bao
高家条,gao'jia'tiao
高家焉,gao'jia'yan
高庙山,gao'miao'shan
圪垛,ge'duo
圪塔,ge'ta
圪塔头,ge'ta'tou
沟底,gou'di
沟东,gou'dong
沟西,gou'xi
固村沟,gu'cun'gou
古桑园,gu'sang'yuan
光桑园,guang'sang'yuan
广武庄,guang'wu'zhuang
郭家岭,guo'jia'ling
郭家掌,guo'jia'zhang
海泉洼,hai'quan'wa
韩家沟,han'jia'gou
韩家庄,han'jia'zhuang
河底,he'di
和古,he'gu
贺家洼,he'jia'wa
贺家庄,he'jia'zhuang
贺崖底,he'ya'di
黑龙神,hei'long'shen
横罗,heng'luo
红焰,hong'yan
后凡村,hou'fan'cun
侯家坪,hou'jia'ping
侯家渠,hou'jia'qu
后岭,hou'ling
后水头,hou'shui'tou
后洼,hou'wa
后务城,hou'wu'cheng
后西村,hou'xi'cun
后峪,hou'yu
后庄,hou'zhuang
胡家庄,hu'jia'zhuang
化圪垛,hua'ge'duo
化角,hua'jiao
化洼,hua'wa
花寨,hua'zhai
黄崖,huang'ya
回龙,hui'long
回龙乡,hui'long'xiang
会则,hui'ze
火山,huo'shan
火台山,huo'tai'shan
火烟头,huo'yan'tou
吉子沟,ji'zi'gou
贾家沟,jia'jia'gou
讲理,jiang'li
交口,jiao'kou
交子,jiao'zi
解家坪,jie'jia'ping
解家洼,jie'jia'wa
靳家沟,jin'jia'gou
井沟,jing'gou
均庄,jun'zhuang
康城,kang'cheng
康城镇,kang'cheng'zhen
康家坡,kang'jia'po
克俄,ke'e
克胡,ke'hu
岢岚后,ke'lan'hou
客陀,ke'tuo
孔家庄,kong'jia'zhuang
李家坡,li'jia'po
李家山,li'jia'shan
梁家沟,liang'jia'gou
梁家河,liang'jia'he
梁家庄,liang'jia'zhuang
岭后,ling'hou
岭南,ling'nan
岭头,ling'tou
刘家坡,liu'jia'po
刘家洼,liu'jia'wa
刘家焉,liu'jia'yan
刘家庄,liu'jia'zhuang
刘外,liu'wai
刘外庄,liu'wai'zhuang
龙棚,long'peng
龙山,long'shan
龙神殿,long'shen'dian
栾子头,luan'zi'tou
罗卜山,luo'bu'shan
落刁塔,luo'diao'ta
吕家沟,lv'jia'gou
马家坪,ma'jia'ping
马家山,ma'jia'shan
马家焉,ma'jia'yan
马家庄,ma'jia'zhuang
孟家焉,meng'jia'yan
庙港,miao'gang
明志沟,ming'zhi'gou
木瓜沟,mu'gua'gou
穆家渠,mu'jia'qu
南故乡,nan'gu'xiang
南河,nan'he
南岭,nan'ling
南坪,nan'ping
南山,nan'shan
南洼,nan'wa
南洼山,nan'wa'shan
南焉,nan'yan
南庄,nan'zhuang
碾子沟,nian'zi'gou
牛槽沟,niu'cao'gou
蟠龙庄,pan'long'zhuang
盘盘峪,pan'pan'yu
庞家庄,pang'jia'zhuang
庞子洼,pang'zi'wa
平等,ping'deng
蒲依,pu'yi
齐家庄,qi'jia'zhuang
前村,qian'cun
前凡村,qian'fan'cun
前岭,qian'ling
前务城,qian'wu'cheng
前西村,qian'xi'cun
前焉,qian'yan
乔家庄,qiao'jia'zhuang
桥上,qiao'shang
秦王岭,qin'wang'ling
青圪垛,qing'ge'duo
青山,qing'shan
却不吃,que'bu'chi
任家岭,ren'jia'ling
桑后峪,sang'hou'yu
桑子里,sang'zi'li
沙洼,sha'wa
沙焉,sha'yan
陕村,shan'cun
山神峪,shan'shen'yu
山头,shan'tou
上村,shang'cun
上蒿城,shang'hao'cheng
尚家沟,shang'jia'gou
上科庄,shang'ke'zhuang
上桃花,shang'tao'hua
上田庄,shang'tian'zhuang
上洼,shang'wa
上王吉,shang'wang'ji
上硖石,shang'xia'shi
上仙,shang'xian
上阳坡,shang'yang'po
上益千,shang'yi'qian
上庄,shang'zhuang
舍子沟,she'zi'gou
申家山,shen'jia'shan
神堂底,shen'tang'di
十二盘,shi'er'pan
石圪塔,shi'ge'ta
石家岭,shi'jia'ling
石咀会,shi'ju'hui
石口,shi'kou
石口乡,shi'kou'xiang
石岭后,shi'ling'hou
石楼村,shi'lou'cun
双池,shuang'chi
双池镇,shuang'chi'zhen
水头,shui'tou
水头镇,shui'tou'zhen
寺底,si'di
寺沟,si'gou
寺焉,si'yan
苏家滩,su'jia'tan
孙圪垛,sun'ge'duo
孙家沟,sun'jia'gou
