安包,an'bao
安呀,an'ya
包匪,bao'fei
爆火,bao'huo
包在右边,bao'zai'you'bian
包在左边,bao'zai'zuo'bian
不冲的踢,bu'chong'de'ti
不要打我,bu'yao'da'wo
不要走,bu'yao'zou
不走的踢,bu'zou'de'ti
侧道,ce'dao
侧门,ce'men
拆包,chai'bao
拆包器,chai'bao'qi
超级跳,chao'ji'tiao
撤退,che'tui
冲锋,chong'feng
穿墙,chuan'qiang
穿死,chuan'si
大道,da'dao
大鸟,da'niao
大喷,da'pen
搭人梯,da'ren'ti
大跳狙,da'tiao'ju
单喷,dan'pen
单挑,dan'tiao
地图是改装的,di'tu'shi'gai'zhuang'de
点射,dian'she
调重力,diao'zhong'li
定狙,ding'ju
顶下,ding'xia
顶住,ding'zhu
对狙,dui'ju
蹲点,dun'dian
蹲跳,dun'tiao
蹲下,dun'xia
二楼,er'lou
发把大鸟,fa'ba'da'niao
发把枪,fa'ba'qiang
发现敌人,fa'xian'di'ren
发现一个僵尸,fa'xian'yi'ge'jiang'shi
发现一群僵尸,fa'xian'yi'qun'jiang'shi
反恐精英,fan'kong'jing'ying
反恐精英改装,fan'kong'jing'ying'gai'zhuang
反作弊器,fan'zuo'bi'qi
匪家,fei'jia
匪头,fei'tou
匪窝,fei'wo
匪专,fei'zhuan
芬兰之星,fen'lan'zhi'xing
刚才的图,gang'cai'de'tu
给把枪,gei'ba'qiang
跟狙,gen'ju
跟我冲,gen'wo'chong
跟我来,gen'wo'lai
跟我走,gen'wo'zou
幻彩,huan'cai
换个地图,huan'ge'di'tu
换个图,huan'ge'tu
换图,huan'tu
回抄,hui'chao
回防,hui'fang
毁灭者,hui'mie'zhe
挤房,ji'fang
机甲风暴,ji'jia'feng'bao
极限跳跃,ji'xian'tiao'yue
架枪,jia'qiang
架梯,jia'ti
建房,jian'fang
建主,jian'zhu
警基地,jing'ji'di
警家,jing'jia
警专,jing'zhuan
救场,jiu'chang
狙镜,ju'jing
开镜,kai'jing
恐怖分子,kong'bu'fen'zi
空心狙,kong'xin'ju
空血,kong'xue
快走,kuai'zou
狂怒骑士,kuang'nu'qi'shi
窥屏,kui'ping
老家,lao'jia
老鸟,lao'niao
雷区,lei'qu
雷炸,lei'zha
立体架枪,li'ti'jia'qiang
连狙,lian'ju
连喷,lian'pen
裂魂骑士,lie'hun'qi'shi
绿道,lv'dao
埋包,mai'bao
买甲,mai'jia
盲狙,mang'ju
没钱了,mei'qian'le
盟国,meng'guo
梦瑶,meng'yao
名人堂,ming'ren'tang
你蹲在那里,ni'dun'zai'na'li
你谁呀,ni'shui'ya
你在哪区,ni'zai'na'qu
鸟狙,niao'ju
鸟枪,niao'qiang
喷子,pen'zi
破译芯片,po'yi'xin'pian
钳子,qian'zi
切狙,qie'ju
请求支援,qing'qiu'zhi'yuan
请让一下,qing'rang'yi'xia
请与我换一下枪,qing'yu'wo'huan'yi'xia'qiang
全体到安全区域集合,quan'ti'dao'an'quan'qu'yu'ji'he
全体集合,quan'ti'ji'he
全体移动,quan'ti'yi'dong
扔包,reng'bao
扔雷,reng'lei
三发连射,san'fa'lian'she
三楼,san'lou
丧尸,sang'shi
扫射,sao'she
沙漠废墟,sha'mo'fei'xu
沙漠之鹰,sha'mo'zhi'ying
沙鹰,sha'ying
闪光雷,shan'guang'lei
闪镜,shan'jing
闪狙,shan'ju
闪雷,shan'lei
闪身爆头,shan'shen'bao'tou
上房顶,shang'fang'ding
尸变,shi'bian
守包,shou'bao
手雷,shou'lei
刷屏,shua'ping
刷钱,shua'qian
刷下,shua'xia
刷一下,shua'yi'xia
甩狙,shuai'ju
甩雷,shuai'lei
甩枪,shuai'qiang
双发连射,shuang'fa'lian'she
宿主,su'zhu
天台,tian'tai
跳狙,tiao'ju
同盟,tong'meng
偷包,tou'bao
偷袭,tou'xi
突围沙漠废墟,tu'wei'sha'mo'fei'xu
外场,wai'chang
网忒卡,wang'tei'ka
我顶不住了,wo'ding'bu'zhu'le
我替你挡着,wo'ti'ni'dang'zhe
吸引火力,xi'yin'huo'li
霰弹枪,xian'dan'qiang
小道,xiao'dao
小狙,xiao'ju
雪地狂奔,xue'di'kuang'ben
雅金,ya'jin
压枪,ya'qiang
掩护我,yan'hu'wo
烟雾弹,yan'wu'dan
炸主,zha'zhu
战队,zhan'dui
站起,zhan'qi
着凉的北极熊,zhao'liang'de'bei'ji'xiong
正与敌军交火,zheng'yu'di'jun'jiao'huo
中门,zhong'men
主机,zhu'ji
装包,zhuang'bao
装雷,zhuang'lei
作弊的踢,zuo'bi'de'ti
作弊的自己滚,zuo'bi'de'zi'ji'gun
作弊器,zuo'bi'qi
