岙村,ao'cun
八都桥头,ba'du'qiao'tou
八都镇,ba'du'zhen
八一宾馆,ba'yi'bin'guan
白莲花涂料厂,bai'lian'hua'tu'liao'chang
贝头村,bei'tou'cun
财经学校,cai'jing'xue'xiao
车辆检测站,che'liang'jian'ce'zhan
车站检测站,che'zhan'jian'ce'zhan
城东花苑,cheng'dong'hua'yuan
大地保险,da'di'bao'xian
单石碑,dan'shi'bei
地质队,di'zhi'dui
电业局,dian'ye'ju
电站路口,dian'zhan'lu'kou
东方国际大饭店,dong'fang'guo'ji'da'fan'dian
东方康宁,dong'fang'kang'ning
东方医院,dong'fang'yi'yuan
东湖市场,dong'hu'shi'chang
斗门头,dou'men'tou
福海花园,fu'hai'hua'yuan
福洋村,fu'yang'cun
福洋石材市场,fu'yang'shi'cai'shi'chang
港务局,gang'wu'ju
高级中学,gao'ji'zhong'xue
公交大楼,gong'jiao'da'lou
工业学校,gong'ye'xue'xiao
古溪村,gu'xi'cun
古溪路口,gu'xi'lu'kou
冠宏星,guan'hong'xing
罐头厂,guan'tou'chang
广电大厦,guang'dian'da'sha
贵岐村,gui'qi'cun
国防大楼,guo'fang'da'lou
鹤峰路口,he'feng'lu'kou
河乾,he'qian
荷园新村,he'yuan'xin'cun
后岗环岛,hou'gang'huan'dao
后岗开发区,hou'gang'kai'fa'qu
后山,hou'shan
后山村,hou'shan'cun
葫芦花苑,hu'lu'hua'yuan
华建新村,hua'jian'xin'cun
华联石材厂,hua'lian'shi'cai'chang
华侨农场,hua'qiao'nong'chang
华侨新村,hua'qiao'xin'cun
华庭小区,hua'ting'xiao'qu
会展中心,hui'zhan'zhong'xin
货运公司,huo'yun'gong'si
继光花苑,ji'guang'hua'yuan
继光终点站,ji'guang'zhong'dian'zhan
建业大厦,jian'ye'da'sha
蕉北市场,jiao'bei'shi'chang
蕉城二小,jiao'cheng'er'xiao
蕉城中学,jiao'cheng'zhong'xue
金城花苑,jin'cheng'hua'yuan
金涵村委,jin'han'cun'wei
金涵路口,jin'han'lu'kou
金涵民族中学,jin'han'min'zu'zhong'xue
金涵桥头,jin'han'qiao'tou
金涵市场,jin'han'shi'chang
金溪路,jin'xi'lu
康复医院,kang'fu'yi'yuan
莱茵大厦,lai'yin'da'sha
兰田叉路口,lan'tian'cha'lu'kou
兰田村,lan'tian'cun
兰田村口,lan'tian'cun'kou
兰溪大桥,lan'xi'da'qiao
立业新村,li'ye'xin'cun
濂坑,lian'keng
六都,liu'du
美伦饭店,mei'lun'fan'dian
苗圃环岛,miao'pu'huan'dao
闽东宾馆,min'dong'bin'guan
闽东大广场,min'dong'da'guang'chang
南岸景观,nan'an'jing'guan
南际公园,nan'ji'gong'yuan
南际路口,nan'ji'lu'kou
南门兜,nan'men'dou
宁德军分区,ning'de'jun'fen'qu
宁德苗圃,ning'de'miao'pu
宁德商城,ning'de'shang'cheng
宁德师专,ning'de'shi'zhuan
宁德五中,ning'de'wu'zhong
农械厂,nong'xie'chang
坪山,ping'shan
汽车北站,qi'che'bei'zhan
汽车南站,qi'che'nan'zhan
七都,qi'du
岐头村,qi'tou'cun
气象局,qi'xiang'ju
琼堂,qiong'tang
区交通局,qu'jiao'tong'ju
人民医院,ren'min'yi'yuan
人民影院,ren'min'ying'yuan
山水大酒店,shan'shui'da'jiu'dian
上兰村,shang'lan'cun
少年宫路口,shao'nian'gong'lu'kou
生辉表业,sheng'hui'biao'ye
市财政局,shi'cai'zheng'ju
市规划局,shi'gui'hua'ju
市国税局,shi'guo'shui'ju
市疾控中心,shi'ji'kong'zhong'xin
市建行,shi'jian'hang
市建设局,shi'jian'she'ju
市林业局,shi'lin'ye'ju
市农行,shi'nong'hang
市农业局,shi'nong'ye'ju
市青少年宫,shi'qing'shao'nian'gong
市人民政府,shi'ren'min'zheng'fu
市人行,shi'ren'xing
市少年宫,shi'shao'nian'gong
市行政服务中心,shi'xing'zheng'fu'wu'zhong'xin
市医院,shi'yi'yuan
市中级人民法院,shi'zhong'ji'ren'min'fa'yuan
市中医院,shi'zhong'yi'yuan
塔山,ta'shan
塔山村,ta'shan'cun
体育中心,ti'yu'zhong'xin
溪口村,xi'kou'cun
下凡,xia'fan
下宅园路口,xia'zhai'yuan'lu'kou
先锋广场,xian'feng'guang'chang
新加坡步行街,xin'jia'po'bu'xing'jie
兴旺小学,xing'wang'xiao'xue
烟亭,yan'ting
驿景大酒店,yi'jing'da'jiu'dian
逸涛商城,yi'tao'shang'cheng
游澳,you'ao
邮政希望小学,you'zheng'xi'wang'xiao'xue
增坂村,zeng'ban'cun
站前路,zhan'qian'lu
漳湾镇,zhang'wan'zhen
中国红,zhong'guo'hong
中国人寿,zhong'guo'ren'shou
中医院,zhong'yi'yuan
中越车行,zhong'yue'che'hang
