八楼,ba'lou
白玉川,bai'yu'chuan
白志刚,bai'zhi'gang
毕继红,bi'ji'hong
别社安,bie'she'an
曹楚生,cao'chu'sheng
车宏亚,che'hong'ya
陈云霞,chen'yun'xia
陈志华,chen'zhi'hua
船舶工程,chuan'bo'gong'cheng
船舶工程系,chuan'bo'gong'cheng'xi
船舶与海洋工程,chuan'bo'yu'hai'yang'gong'cheng
船舶与海洋工程实验中心,chuan'bo'yu'hai'yang'gong'cheng'shi'yan'zhong'xin
船舶与海洋工程研究院,chuan'bo'yu'hai'yang'gong'cheng'yan'jiu'yuan
船舶与海洋工程研究中心,chuan'bo'yu'hai'yang'gong'cheng'yan'jiu'zhong'xin
船舶与海洋结构物设计制造,chuan'bo'yu'hai'yang'jie'gou'wu'she'ji'zhi'zao
地下工程,di'xia'gong'cheng
地下工程研究所,di'xia'gong'cheng'yan'jiu'suo
丁红岩,ding'hong'yan
丁阳,ding'yang
丁永君,ding'yong'jun
范淑燕,fan'shu'yan
防灾减灾与防护工程,fang'zai'jian'zai'yu'fang'hu'gong'cheng
防灾减灾与防护工程研究所,fang'zai'jian'zai'yu'fang'hu'gong'cheng'yan'jiu'suo
防灾减震与防护工程研究所,fang'zai'jian'zhen'yu'fang'hu'gong'cheng'yan'jiu'suo
冯平,feng'ping
冯耀龙,feng'yao'long
冯志群,feng'zhi'qun
钢结构工程研究所,gang'jie'gou'gong'cheng'yan'jiu'suo
钢结构研究所,gang'jie'gou'yan'jiu'suo
港口工程系,gang'kou'gong'cheng'xi
港口海岸及近海工程,gang'kou'hai'an'ji'jin'hai'gong'cheng
港口航道及海岸工程,gang'kou'hang'dao'ji'hai'an'gong'cheng
高喜峰,gao'xi'feng
高学平,gao'xue'ping
工程仿真中心,gong'cheng'fang'zhen'zhong'xin
工程管理,gong'cheng'guan'li
工程设计服务机构,gong'cheng'she'ji'fu'wu'ji'gou
工程造价管理,gong'cheng'zao'jia'guan'li
工会,gong'hui
顾平,gu'ping
国际航运工程系,guo'ji'hang'yun'gong'cheng'xi
国际航运管理,guo'ji'hang'yun'guan'li
国际航运管理系,guo'ji'hang'yun'guan'li'xi
国家重点学科,guo'jia'zhong'dian'xue'ke
国务院学科评议组成员,guo'wu'yuan'xue'ke'ping'yi'zu'cheng'yuan
海洋工程,hai'yang'gong'cheng
海洋工程系,hai'yang'gong'cheng'xi
韩其为,han'qi'wei
韩庆华,han'qing'hua
郝洪,hao'hong
季民,ji'min
建筑工程,jian'zhu'gong'cheng
建筑与土木工程,jian'zhu'yu'tu'mu'gong'cheng
姜忻良,jiang'xin'liang
教育部跨世纪优秀人才,jiao'yu'bu'kua'shi'ji'you'xiu'ren'cai
教育部水利工程仿真与安全监测工程研究中心,jiao'yu'bu'shui'li'gong'cheng'fang'zhen'yu'an'quan'jian'ce'gong'cheng'yan'jiu'zhong'xin
教育部天津市港口与海洋工程重点实验室,jiao'yu'bu'tian'jin'shi'gang'kou'yu'hai'yang'gong'cheng'zhong'dian'shi'yan'shi
教育部优秀骨干教师,jiao'yu'bu'you'xiu'gu'gan'jiao'shi
结构工程,jie'gou'gong'cheng
结构工程研究所,jie'gou'gong'cheng'yan'jiu'suo
结构实验室,jie'gou'shi'yan'shi
结构与桥梁工程研究所,jie'gou'yu'qiao'liang'gong'cheng'yan'jiu'suo
亢景付,kang'jing'fu
雷华阳,lei'hua'yang
李大鸣,li'da'ming
李国强,li'guo'qiang
李林安,li'lin'an
李绍武,li'shao'wu
李世森,li'shi'sen
李炎宝,li'yan'bao
李砚波,li'yan'bo
李元薇,li'yuan'wei
李志国,li'zhi'guo
李忠献,li'zhong'xian
练继建,lian'ji'jian
梁建文,liang'jian'wen
刘东海,liu'dong'hai
刘海笑,liu'hai'xiao
刘建起,liu'jian'qi
刘杰,liu'jie
刘润,liu'run
刘习军,liu'xi'jun
陆培毅,lu'pei'yi
轮机工程,lun'ji'gong'cheng
罗延生,luo'yan'sheng
牛安琴,niu'an'qin
彭丽平,peng'li'ping
彭新民,peng'xin'min
戚蓝,qi'lan
桥梁工程,qiao'liang'gong'cheng
桥梁与结构工程研究所,qiao'liang'yu'jie'gou'gong'cheng'yan'jiu'suo
桥梁与隧道护工程,qiao'liang'yu'sui'dao'hu'gong'cheng
曲海富,qu'hai'fu
史庆增,shi'qing'zeng
舒歌群,shu'ge'qun
水工结构工程,shui'gong'jie'gou'gong'cheng
水海资料室,shui'hai'zi'liao'shi
水利工程,shui'li'gong'cheng
水利工程实验中心,shui'li'gong'cheng'shi'yan'zhong'xin
水利工程研究所,shui'li'gong'cheng'yan'jiu'suo
水利水电工程,shui'li'shui'dian'gong'cheng
水利水电工程系,shui'li'shui'dian'gong'cheng'xi
水力学及河流动力学,shui'li'xue'ji'he'liu'dong'li'xue
水力学研究所,shui'li'xue'yan'jiu'suo
水声工程,shui'sheng'gong'cheng
水文与水资源,shui'wen'yu'shui'zi'yuan
水运水利勘察设计研究所,shui'yun'shui'li'kan'cha'she'ji'yan'jiu'suo
司法鉴定中心,si'fa'jian'ding'zhong'xin
四楼,si'lou
宋安,song'an
孙克俐,sun'ke'li
所属二级学科,suo'shu'er'ji'xue'ke
天大设计院,tian'da'she'ji'yuan
天津大学建筑设计院,tian'jin'da'xue'jian'zhu'she'ji'yuan
天津市土木工程结构及新材料重点实验室,tian'jin'shi'tu'mu'gong'cheng'jie'gou'ji'xin'cai'liao'zhong'dian'shi'yan'shi
天津市重点学科,tian'jin'shi'zhong'dian'xue'ke
田力,tian'li
土木工程,tu'mu'gong'cheng
土木工程设计所,tu'mu'gong'cheng'she'ji'suo
土木工程实验检测中心,tu'mu'gong'cheng'shi'yan'jian'ce'zhong'xin
土木工程系,tu'mu'gong'cheng'xi
土木资料室,tu'mu'zi'liao'shi
团委,tuan'wei
王成华,wang'cheng'hua
王富英,wang'fu'ying
王刚,wang'gang
王浩,wang'hao
王晖,wang'hui
网架工程公司,wang'jia'gong'cheng'gong'si
王建华,wang'jian'hua
王全凤,wang'quan'feng
王仁超,wang'ren'chao
王铁成,wang'tie'cheng
王文氢,wang'wen'qing
王依群,wang'yi'qun
王元战,wang'yuan'zhan
席兆胜,xi'zhao'sheng
小白楼,xiao'bai'lou
谢剑,xie'jian
谢礼立,xie'li'li
谢世楞,xie'shi'leng
徐国宾,xu'guo'bin
学生工作部,xue'sheng'gong'zuo'bu
严驰,yan'chi
闫凤英,yan'feng'ying
研究机构,yan'jiu'ji'gou
严士超,yan'shi'chao
闫澍旺,yan'shu'wang
岩土工程,yan'tu'gong'cheng
岩土工程研究所,yan'tu'gong'cheng'yan'jiu'suo
杨建江,yang'jian'jiang
杨敏,yang'min
杨树耕,yang'shu'geng
一级学科,yi'ji'xue'ke
异形柱,yi'xing'zhu
尹越,yin'yue
于国友,yu'guo'you
余建星,yu'jian'xing
于敬海,yu'jing'hai
于木荣,yu'mu'rong
远方,yuan'fang
袁林华,yuan'lin'hua
岳澄,yue'cheng
张宏伟,zhang'hong'wei
张庆河,zhang'qing'he
张社荣,zhang'she'rong
张伟,zhang'wei
赵新华,zhao'xin'hua
郑刚,zheng'gang
钟登华,zhong'deng'hua
中国工程院士,zhong'guo'gong'cheng'yuan'shi
朱涵,zhu'han
朱劲松,zhu'jin'song
朱平,zhu'ping
