百步余,bai'bu'yu
拜恭敬,bai'gong'jing
百事坏,bai'shi'huai
报恩长,bao'en'chang
报怨短,bao'yuan'duan
蔽聪明,bi'cong'ming
彼说长,bi'shuo'chang
彼勿起,bi'wu'qi
笔砚正,bi'yan'zheng
便溺回,bian'niao'hui
步从容,bu'cong'rong
不分明,bu'fen'ming
不关己,bu'guan'ji
不贵华,bu'gui'hua
不离床,bu'li'chuang
不力行,bu'li'xing
不亲仁,bu'qin'ren
不如人,bu'ru'ren
不如少,bu'ru'shao
不学文,bu'xue'wen
才大者,cai'da'zhe
财物轻,cai'wu'qing
常悲咽,chang'bei'ye
长浮华,chang'fu'hua
长呼人,chang'hu'ren
长无言,chang'wu'yan
朝起早,chao'qi'zao
晨必盥,chen'bi'guan
晨则省,chen'ze'sheng
成何人,cheng'he'ren
乘下车,cheng'xia'che
称尊长,cheng'zun'zhang
出必告,chu'bi'gao
出则弟,chu'ze'di
慈而宽,ci'er'kuan
次谨信,ci'jin'xin
此说短,ci'shuo'duan
此未终,ci'wei'zhong
待婢仆,dai'bi'pu
但力行,dan'li'xing
但学文,dan'xue'wen
当自砺,dang'zi'li
道两亏,dao'liang'kui
道人善,dao'ren'shan
德皆建,de'jie'jian
德日进,de'ri'jin
德有伤,de'you'shang
低不闻,di'bu'wen
弟道恭,di'dao'gong
地同载,di'tong'zai
弟子规,di'zi'gui
冬则温,dong'ze'wen
斗闹场,dou'nao'chang
读看毕,du'kan'bi
读书法,du'shu'fa
对以名,dui'yi'ming
对饮食,dui'yin'shi
对尊长,dui'zun'zhang
恩欲报,en'yu'bao
而亲仁,er'qin'ren
泛爱众,fan'ai'zhong
反必面,fan'bi'mian
凡出言,fan'chu'yan
凡道字,fan'dao'zi
凡取与,fan'qu'yu
凡是人,fan'shi'ren
方读此,fang'du'ci
房室清,fang'shi'qing
方无言,fang'wu'yan
非貌高,fei'mao'gao
非圣书,fei'sheng'shu
非言大,fei'yan'da
忿自泯,fen'zi'min
父母呼,fu'mu'hu
父母教,fu'mu'jiao
父母命,fu'mu'ming
父母责,fu'mu'ze
工夫到,gong'fu'dao
苟轻诺,gou'qing'nuo
苟擅为,gou'shan'wei
苟私藏,gou'si'cang
冠必正,guan'bi'zheng
贵分晓,gui'fen'xiao
归于无,gui'yu'wu
过不规,guo'bu'gui
过能改,guo'neng'gai
果仁者,guo'ren'zhe
过日少,guo'ri'shao
过犹待,guo'you'dai
还原处,hai'yuan'chu
行高者,hang'gao'zhe
号泣随,hao'qi'sui
后有急,hou'you'ji
话说多,hua'shuo'duo
坏心志,huai'xin'zhi
缓揭帘,huan'jie'lian
秽污词,hui'wu'ci
昏则定,hun'ze'ding
祸且作,huo'qie'zuo
或饮食,huo'yin'shi
或坐走,huo'zuo'zou
几案洁,ji'an'jie
己不欲,ji'bu'yu
即代叫,ji'dai'jiao
己即到,ji'ji'dao
祭尽诚,ji'jin'cheng
即内省,ji'nei'xing
疾趋揖,ji'qu'yi
即是恶,ji'shi'e
及时还,ji'shi'hai
即是善,ji'shi'shan
即思齐,ji'si'qi
即速已,ji'su'yi
即为偷,ji'wei'tou
己有能,ji'you'neng
疾之甚,ji'zhi'shen
谏不入,jian'bu'ru
