吧台,ba'tai
百洁布,bai'jie'bu
办公台,ban'gong'tai
保温杯,bao'wen'bei
保温壶,bao'wen'hu
保温瓶,bao'wen'ping
保温桶,bao'wen'tong
刨子,bao'zi
杯,bei
被单,bei'dan
被褥,bei'ru
被套,bei'tao
畚箕,ben'ji
壁灯,bi'deng
冰袋,bing'dai
擦鞋机,ca'xie'ji
餐椅,can'yi
餐桌,can'zhuo
厕所刷,ce'suo'shua
铲子,chan'zi
长椅,chang'yi
炒锅,chao'guo
橱柜,chu'gui
储物柜,chu'wu'gui
厨用刀,chu'yong'dao
床单,chuang'dan
床垫,chuang'dian
床头柜,chuang'tou'gui
床罩,chuang'zhao
大班椅,da'ban'yi
大班桌,da'ban'zhuo
打蛋机,da'dan'ji
电饭煲,dian'fan'bao
电饭锅,dian'fan'guo
电脑桌,dian'nao'zhuo
电热杯,dian're'bei
电热壶,dian're'hu
电子表,dian'zi'biao
吊灯,diao'deng
碟,die
定时器,ding'shi'qi
豆浆机,dou'jiang'ji
多士炉,duo'shi'lu
饭盒,fan'he
格栅灯,ge'shan'deng
工艺钟,gong'yi'zhong
挂表,gua'biao
挂钟,gua'zhong
锅刷,guo'shua
怀表,huai'biao
会议桌,hui'yi'zhuo
火锅,huo'guo
机械表,ji'xie'biao
家居用品,jia'ju'yong'pin
搅拌机,jiao'ban'ji
酒柜,jiu'gui
军表,jun'biao
咖啡机,ka'fei'ji
卡通表,ka'tong'biao
开瓶器,kai'ping'qi
靠垫,kao'dian
烤面包机,kao'mian'bao'ji
烤箱,kao'xiang
课桌椅,ke'zhuo'yi
筷子,kuai'zi
垃圾袋,la'ji'dai
垃圾桶,la'ji'tong
落地灯,luo'di'deng
奶瓶,nai'ping
奶嘴,nai'zui
闹钟,nao'zhong
尿垫,niao'dian
尿片,niao'pian
盘子,pan'zi
屏风,ping'feng
清洁球,qing'jie'qiu
热水袋,re'shui'dai
热水瓶,re'shui'ping
扫帚,sao'zhou
沙滩椅,sha'tan'yi
勺子,shao'zi
湿巾,shi'jin
视听柜,shi'ting'gui
石英表,shi'ying'biao
梳妆台,shu'zhuang'tai
台灯,tai'deng
太阳伞,tai'yang'san
汤锅,tang'guo
童床,tong'chuang
筒灯,tong'deng
童椅,tong'yi
童桌,tong'zhuo
拖把,tuo'ba
围兜,wei'dou
卫生巾,wei'sheng'jin
卫生纸,wei'sheng'zhi
文件柜,wen'jian'gui
蚊帐,wen'zhang
吸顶灯,xi'ding'deng
洗衣刷,xi'yi'shua
席子,xi'zi
小夜灯,xiao'ye'deng
鞋柜,xie'gui
鞋架,xie'jia
鞋刷,xie'shua
鞋套,xie'tao
鞋套机,xie'tao'ji
学生床,xue'sheng'chuang
压力锅,ya'li'guo
衣柜,yi'gui
衣帽架,yi'mao'jia
衣帽刷,yi'mao'shua
浴缸刷,yu'gang'shua
雨伞,yu'san
雨鞋,yu'xie
雨衣,yu'yi
榨汁机,zha'zhi'ji
折叠椅,zhe'die'yi
折叠桌,zhe'die'zhuo
砧板,zhen'ban
枕巾,zhen'jin
枕套,zhen'tao
枕芯,zhen'xin
蒸锅,zheng'guo
蒸笼,zheng'long
纸巾,zhi'jin
职员椅,zhi'yuan'yi
煮蛋器,zhu'dan'qi
座钟,zuo'zhong
