百货大楼,bai'huo'da'lou
百圣大厦,bai'sheng'da'sha
宝塔宾馆,bao'ta'bin'guan
宝塔山,bao'ta'shan
北关小学,bei'guan'xiao'xue
北桥沟,bei'qiao'gou
博爱医院,bo'ai'yi'yuan
财校,cai'xiao
车管所,che'guan'suo
川口,chuan'kou
大东门,da'dong'men
大礼堂,da'li'tang
档案局,dang'an'ju
电缆厂,dian'lan'chang
东十里铺,dong'shi'li'pu
东四十里铺,dong'si'shi'li'pu
东兴百汇购物广场,dong'xing'bai'hui'gou'wu'guang'chang
东兴超市,dong'xing'chao'shi
二十里铺,er'shi'li'pu
儿童公园,er'tong'gong'yuan
二中,er'zhong
干部学院,gan'bu'xue'yuan
高家原则,gao'jia'yuan'ze
高峁湾,gao'mao'wan
高坡,gao'po
高坡加油站,gao'po'jia'you'zhan
高速路口,gao'su'lu'kou
公厕,gong'ce
供电局,gong'dian'ju
公交公司,gong'jiao'gong'si
沟门,gou'men
管理站,guan'li'zhan
锅炉厂,guo'lu'chang
河庄坪,he'zhuang'ping
红化小区,hong'hua'xiao'qu
后勤处,hou'qin'chu
虎头茆,hu'tou'mao
黄蒿湾,huang'hao'wan
火柴厂,huo'chai'chang
火车站,huo'che'zhan
加气站,jia'qi'zhan
家属区,jia'shu'qu
交警大队,jiao'jing'da'dui
交警一大队,jiao'jing'yi'da'dui
交通局,jiao'tong'ju
解放剧院,jie'fang'ju'yuan
金圣都驾校,jin'sheng'dou'jia'xiao
卷烟厂,juan'yan'chang
卷烟厂后厂,juan'yan'chang'hou'chang
卷烟厂家属院,juan'yan'chang'jia'shu'yuan
兰家坪,lan'jia'ping
兰家坪大桥,lan'jia'ping'da'qiao
老沟岔,lao'gou'cha
冷库,leng'ku
丽景花园,li'jing'hua'yuan
李渠,li'qu
联通公司,lian'tong'gong'si
联运公司,lian'yun'gong'si
粮园宾馆,liang'yuan'bin'guan
柳林,liu'lin
柳树店,liu'shu'dian
刘万家沟,liu'wan'jia'gou
罗家坪,luo'jia'ping
罗马假日,luo'ma'jia'ri
马家湾,ma'jia'wan
毛纺厂,mao'fang'chang
梅园小区,mei'yuan'xiao'qu
民众剧团,min'zhong'ju'tuan
南门坡,nan'men'po
南桥,nan'qiao
南三十里铺,nan'san'shi'li'pu
农科所,nong'ke'suo
农校,nong'xiao
裴庄,pei'zhuang
坡底,po'di
汽车东站,qi'che'dong'zhan
桥沟,qiao'gou
桥沟市场,qiao'gou'shi'chang
桥沟政府,qiao'gou'zheng'fu
桥沟职业中学,qiao'gou'zhi'ye'zhong'xue
桥沟中学,qiao'gou'zhong'xue
区党校,qu'dang'xiao
区政府,qu'zheng'fu
人防办,ren'fang'ban
人寿保险公司,ren'shou'bao'xian'gong'si
三岔口,san'cha'kou
三中,san'zhong
尚渠,shang'qu
市场沟,shi'chang'gou
市场沟生产队,shi'chang'gou'sheng'chan'dui
市场沟小学,shi'chang'gou'xiao'xue
市党校,shi'dang'xiao
市二建公司,shi'er'jian'gong'si
师范,shi'fan
石佛沟,shi'fo'gou
石佛沟大桥,shi'fo'gou'da'qiao
市医院,shi'yi'yuan
市政养护处,shi'zheng'yang'hu'chu
水厂,shui'chang
四八烈士陵园,si'ba'lie'shi'ling'yuan
丝绸厂,si'chou'chang
四中,si'zhong
塑料厂,su'liao'chang
体育场,ti'yu'chang
天燃气储备站,tian'ran'qi'chu'bei'zhan
万花,wan'hua
王家沟,wang'jia'gou
王家坪,wang'jia'ping
王家坪革命纪念馆,wang'jia'ping'ge'ming'ji'nian'guan
王家坪旧址,wang'jia'ping'jiu'zhi
卫校,wei'xiao
文化沟,wen'hua'gou
五中,wu'zhong
西沟,xi'gou
西沟桥,xi'gou'qiao
下李家沟,xia'li'jia'gou
线务站,xian'wu'zhan
向阳沟,xiang'yang'gou
小东门,xiao'dong'men
崖里坪,ya'li'ping
延安大学,yan'an'da'xue
延大附属医院,yan'da'fu'shu'yi'yuan
延电公司,yan'dian'gong'si
燕沟,yan'gou
延河宾馆,yan'he'bin'guan
延中,yan'zhong
杨家岭,yang'jia'ling
阳崖,yang'ya
姚店,yao'dian
姚农家属区,yao'nong'jia'shu'qu
医学院,yi'xue'yuan
尹家沟,yin'jia'gou
邮政局,you'zheng'ju
渔厂,yu'chang
育英中学,yu'ying'zhong'xue
园丁小区,yuan'ding'xiao'qu
枣园,zao'yuan
枣园政府,zao'yuan'zheng'fu
纸箱厂,zhi'xiang'chang
中心街,zhong'xin'jie
中医院,zhong'yi'yuan
周家弯,zhou'jia'wan
自来水厂,zi'lai'shui'chang
