艾附暖宫丸,ai'fu'nuan'gong'wan
安宫牛黄丸,an'gong'niu'huang'wan
安络痛片,an'luo'tong'pian
八珍益母丸,ba'zhen'yi'mu'wan
百合固金丸,bai'he'gu'jin'wan
百令胶囊,bai'ling'jiao'nang
白蚀丸,bai'shi'wan
板蓝根颗粒,ban'lan'gen'ke'li
保妇康栓,bao'fu'kang'shuan
保济丸,bao'ji'wan
保胎丸,bao'tai'wan
鼻窦炎口服液,bi'dou'yan'kou'fu'ye
鼻炎康片,bi'yan'kang'pian
鼻渊糖浆,bi'yuan'tang'jiang
步长脑心通胶囊,bu'chang'nao'xin'tong'jiao'nang
补骨脂注射液,bu'gu'zhi'zhu'she'ye
补中益气丸,bu'zhong'yi'qi'wan
参一胶囊,can'yi'jiao'nang
苍耳子鼻炎胶囊,cang'er'zi'bi'yan'jiao'nang
柴胡口服液,chai'hu'kou'fu'ye
川黄口服液,chuan'huang'kou'fu'ye
川芎茶调颗粒,chuan'xiong'cha'tiao'ke'li
丹红注射液,dan'hong'zhu'she'ye
丹参注射液,dan'shen'zhu'she'ye
地奥心血康胶囊,di'ao'xin'xue'kang'jiao'nang
递法明片,di'fa'ming'pian
地榆槐角丸,di'yu'huai'jiao'wan
冻干蜂王浆胶囊,dong'gan'feng'wang'jiang'jiao'nang
独一味软胶囊,du'yi'wei'ruan'jiao'nang
二丁胶囊,er'ding'jiao'nang
耳聋左慈丸,er'long'zuo'ci'wan
二十五味鬼臼丸,er'shi'wu'wei'gui'jiu'wan
返魂草颗粒,fan'hun'cao'ke'li
防风通圣丸,fang'feng'tong'sheng'wan
肺力咳合剂,fei'li'ke'he'ji
肺宁颗粒,fei'ning'ke'li
复方鳖甲软肝片,fu'fang'bie'jia'ruan'gan'pian
复方丹参滴丸,fu'fang'dan'shen'di'wan
复方丹参片,fu'fang'dan'shen'pian
复方丁香开胃贴,fu'fang'ding'xiang'kai'wei'tie
复方黄连素片,fu'fang'huang'lian'su'pian
复方卡力孜然酊,fu'fang'ka'li'zi'ran'ding
复方芦荟胶囊,fu'fang'lu'hui'jiao'nang
复方青黛丸,fu'fang'qing'dai'wan
复方消痔栓,fu'fang'xiao'zhi'shuan
复方益肝灵片,fu'fang'yi'gan'ling'pian
复方益母草膏,fu'fang'yi'mu'cao'gao
妇科千金胶囊,fu'ke'qian'jin'jiao'nang
妇科千金片,fu'ke'qian'jin'pian
复明片,fu'ming'pian
肤痒颗粒,fu'yang'ke'li
扶正化瘀胶囊,fu'zheng'hua'yu'jiao'nang
附子理中丸,fu'zi'li'zhong'wan
感冒清热颗粒,gan'mao'qing're'ke'li
肝苏颗粒,gan'su'ke'li
更年安片,geng'nian'an'pian
宫血宁胶囊,gong'xue'ning'jiao'nang
冠心苏合丸,guan'xin'su'he'wan
桂林西瓜霜,gui'lin'xi'gua'shuang
归脾丸,gui'pi'wan
桂枝茯苓胶囊,gui'zhi'fu'ling'jiao'nang
海昆肾喜胶囊,hai'kun'shen'xi'jiao'nang
红药片,hong'yao'pian
红药气雾剂,hong'yao'qi'wu'ji
护肝片,hu'gan'pian
华佗再造丸,hua'tuo'zai'zao'wan
槐角丸,huai'jiao'wan
黄葵胶囊,huang'kui'jiao'nang
黄芪颗粒,huang'qi'ke'li
黄芪注射液,huang'qi'zhu'she'ye
黄氏响声丸,huang'shi'xiang'sheng'wan
黄藤素片,huang'teng'su'pian
黄藤素软胶囊,huang'teng'su'ruan'jiao'nang
藿胆丸,huo'dan'wan
活血通脉片,huo'xue'tong'mai'pian
活血止痛胶囊,huo'xue'zhi'tong'jiao'nang
季德胜蛇药片,ji'de'sheng'she'yao'pian
急支糖浆,ji'zhi'tang'jiang
健脾丸,jian'pi'wan
健胃消食片,jian'wei'xiao'shi'pian
接骨七厘片,jie'gu'qi'li'pian
金刚藤胶囊,jin'gang'teng'jiao'nang
金刚藤糖浆,jin'gang'teng'tang'jiang
金刚滕糖浆,jin'gang'teng'tang'jiang
金匮肾气丸,jin'kui'shen'qi'wan
金纳多,jin'na'duo
金嗓开音丸,jin'sang'kai'yin'wan
金嗓利咽丸,jin'sang'li'yan'wan
金嗓清音丸,jin'sang'qing'yin'wan
金嗓散结丸,jin'sang'san'jie'wan
金水宝胶囊,jin'shui'bao'jiao'nang
京都念慈菴,jing'du'nian'ci'an
颈复康颗粒,jing'fu'kang'ke'li
颈痛灵药酒,jing'tong'ling'yao'jiu
颈痛片,jing'tong'pian
京万红,jing'wan'hong
精制狗皮膏,jing'zhi'gou'pi'gao
橘红丸,ju'hong'wan
康艾注射液,kang'ai'zhu'she'ye
康妇消炎栓,kang'fu'xiao'yan'shuan
抗骨增生片,kang'gu'zeng'sheng'pian
