阿史那却禺,a'shi'na'que'yu
阿思蓝,a'si'lan
阿芸,a'yun
安史之乱,an'shi'zhi'luan
巴可若,ba'ke'ruo
拔细弥,ba'xi'mi
白钱,bai'qian
伯克,bo'ke
博望,bo'wang
步骛,bu'wu
策论,ce'lun
斥候,chi'hou
持戟何止百万,chi'ji'he'zhi'bai'wan
纯淤部,chun'yu'bu
大埃斤,da'ai'jin
大梅禄裴力咕噜,da'mei'lu'pei'li'gu'lu
大帅高熲,da'shuai'gao'jiong
杜疤瘌,du'ba'la
杜尔,du'er
萼跌泰,e'die'tai
娥茹,e'ru
烽烟尽处,feng'yan'jin'chu
甘罗,gan'luo
高丽,gao'li
汉王杨谅,han'wang'yang'liang
郝老刀,hao'lao'dao
合卜阑,he'bu'lan
黑风,hei'feng
虎贲铁骑,hu'ben'tie'qi
虎贲中郎将,hu'ben'zhong'lang'jiang
蓟县,ji'xian
加冠,jia'guan
家园,jia'yuan
金城,jin'cheng
进士,jin'shi
妗子,jin'zi
开国功贼,kai'guo'gong'zei
可贺墩,ke'he'dun
李亮,li'liang
李懋,li'mao
李旭,li'xu
露水夫妻,lu'shui'fu'qi
罗艺,luo'yi
绿珠,lv'zhu
马槊,ma'shuo
明经,ming'jing
靺鞨,mo'he
那弥叶,na'mi'ye
帕黛,pa'dai
潘占强,pan'zhan'qiang
狍子,pao'zi
契丹,qi'dan
晴姨,qing'yi
仁寿,ren'shou
肉好,rou'hao
濡水河,ru'shui'he
上谷郡,shang'gu'jun
舍脱部,she'tuo'bu
舍脱沙哥,she'tuo'sha'ge
盛唐烟云,sheng'tang'yan'yun
室韦,shi'wei
蜀锦,shu'jin
俟力弗,si'li'fu
苏啜部,su'chuo'bu
隋乱,sui'luan
隋炀帝,sui'yang'di
孙九,sun'jiu
陶阔脱丝,tao'kuo'tuo'si
特勒骠,te'le'biao
天水,tian'shui
突厥人,tu'jue'ren
托娅,tuo'ya
王可望,wang'ke'wang
王麻子,wang'ma'zi
卫王杨爽,wei'wang'yang'shuang
武威,wu'wei
乌一勒,wu'yi'le
西尔,xi'er
奚人,xi'ren
霫族,xi'zu
小伯克毕连,xiao'bo'ke'bi'lian
星星铁,xing'xing'tie
徐大眼,xu'da'yan
徐茂功,xu'mao'gong
烟萝,yan'luo
杨老夫子,yang'lao'fu'zi
右吐屯可思合理,you'tu'tun'ke'si'he'li
越公杨素大人,yue'gong'yang'su'da'ren
月牙湖,yue'ya'hu
张宝生,zhang'bao'sheng
张季,zhang'ji
张秀,zhang'xiu
赵二狗子,zhao'er'gou'zi
笊篱,zhao'li
指南录,zhi'nan'lu
执失拔汗,zhi'shi'ba'han
忠婶,zhong'shen
左吐屯八思哈喇,zuo'tu'tun'ba'si'ha'la
