阿迷弟,a'mi'di
爱德,ai'de
矮夺夺,ai'duo'duo
爱国,ai'guo
爱老,ai'lao
爱麻,ai'ma
爱奶,ai'nai
挨喏擦喏,ai'nuo'ca'nuo
凹汤吸水,ao'tang'xi'shui
摆古,bai'gu
白古烂闸,bai'gu'lan'zha
白乎机遭,bai'hu'ji'zao
白咪扯眼,bai'mi'che'yan
白色子,bai'se'zi
拌拦十五,ban'lan'shi'wu
板扎,ban'zha
背秋时,bei'qiu'shi
背时,bei'shi
背时倒灶,bei'shi'dao'zao
背时鬼,bei'shi'gui
背嘴,bei'zui
不好在,bu'hao'zai
不有耳性,bu'you'er'xing
不在了,bu'zai'le
擦黑,ca'hei
测股十耐,ce'gu'shi'nai
岔巴,cha'ba
长吊吊,chang'diao'diao
吃闲饭,chi'xian'fan
虫吃豆子找眼眼,chong'chi'dou'zi'zhao'yan'yan
冲敢,chong'gan
冲壳子,chong'ke'zi
充冷壳子,chong'leng'ke'zi
丑咪日眼,chou'mi'ri'yan
愁撇,chou'pie
丑屎烂惯,chou'shi'lan'guan
出场,chu'chang
戳气,chuo'qi
凑贺,cou'he
凑冷饱,cou'leng'bao
打发姑娘,da'fa'gu'niang
打干尔,da'gan'er
大嘞呵,da'le'he
打呕斗,da'ou'dou
大清白早,da'qing'bai'zao
呆戈蛇脸,dai'ge'she'lian
倒拌,dao'ban
倒现实,dao'xian'shi
等杆骨,deng'gan'gu
抵得,di'de
颠东,dian'dong
丁工,ding'gong
兜底连根,dou'di'lian'gen
兜着豆子找锅炒,dou'zhe'dou'zi'zhao'guo'chao
度憨狗咬石狮子,du'han'gou'yao'shi'shi'zi
督着,du'zhe
短戳戳,duan'chuo'chuo
端公,duan'gong
短撅撅,duan'jue'jue
多拆,duo'chai
多气,duo'qi
多下,duo'xia
夺雨,duo'yu
多阵,duo'zhen
饿鬼抹肠子,e'gui'mo'chang'zi
二回,er'hui
二天,er'tian
风雪,feng'xue
伏山,fu'shan
该因,gai'yin
敢死,gan'si
高料料,gao'liao'liao
高摇摇,gao'yao'yao
隔着,ge'zhe
格至窝,ge'zhi'wo
公登,gong'deng
够斗,gou'dou
沟汤滴水,gou'tang'di'shui
姑老太,gu'lao'tai
挂兜,gua'dou
灌耳底,guan'er'di
鬼喊辣叫,gui'han'la'jiao
裹搅,guo'jiao
含见,han'jian
好木三跟,hao'mu'san'gen
黑姑拉区,hei'gu'la'qu
黑孤区,hei'gu'qu
红丢丢,hong'diu'diu
红塔之咧,hong'ta'zhi'lie
红嘴白牙,hong'zui'bai'ya
后家,hou'jia
喉搂果儿,hou'lou'guo'er
喉喽气喘,hou'lou'qi'chuan
葫芦页,hu'lu'ye
花尖,hua'jian
黄病十痨,huang'bing'shi'lao
黄生生,huang'sheng'sheng
会脓,hui'nong
豁人,huo'ren
急急,ji'ji
鸡酒客,ji'jiu'ke
急子,ji'zi
加编十五,jia'bian'shi'wu
夹腻,jia'ni
价值,jia'zhi
尖花,jian'hua
拣嘴,jian'zui
将潮迁,jiang'chao'qian
嚼本身,jiao'ben'shen
脚底白,jiao'di'bai
嚼金,jiao'jin
脚连杆,jiao'lian'gan
嚼三十六牙,jiao'san'shi'liu'ya
嚼牙八孤,jiao'ya'ba'gu
嚼牙齿,jiao'ya'chi
结格渣,jie'ge'zha
精洁,jing'jie
经事,jing'shi
舅老公,jiu'lao'gong
卷人,juan'ren
卡拿,ka'na
开金井,kai'jin'jing
宽懂懂,kuan'dong'dong
拉不出圈门,la'bu'chu'quan'men
辣燥,la'zao
拉渣,la'zha
癞股干僵,lai'gu'gan'jiang
癞哩股打,lai'li'gu'da
来事,lai'shi
