悲哉为儒者力学不知疲,bei'zai'wei'ru'zhe'li'xue'bu'zhi'pi
悲哉行,bei'zai'xing
朝从博徒饮暮有倡楼期,chao'cong'bo'tu'yin'mu'you'chang'lou'qi
沉沉朱门宅中有乳臭儿,chen'chen'zhu'men'zhai'zhong'you'ru'xiu'er
春来日日出服御何轻肥,chun'lai'ri'ri'chu'fu'yu'he'qing'fei
读书眼欲暗秉笔手生胝,du'shu'yan'yu'an'bing'bi'shou'sheng'zhi
二十袭封爵门承勋戚资,er'shi'xi'feng'jue'men'cheng'xun'qi'zi
古来无奈何非君独伤悲,gu'lai'wu'nai'he'fei'jun'du'shang'bei
可怜少壮日适在穷贱时,ke'lian'shao'zhuang'ri'shi'zai'qiong'jian'shi
平封还酒债堆金选蛾眉,ping'feng'hai'jiu'zhai'dui'jin'xuan'e'mei
山苗与涧松地势随高卑,shan'miao'yu'jian'song'di'shi'sui'gao'bei
声色狗马外其余一无知,sheng'se'gou'ma'wai'qi'yu'yi'wu'zhi
十上方一第成名常苦迟,shi'shang'fang'yi'di'cheng'ming'chang'ku'chi
手不把书卷身不擐戎衣,shou'bu'ba'shu'juan'shen'bu'huan'rong'yi
丈夫老且病焉用富贵为,zhang'fu'lao'qie'bing'yan'yong'fu'gui'wei
状貌如妇人光明膏粱肌,zhuang'mao'ru'fu'ren'guang'ming'gao'liang'ji
纵有宦达者两鬓已成丝,zong'you'huan'da'zhe'liang'bin'yi'cheng'si
作者白居易朝代唐,zuo'zhe'bai'ju'yi'chao'dai'tang
