薄壁组织,bao'bi'zu'zhi
胞果,bao'guo
保护组织,bao'hu'zu'zhi
胞基质,bao'ji'zhi
胞间层,bao'jian'ceng
胞间连丝,bao'jian'lian'si
苞片,bao'pian
孢原细胞,bao'yuan'xi'bao
胞质分裂,bao'zhi'fen'lie
闭果,bi'guo
边材,bian'cai
变态,bian'tai
边缘胎座,bian'yuan'tai'zuo
表皮,biao'pi
不定根,bu'ding'gen
不定芽,bu'ding'ya
不完全叶,bu'wan'quan'ye
侧出平行脉,ce'chu'ping'xing'mai
侧根,ce'gen
侧膜胎座,ce'mo'tai'zuo
侧向垂周分裂,ce'xiang'chui'zhou'fen'lie
缠绕茎,chan'rao'jing
成熟区,cheng'shu'qu
成熟组织,cheng'shu'zu'zhi
翅果,chi'guo
虫媒,chong'mei
虫媒花,chong'mei'hua
储藏组织,chu'cang'zu'zhi
初生壁,chu'sheng'bi
初生射线,chu'sheng'she'xian
初生纹孔场,chu'sheng'wen'kong'chang
储水组织,chu'shui'zu'zhi
传递细胞,chuan'di'xi'bao
传粉,chuan'fen
雌花,ci'hua
雌蕊群,ci'rui'qun
次生壁,ci'sheng'bi
雌雄同株,ci'xiong'tong'zhu
雌雄异株,ci'xiong'yi'zhu
单被花,dan'bei'hua
单果,dan'guo
单歧聚伞花序,dan'qi'ju'san'hua'xu
单身复叶,dan'shen'fu'ye
单体雄蕊,dan'ti'xiong'rui
单性花,dan'xing'hua
单性结实,dan'xing'jie'shi
单叶,dan'ye
单轴分枝,dan'zhou'fen'zhi
倒生胚珠,dao'sheng'pei'zhu
等面叶,deng'mian'ye
顶生胎座,ding'sheng'tai'zuo
顶芽,ding'ya
对生叶序,dui'sheng'ye'xu
多歧聚伞花序,duo'qi'ju'san'hua'xu
多体雄蕊,duo'ti'xiong'rui
二回羽状复叶,er'hui'yu'zhuang'fu'ye
二歧聚伞花序,er'qi'ju'san'hua'xu
二强雄蕊,er'qiang'xiong'rui
二体雄蕊,er'ti'xiong'rui
繁殖,fan'zhi
分离繁殖,fen'li'fan'zhi
分泌细胞,fen'mi'xi'bao
分泌现象,fen'mi'xian'xiang
分蘖,fen'nie
分蘖节,fen'nie'jie
分生区,fen'sheng'qu
分生组织,fen'sheng'zu'zhi
风媒,feng'mei
风媒花,feng'mei'hua
副萼,fu'e
复合组织,fu'he'zu'zhi
复伞房花序,fu'san'fang'hua'xu
复伞形花序,fu'san'xing'hua'xu
辐射平行脉,fu'she'ping'xing'mai
复穗状花序,fu'sui'zhuang'hua'xu
复头状花序,fu'tou'zhuang'hua'xu
干果,gan'guo
高尔基体,gao'er'ji'ti
根的初生结构,gen'de'chu'sheng'jie'gou
根的初生生长,gen'de'chu'sheng'sheng'zhang
根的初生组织,gen'de'chu'sheng'zu'zhi
根的次生生长,gen'de'ci'sheng'sheng'zhang
根冠,gen'guan
根尖,gen'jian
根瘤,gen'liu
根系,gen'xi
根状茎,gen'zhuang'jing
共生,gong'sheng
蓇葖果,gu'tu'guo
管状中柱,guan'zhuang'zhong'zhu
光合作用,guang'he'zuo'yong
果皮,guo'pi
合点,he'dian
合点受精,he'dian'shou'jing
核分裂,he'fen'lie
核果,he'guo
核膜,he'mo
核仁,he'ren
合生雌蕊,he'sheng'ci'rui
核糖核蛋白体,he'tang'he'dan'bai'ti
核液,he'ye
合轴分枝,he'zhou'fen'zhi
横生胚珠,heng'sheng'pei'zhu
横向分裂,heng'xiang'fen'lie
厚壁组织,hou'bi'zu'zhi
厚角组织,hou'jiao'zu'zhi
后生木质部,hou'sheng'mu'zhi'bu
互生叶序,hu'sheng'ye'xu
呼吸根,hu'xi'gen
花被,hua'bei
花柄,hua'bing
花萼,hua'e
花粉的败育,hua'fen'de'bai'yu
花冠,hua'guan
花托,hua'tuo
花序,hua'xu
花序轴,hua'xu'zhou
花芽,hua'ya
花柱,hua'zhu
花柱道,hua'zhu'dao
环髓带,huan'sui'dai
活动芽,huo'dong'ya
基粒,ji'li
寄生根,ji'sheng'gen
基生胎座,ji'sheng'tai'zuo
机械组织,ji'xie'zu'zhi
假二叉分枝,jia'er'cha'fen'zhi
荚果,jia'guo
假果,jia'guo
嫁接,jia'jie
假年轮,jia'nian'lun
简单组织,jian'dan'zu'zhi
坚果,jian'guo
间期,jian'qi
减数分裂,jian'shu'fen'lie
浆果,jiang'guo
角果,jiao'guo
茎刺,jing'ci
茎的初生生长,jing'de'chu'sheng'sheng'zhang
茎的次生生长,jing'de'ci'sheng'sheng'zhang
茎卷须,jing'juan'xu
径向垂周分裂,jing'xiang'chui'zhou'fen'lie
径向分裂,jing'xiang'fen'lie
聚花果,ju'hua'guo
聚药雄蕊,ju'yao'xiong'rui
菌根,jun'gen
开花,kai'hua
凯氏带,kai'shi'dai
块根,kuai'gen
梨果,li'guo
离生雌蕊,li'sheng'ci'rui
两性花,liang'xing'hua
裂果,lie'guo
鳞茎,lin'jing
鳞叶,lin'ye
轮伞花序,lun'san'hua'xu
轮生叶序,lun'sheng'ye'xu
螺状聚伞花序,luo'zhuang'ju'san'hua'xu
密伞花序,mi'san'hua'xu
蜜腺,mi'xian
木质部,mu'zhi'bu
耐阴植物,nai'yin'zhi'wu
内皮层,nei'pi'ceng
内生菌根,nei'sheng'jun'gen
内质网,nei'zhi'wang
拟横向分裂,ni'heng'xiang'fen'lie
年轮,nian'lun
排水器,pai'shui'qi
攀缘根,pan'yuan'gen
攀援茎,pan'yuan'jing
泡状细胞,pao'zhuang'xi'bao
胚珠,pei'zhu
皮层,pi'ceng
皮孔补充组织,pi'kong'bu'chong'zu'zhi
片状胎座,pian'zhuang'tai'zuo
