爱叫的狗不咬人,ai'jiao'de'gou'bu'yao'ren
爱闹的孩子吃奶多,ai'nao'de'hai'zi'chi'nai'duo
爱子先爱妻,ai'zi'xian'ai'qi
按下葫芦起来瓢,an'xia'hu'lu'qi'lai'piao
拔出萝卜带出泥,ba'chu'luo'bo'dai'chu'ni
百菜不如白菜,bai'cai'bu'ru'bai'cai
白刀子进红刀子出,bai'dao'zi'jin'hong'dao'zi'chu
白发人送黑发人,bai'fa'ren'song'hei'fa'ren
败军之将不言勇,bai'jun'zhi'jiang'bu'yan'yong
百年修得同船渡,bai'nian'xiu'de'tong'chuan'du
百年修来同船渡,bai'nian'xiu'lai'tong'chuan'du
败棋有胜着,bai'qi'you'sheng'zhao
白日说梦话,bai'ri'shuo'meng'hua
百姓利益无小事,bai'xing'li'yi'wu'xiao'shi
百行孝当先,bai'xing'xiao'dang'xian
百行孝为先,bai'xing'xiao'wei'xian
白云深处有人家,bai'yun'shen'chu'you'ren'jia
百战胜出一战覆,bai'zhan'sheng'chu'yi'zhan'fu
扮俏脸给瞎子看,ban'qiao'lian'gei'xia'zi'kan
帮急不帮穷,bang'ji'bu'bang'qiong
帮理不帮亲,bang'li'bu'bang'qin
饱汉子不知饿汉子饥,bao'han'zi'bu'zhi'e'han'zi'ji
宝剑锋从磨砺出,bao'jian'feng'cong'mo'li'chu
饱经冬寒知春暖,bao'jing'dong'han'zhi'chun'nuan
饱暖思淫欲,bao'nuan'si'yin'yu
饱受冬寒知春暖,bao'shou'dong'han'zhi'chun'nuan
背后是鬼,bei'hou'shi'gui
笔杆杀人胜枪杆,bi'gan'sha'ren'sheng'qiang'gan
婊子无情,biao'zi'wu'qing
兵不畏死敌必克,bing'bu'wei'si'di'bi'ke
兵不畏死战必勇,bing'bu'wei'si'zhan'bi'yong
兵靠将带,bing'kao'jiang'dai
病去如抽丝,bing'qu'ru'chou'si
病树前头万木春,bing'shu'qian'tou'wan'mu'chun
兵熊熊一个,bing'xiong'xiong'yi'ge
不爱江山爱美人,bu'ai'jiang'shan'ai'mei'ren
不吃馒头蒸口气,bu'chi'man'tou'zheng'kou'qi
不吃羊肉惹身臊,bu'chi'yang'rou're'shen'sao
不打不成器,bu'da'bu'cheng'qi
不到船翻不跳河,bu'dao'chuan'fan'bu'tiao'he
不动笔墨不看书,bu'dong'bi'mo'bu'kan'shu
不见棺材不掉泪,bu'jian'guan'cai'bu'diao'lei
不见鬼子不开火,bu'jian'gui'zi'bu'kai'huo
不见鬼子不拉栓,bu'jian'gui'zi'bu'la'shuan
不见兔子不撒鹰,bu'jian'tu'zi'bu'sa'ying
不看僧面看佛面,bu'kan'seng'mian'kan'fo'mian
不恋风景恋风月,bu'lian'feng'jing'lian'feng'yue
不迷鲜花迷烟花,bu'mi'xian'hua'mi'yan'hua
不怕不识货,bu'pa'bu'shi'huo
不入佛门不受戒,bu'ru'fo'men'bu'shou'jie
不如起而行之,bu'ru'qi'er'xing'zhi
不如意事常八九,bu'ru'yi'shi'chang'ba'jiu
不是冤家不碰头,bu'shi'yuan'jia'bu'peng'tou
不图便宜不上当,bu'tu'pian'yi'bu'shang'dang
不畏浮云遮望眼,bu'wei'fu'yun'zhe'wang'yan
不问苍生问鬼神,bu'wen'cang'sheng'wen'gui'shen
不显山不露水,bu'xian'shan'bu'lu'shui
不言不语念真经,bu'yan'bu'yu'nian'zhen'jing
不言不语心计多,bu'yan'bu'yu'xin'ji'duo
