阿进,a'jin
阿笠博士,a'li'bo'shi
爱尔兰,ai'er'lan
白马探,bai'ma'tan
白鸟任三郎,bai'niao'ren'san'lang
贝尔莫,bei'er'mo
贝尔摩得,bei'er'mo'de
杯户高中,bei'hu'gao'zhong
贝克街的亡魂,bei'ke'jie'de'wang'hun
本堂瑛海,ben'tang'ying'hai
本堂瑛祐,ben'tang'ying'you
本厅警署恋爱物语,ben'ting'jing'shu'lian'ai'wu'yu
波本,bo'ben
池波静华,chi'bo'jing'hua
赤井秀一,chi'jing'xiu'yi
冲矢昴,chong'shi'mao
冲野洋子,chong'ye'yang'zi
大都会暗号地图事件,da'du'hui'an'hao'di'tu'shi'jian
帝丹高中,di'dan'gao'zhong
第十四个目标,di'shi'si'ge'mu'biao
二十年后的杀机,er'shi'nian'hou'de'sha'ji
妃英理,fei'ying'li
服部静华,fu'bu'jing'hua
服部平藏,fu'bu'ping'cang
服部平次,fu'bu'ping'ci
伏特加,fu'te'jia
绀碧之棺,gan'bi'zhi'guan
感受到你的心,gan'shou'dao'ni'de'xin
高木涉,gao'mu'she
宫本由美,gong'ben'you'mei
工藤新一,gong'teng'xin'yi
工藤新一纽约事件,gong'teng'xin'yi'niu'yue'shi'jian
工藤有希子,gong'teng'you'xi'zi
工藤优作,gong'teng'you'zuo
宫野艾莲娜,gong'ye'ai'lian'na
宫野厚司,gong'ye'hou'si
宫野明美,gong'ye'ming'mei
宫野志保,gong'ye'zhi'bao
怪盗基德,guai'dao'ji'de
怪盗基德的空中漫步,guai'dao'ji'de'de'kong'zhong'man'bu
怪盗基德的瞬间移动,guai'dao'ji'de'de'shun'jian'yi'dong
广田雅美,guang'tian'ya'mei
黑麦酒,hei'mai'jiu
黑羽快斗,hei'yu'kuai'dou
红与黑的碰撞,hong'yu'hei'de'peng'zhuang
灰原哀,hui'yuan'ai
基安蒂,ji'an'di
基尔,ji'er
吉田步美,ji'tian'bu'mei
假面超人,jia'mian'chao'ren
江户川柯南,jiang'hu'chuan'ke'nan
金恩,jin'en
京极真,jing'ji'zhen
九十九文乃,jiu'shi'jiu'wen'nai
九十九元康,jiu'shi'jiu'yuan'kang
九条玲子,jiu'tiao'ling'zi
科恩,ke'en
克里斯宾雅德,ke'li'si'bin'ya'de
苦艾酒,ku'ai'jiu
浪花连续杀人事件,lang'hua'lian'xu'sha'ren'shi'jian
恋爱是冒险惊喜恐惧,lian'ai'shi'mao'xian'jing'xi'kong'ju
铃木次郎吉,ling'mu'ci'lang'ji
铃木绫子,ling'mu'ling'zi
铃木朋子,ling'mu'peng'zi
铃木史郎,ling'mu'shi'lang
铃木园子,ling'mu'yuan'zi
毛利兰,mao'li'lan
毛利小五郎,mao'li'xiao'wu'lang
美术馆杀人事件,mei'shu'guan'sha'ren'shi'jian
每月礼物威胁事件,mei'yue'li'wu'wei'xie'shi'jian
迷宫的十字路,mi'gong'de'shi'zi'lu
米花町,mi'hua'ding
命运的复活,ming'yun'de'fu'huo
名侦探的聚会,ming'zhen'tan'de'ju'hui
名侦探柯南,ming'zhen'tan'ke'nan
魔术师爱好者杀人事件,mo'shu'shi'ai'hao'zhe'sha'ren'shi'jian
目暮十三,mu'mu'shi'san
木之下吉郎,mu'zhi'xia'ji'lang
偶像密室杀人事件,ou'xiang'mi'shi'sha'ren'shi'jian
匹斯可,pi'si'ke
漆黑的追迹者,qi'hei'de'zhui'ji'zhe
棋盘上的决战,qi'pan'shang'de'jue'zhan
千面魔女,qian'mian'mo'nv
千叶一伸,qian'ye'yi'shen
琴酒,qin'jiu
情人节的真像,qing'ren'jie'de'zhen'xiang
情人节杀人事件,qing'ren'jie'sha'ren'shi'jian
三好麻子,san'hao'ma'zi
莎朗宾雅德,sha'lang'bin'ya'de
少年侦探团,shao'nian'zhen'tan'tuan
社长千金绑架事件,she'zhang'qian'jin'bang'jia'shi'jian
深蓝色的海盗旗,shen'lan'se'de'hai'dao'qi
神秘目光,shen'mi'mu'guang
深入黑暗组织,shen'ru'hei'an'zu'zhi
世纪末的魔术师,shi'ji'mo'de'mo'shu'shi
十年后的陌生人,shi'nian'hou'de'mo'sheng'ren
水平线上的阴谋,shui'ping'xian'shang'de'yin'mou
水无怜奈,shui'wu'lian'nai
松田阵平,song'tian'zhen'ping
藤峰有希子,teng'feng'you'xi'zi
天空的难破船,tian'kong'de'nan'po'chuan
天下第一夜祭杀人事件,tian'xia'di'yi'ye'ji'sha'ren'shi'jian
瞳孔中的暗杀者,tong'kong'zhong'de'an'sha'zhe
通往天国的倒计时,tong'wang'tian'guo'de'dao'ji'shi
蔚蓝色的灵柩,wei'lan'se'de'ling'jiu
危命的复活,wei'ming'de'fu'huo
沃克,wo'ke
雾天狗传说杀人事件,wu'tian'gou'chuan'shuo'sha'ren'shi'jian
细胞爆发性自死,xi'bao'bao'fa'xing'zi'si
细胞自我破坏程序,xi'bao'zi'wo'po'huai'cheng'xu
小岛元太,xiao'dao'yuan'tai
小泉红子,xiao'quan'hong'zi
新干线大爆破事件,xin'gan'xian'da'bao'po'shi'jian
心中动荡不安,xin'zhong'dong'dang'bu'an
伊森本堂,yi'sen'ben'tang
引爆摩天楼,yin'bao'mo'tian'lou
银色子弹,yin'se'zi'dan
银翼的魔术师,yin'yi'de'mo'shu'shi
与黑衣组织的满月对决,yu'hei'yi'zu'zhi'de'man'yue'dui'jue
圆谷光彦,yuan'gu'guang'yan
远山和叶,yuan'shan'he'ye
园子的红手帕,yuan'zi'de'hong'shou'pa
