昂日鸡,ang'ri'ji
敖丙,ao'bing
敖光,ao'guang
八卦仙衣,ba'gua'xian'yi
八卦云光帕,ba'gua'yun'guang'pa
把胡云,ba'hu'yun
白骨洞,bai'gu'dong
白鹤洞,bai'he'dong
白鹤童子,bai'he'tong'zi
白虎星,bai'hu'xing
柏鉴,bai'jian
白礼,bai'li
白天君,bai'tian'jun
柏显忠,bai'xian'zhong
百有患,bai'you'huan
白玉环,bai'yu'huan
白玉金刚镯,bai'yu'jin'gang'zhuo
鲍龙,bao'long
豹尾星,bao'wei'xing
北伯侯,bei'bo'hou
北斗星君,bei'dou'xing'jun
陛犴,bi'an
毕德,bi'de
比干,bi'gan
毕环,bi'huan
璧水崳,bi'shui'yu
闭仙诀,bi'xian'jue
碧霄,bi'xiao
碧游床,bi'you'chuang
碧游宫,bi'you'gong
毕月乌,bi'yue'wu
卞吉,bian'ji
卞金龙,bian'jin'long
病符星,bing'fu'xing
柏林,bo'lin
博士星,bo'shi'xing
卜同,bo'tong
伯邑考,bo'yi'kao
蔡公,cai'gong
彩云仙子,cai'yun'xian'zi
蚕畜星,can'chu'xing
曹宝,cao'bao
阐教,chan'jiao
阐教邓蝉玉,chan'jiao'deng'chan'yu
长耳定光仙,chang'er'ding'guang'xian
常昊,chang'hao
长虹遁,chang'hong'dun
长虹索,chang'hong'suo
长蛇星,chang'she'xing
朝歌,chao'ge
晁雷,chao'lei
晁田,chao'tian
彻地夫人,che'di'fu'ren
车坤,che'kun
陈庚,chen'geng
陈季贞,chen'ji'zhen
陈继真,chen'ji'zhen
陈九公,chen'jiu'gong
陈坎,chen'kan
臣门,chen'men
陈梦庚,chen'meng'geng
陈奇,chen'qi
陈三益,chen'san'yi
陈塘关,chen'tang'guan
陈桐,chen'tong
陈梧,chen'wu
陈元,chen'yuan
持国天王,chi'guo'tian'wang
赤精子,chi'jing'zi
赤烟驹,chi'yan'ju
蚩尤,chi'you
崇黑虎,chong'hei'hu
崇侯虎,chong'hou'hu
崇应彪,chong'ying'biao
除盖,chu'gai
除杀星,chu'sha'xing
穿心锁,chuan'xin'suo
穿云关,chuan'yun'guan
慈航道人,ci'hang'dao'ren
雌雄剑,ci'xiong'jian
雌雄蛟龙金鞭,ci'xiong'jiao'long'jin'bian
攒心钉,cuan'xin'ding
崔英,cui'ying
大耗星,da'hao'xing
大红袍,da'hong'pao
妲己,da'ji
大鹏金翅乌,da'peng'jin'chi'wu
打神鞭,da'shen'bian
大贤,da'xian
戴礼,dai'li
单百招,dan'bai'zhao
道行天尊,dao'hang'tian'zun
刀砧星,dao'zhen'xing
地走星,de'zou'xing
邓婵玉,deng'chan'yu
邓华,deng'hua
邓九公,deng'jiu'gong
邓秀,deng'xiu
邓玉,deng'yu
邓忠,deng'zhong
邓忠陶荣,deng'zhong'tao'rong
地暗星,di'an'xing
地暴星,di'bao'xing
地察星,di'cha'xing
地猖星,di'chang'xing
帝车星,di'che'xing
地丑星,di'chou'xing
地短星,di'duan'xing
地恶星,di'e'xing
地飞星,di'fei'xing
地辅星,di'fu'xing
地伏星,di'fu'xing
地狗星,di'gou'xing
地孤星,di'gu'xing
地耗星,di'hao'xing
地阖星,di'he'xing
地后星,di'hou'xing
地会星,di'hui'xing
地慧星,di'hui'xing
地羁星,di'ji'xing
地健星,di'jian'xing
地角星,di'jiao'xing
地捷星,di'jie'xing
地杰星,di'jie'xing
地进星,di'jin'xing
地金星,di'jin'xing
地俊星,di'jun'xing
地空星,di'kong'xing
地狂星,di'kuang'xing
地魁星,di'kui'xing
地乐星,di'le'xing
地理,di'li
地劣星,di'lie'xing
地裂阵,di'lie'zhen
地灵星,di'ling'xing
帝辂星,di'lu'xing
地满星,di'man'xing
地猛星,di'meng'xing
地明星,di'ming'xing
地魔星,di'mo'xing
地默星,di'mo'xing
地僻星,di'pi'xing
地平星,di'ping'xing
地奇星,di'qi'xing
地强星,di'qiang'xing
地巧星,di'qiao'xing
地囚星,di'qiu'xing
地煞星,di'sha'xing
地兽星,di'shou'xing
地数星,di'shu'xing
地双星,di'shuang'xing
地速星,di'su'xing
地遂星,di'sui'xing
地损星,di'sun'xing
地退星,di'tui'xing
地网星,di'wang'xing
地威星,di'wei'xing
地微星,di'wei'xing
地闻星,di'wen'xing
地文星,di'wen'xing
地行术,di'xing'shu
地刑星,di'xing'xing
地雄星,di'xiong'xing
地妖星,di'yao'xing
地异星,di'yi'xing
地阴星,di'yin'xing
地隐星,di'yin'xing
地英星,di'ying'xing
地勇星,di'yong'xing
地佑星,di'you'xing
地幽星,di'you'xing
地藏星,di'zang'xing
地贼星,di'zei'xing
地镇星,di'zhen'xing
地正星,di'zheng'xing
地周星,di'zhou'xing
地壮星,di'zhuang'xing
地佐星,di'zuo'xing
典通,dian'tong
吊客星,diao'ke'xing
丁策,ding'ce
定风珠,ding'feng'zhu
钉头七箭书,ding'tou'qi'jian'shu
东斗星君,dong'dou'xing'jun
董全,dong'quan
董天君,dong'tian'jun
董忠,dong'zhong
斗木豸,dou'mu'zhi
窦荣,dou'rong
度厄真人,du'e'zhen'ren
独角乌烟兽,du'jiao'wu'yan'shou
杜元铣,du'yuan'xi
段清,duan'qing
遁龙桩,dun'long'zhuang
多宝道人,duo'bao'dao'ren
多文天王,duo'wen'tian'wang
鄂崇禹,e'chong'yu
恶来,e'lai
峨嵋山,e'mei'shan
鄂顺,e'shun
二龙剑,er'long'jian
二十四诸天,er'shi'si'zhu'tian
二仙山,er'xian'shan
法宝,fa'bao
法戒,fa'jie
法力,fa'li
发燥幡,fa'zao'fan
范斌,fan'bin
樊焕,fan'huan
番天印,fan'tian'yin
反吟星,fan'yin'xing
方保,fang'bao
