阿餐,a'can
大理寺少卿,da'li'si'shao'qing
大理寺寺正,da'li'si'si'zheng
大理寺司直,da'li'si'si'zhi
大理寺详断官,da'li'si'xiang'duan'guan
大理寺右评事,da'li'si'you'ping'shi
大理寺右少卿,da'li'si'you'shao'qing
大理寺正,da'li'si'zheng
大理司直,da'li'si'zhi
大理寺主簿,da'li'si'zhu'bu
大理寺左评事,da'li'si'zuo'ping'shi
大理寺左少卿,da'li'si'zuo'shao'qing
大理寺左寺丞,da'li'si'zuo'si'cheng
大理正,da'li'zheng
达鲁花赤,da'lu'hua'chi
大使,da'shi
大司农司大司农,da'si'nong'si'da'si'nong
大司农司大司农卿,da'si'nong'si'da'si'nong'qing
大司农司大司农少卿,da'si'nong'si'da'si'nong'shao'qing
大司徒,da'si'tu
大行台,da'xing'tai
大学士,da'xue'shi
大长公主,da'zhang'gong'zhu
大中大夫,da'zhong'da'fu
大中正,da'zhong'zheng
大总管,da'zong'guan
大宗正府札鲁忽赤,da'zong'zheng'fu'zha'lu'hu'chi
大夫,dai'fu
带御器械,dai'yu'qi'xie
待制,dai'zhi
道观察使,dao'guan'cha'shi
道监察御史,dao'jian'cha'yu'shi
道节度使,dao'jie'du'shi
道行军大总管,dao'xing'jun'da'zong'guan
道御史,dao'yu'shi
等路管民提举司达鲁花赤,deng'lu'guan'min'ti'ju'si'da'lu'hua'chi
登仕郎,deng'shi'lang
登仕佐郎,deng'shi'zuo'lang
迪功郎,di'gong'lang
帝姬,di'ji
帝师,di'shi
递运所大使,di'yun'suo'da'shi
典签,dian'qian
殿前承旨,dian'qian'cheng'zhi
殿前司都虞候,dian'qian'si'dou'yu'hou
殿前司都指挥使,dian'qian'si'du'zhi'hui'shi
殿前司副都指挥使,dian'qian'si'fu'du'zhi'hui'shi
殿前司捧日天武四厢都指挥使,dian'qian'si'peng'ri'tian'wu'si'xiang'du'zhi'hui'shi
殿前指挥使,dian'qian'zhi'hui'shi
典膳,dian'shan
典史,dian'shi
殿侍,dian'shi
典书,dian'shu
典术,dian'shu
典仪,dian'yi
典仗,dian'zhang
殿直,dian'zhi
殿中,dian'zhong
殿中丞,dian'zhong'cheng
殿中监,dian'zhong'jian
殿中少监,dian'zhong'shao'jian
殿中省,dian'zhong'sheng
殿中省丞,dian'zhong'sheng'cheng
殿中省尚乘奉御,dian'zhong'sheng'shang'cheng'feng'yu
殿中省尚辇奉御,dian'zhong'sheng'shang'nian'feng'yu
殿中省尚舍奉御,dian'zhong'sheng'shang'she'feng'yu
殿中省尚衣奉御,dian'zhong'sheng'shang'yi'feng'yu
殿中省少监,dian'zhong'sheng'shao'jian
殿中侍御史,dian'zhong'shi'yu'shi
殿中侍御史内供奉,dian'zhong'shi'yu'shi'nei'gong'feng
殿撰,dian'zhuan
丁父忧,ding'fu'you
丁艰,ding'jian
定九域图志所编修,ding'jiu'yu'tu'zhi'suo'bian'xiu
丁母忧,ding'mu'you
丁内艰,ding'nei'jian
丁外艰,ding'wai'jian
丁忧,ding'you
东都副留守,dong'du'fu'liu'shou
东都留守,dong'du'liu'shou
东都留守从事,dong'du'liu'shou'cong'shi
东都留守判官,dong'du'liu'shou'pan'guan
东阁祭酒,dong'ge'ji'jiu
东宫,dong'gong
东宫必阇赤,dong'gong'bi'she'chi
东宫宿卫,dong'gong'su'wei
东宫学士,dong'gong'xue'shi
东京留守,dong'jing'liu'shou
东染院使,dong'ran'yuan'shi
东上合门使,dong'shang'he'men'shi
东头供奉官,dong'tou'gong'feng'guan
都漕运使,dou'cao'yun'shi
都漕运使司副使,dou'cao'yun'shi'si'fu'shi
都大提点坑冶铸钱公事,dou'da'ti'dian'keng'ye'zhu'qian'gong'shi
都大提举茶马司,dou'da'ti'ju'cha'ma'si
都官郎中,dou'guan'lang'zhong
都官尚书,dou'guan'shang'shu
都官司郎官,dou'guan'si'lang'guan
都官员外郎,dou'guan'yuan'wai'lang
都监,dou'jian
都进奏院,dou'jin'zou'yuan
都事,dou'shi
都水监,dou'shui'jian
都水监丞,dou'shui'jian'cheng
都水监少监,dou'shui'jian'shao'jian
都水监使者,dou'shui'jian'shi'zhe
都水监主簿,dou'shui'jian'zhu'bu
都统制,dou'tong'zhi
都团练副使,dou'tuan'lian'fu'shi
都巡检使,dou'xun'jian'shi
都虞候,dou'yu'hou
都元帅,dou'yuan'shuai
都镇抚司都镇抚,dou'zhen'fu'si'dou'zhen'fu
都知,dou'zhi
都知兵马使,dou'zhi'bing'ma'shi
都指挥佥事,dou'zhi'hui'qian'shi
都指挥同知,dou'zhi'hui'tong'zhi
都转运使,dou'zhuan'yun'shi
都转运盐使,dou'zhuan'yun'yan'shi
都转运盐使司都转运盐使,dou'zhuan'yun'yan'shi'si'dou'zhuan'yun'yan'shi
都总管府达鲁花赤,dou'zong'guan'fu'da'lu'hua'chi
都总管司,dou'zong'guan'si
都察院都事,du'cha'yuan'dou'shi
都察院观政,du'cha'yuan'guan'zheng
都察院右都御史,du'cha'yuan'you'du'yu'shi
都察院右副都御史,du'cha'yuan'you'fu'dou'yu'shi
都察院右佥都御史,du'cha'yuan'you'qian'du'yu'shi
都察院左都御史,du'cha'yuan'zuo'du'yu'shi
都察院左副都御史,du'cha'yuan'zuo'fu'dou'yu'shi
都察院左佥都御史,du'cha'yuan'zuo'qian'du'yu'shi
都督,du'du
都督府参军,du'du'fu'can'jun
都督府参议军事,du'du'fu'can'yi'jun'shi
都督府参赞军事,du'du'fu'can'zan'jun'shi
都督府都事,du'du'fu'dou'shi
都督府法曹参军,du'du'fu'fa'cao'can'jun
都督府长史,du'du'fu'zhang'shi
都督佥事,du'du'qian'shi
都护,du'hu
都给事中,du'ji'shi'zhong
都司都事,du'si'dou'shi
都司经历,du'si'jing'li
都统,du'tong
都指挥使,du'zhi'hui'shi
度支郎中,du'zhi'lang'zhong
度支尚书,du'zhi'shang'shu
度支使,du'zhi'shi
度支司郎官,du'zhi'si'lang'guan
度支员外郎,du'zhi'yuan'wai'lang
端明殿学士,duan'ming'dian'xue'shi
断事,duan'shi
断事官,duan'shi'guan
队副,dui'fu
队正,dui'zheng
法曹参军,fa'cao'can'jun
法师,fa'shi
发运副使,fa'yun'fu'shi
发运判官,fa'yun'pan'guan
发运使,fa'yun'shi
防御判官,fang'yu'pan'guan
防御使,fang'yu'shi
防御推官,fang'yu'tui'guan
飞骑尉,fei'qi'wei
分司,fen'si
分司南京,fen'si'nan'jing
分司西京,fen'si'xi'jing
封驳司,feng'bo'si
奉朝请,feng'chao'qing
奉车都尉,feng'che'du'wei
凤阁舍人,feng'ge'she'ren
凤阁侍郎,feng'ge'shi'lang
奉礼郎,feng'li'lang
奉训大夫,feng'xun'dai'fu
奉议大夫,feng'yi'dai'fu
奉议郎,feng'yi'lang
奉御,feng'yu
奉政大夫,feng'zheng'dai'fu
奉直大夫,feng'zhi'dai'fu
奉直郎,feng'zhi'lang
府兵曹参军,fu'bing'cao'can'jun
府丞,fu'cheng
副都御史,fu'dou'yu'shi
副都统制,fu'du'tong'zhi
府法曹参军,fu'fa'cao'can'jun
府功曹参军,fu'gong'cao'can'jun
辅国大将军,fu'guo'da'jiang'jun
府戸曹参军,fu'hu'cao'can'jun
府检校,fu'jian'jiao
副将,fu'jiang
府教授,fu'jiao'shou
府经历,fu'jing'li
副留守,fu'liu'shou
府录事参军,fu'lu'shi'can'jun
驸马,fu'ma
驸马都尉,fu'ma'du'wei
府牧,fu'mu
府判,fu'pan
副千户,fu'qian'hu
夫人,fu'ren
副使,fu'shi
府士曹参军,fu'shi'cao'can'jun
府司录,fu'si'lu
府司禄参军,fu'si'lu'can'jun
府通判,fu'tong'pan
府同知,fu'tong'zhi
府推官,fu'tui'guan
副万户,fu'wan'hu
敷文阁待制,fu'wen'ge'dai'zhi
敷文阁学士,fu'wen'ge'xue'shi
敷文阁直学士,fu'wen'ge'zhi'xue'shi
府文学,fu'wen'xue
符玺郎,fu'xi'lang
府学教授,fu'xue'jiao'shou
府学训导,fu'xue'xun'dao
府尹,fu'yin
副元帅,fu'yuan'shuai
府照磨,fu'zhao'mo
府知事,fu'zhi'shi
府左果毅,fu'zuo'guo'yi
干办公事,gan'ban'gong'shi
给事郎,gei'shi'lang
供备库副使,gong'bei'ku'fu'shi
供备库使,gong'bei'ku'shi
工部观政,gong'bu'guan'zheng
工部郎中,gong'bu'lang'zhong
工部尚书,gong'bu'shang'shu
工部侍郎,gong'bu'shi'lang
工部司郎官,gong'bu'si'lang'guan
工部右侍郎,gong'bu'you'shi'lang
工部员外郎,gong'bu'yuan'wai'lang
工部主事,gong'bu'zhu'shi
工部左侍郎,gong'bu'zuo'shi'lang
功曹参军,gong'cao'can'jun
供奉官,gong'feng'guan
宫观差遣,gong'guan'chai'qian
宫观使,gong'guan'shi
宫教博士,gong'jiao'bo'shi
工科给事中,gong'ke'ji'shi'zhong
宫留守,gong'liu'shou
宫留守推官,gong'liu'shou'tui'guan
宫人,gong'ren
恭人,gong'ren
贡士,gong'shi
拱卫大夫,gong'wei'dai'fu
宫苑使,gong'yuan'shi
宫者,gong'zhe
公主,gong'zhu
观察副使,guan'cha'fu'shi
观察判官,guan'cha'pan'guan
观察使,guan'cha'shi
观察使从事,guan'cha'shi'cong'shi
观察使僚佐,guan'cha'shi'liao'zuo
观察使巡官,guan'cha'shi'xun'guan
观察推官,guan'cha'tui'guan
观察支使,guan'cha'zhi'shi
冠带,guan'dai
冠带舍人,guan'dai'she'ren
冠带医士,guan'dai'yi'shi
冠带总旗,guan'dai'zong'qi
馆阁校勘,guan'ge'jiao'kan
管勾宫观,guan'gou'gong'guan
