阿餐,a'can
锦衣卫副千户,jin'yi'wei'fu'qian'hu
锦衣卫正千户,jin'yi'wei'zheng'qian'hu
锦衣卫指挥佥事,jin'yi'wei'zhi'hui'qian'shi
锦衣卫指挥使,jin'yi'wei'zhi'hui'shi
金紫光禄大夫,jin'zi'guang'lu'dai'fu
京府左军巡判官,jing'fu'zuo'jun'xun'pan'guan
京库大使,jing'ku'da'shi
经历,jing'li
经略安抚使,jing'lue'an'fu'shi
经略安抚使司管勾主管机宜文字,jing'lue'an'fu'shi'si'guan'gou'zhu'guan'ji'yi'wen'zi
经略安抚司参议官,jing'lue'an'fu'si'can'yi'guan
经略安抚司干办公事,jing'lue'an'fu'si'gan'ban'gong'shi
经略安抚沿边招讨使,jing'lue'an'fu'yan'bian'zhao'tao'shi
经略副使,jing'lue'fu'shi
经略判官,jing'lue'pan'guan
经略使,jing'lue'shi
经筵检讨,jing'yan'jian'tao
九品散官,jiu'pin'san'guan
九寺五监,jiu'si'wu'jian
局大使,ju'da'shi
郡别驾,jun'bie'jia
郡伯,jun'bo
郡博士,jun'bo'shi
郡丞,jun'cheng
军都虞候,jun'dou'yu'hou
军都指挥使,jun'du'zhi'hui'shi
郡夫人,jun'fu'ren
军副使,jun'fu'shi
郡公,jun'gong
郡户曹掾,jun'hu'cao'yuan
郡户掾,jun'hu'yuan
军将,jun'jiang
郡君,jun'jun
郡开国公,jun'kai'guo'gong
郡开国侯,jun'kai'guo'hou
军民招抚使,jun'min'zhao'fu'shi
军器监丞,jun'qi'jian'cheng
军器监监,jun'qi'jian'jian
军器监少监,jun'qi'jian'shao'jian
军器监主簿,jun'qi'jian'zhu'bu
军器库使,jun'qi'ku'shi
军使,jun'shi
军事判官,jun'shi'pan'guan
军事推官,jun'shi'tui'guan
郡守,jun'shou
郡司法参军,jun'si'fa'can'jun
郡司功参军,jun'si'gong'can'jun
郡司户参军,jun'si'hu'can'jun
军司马,jun'si'ma
郡司马,jun'si'ma
郡太夫人,jun'tai'fu'ren
郡太君,jun'tai'jun
郡通守,jun'tong'shou
郡王,jun'wang
郡王府教授,jun'wang'fu'jiao'shou
郡长史,jun'zhang'shi
郡正,jun'zheng
郡主,jun'zhu
军左押衙,jun'zuo'ya'ya
开封府少尹,kai'feng'fu'shao'yin
开封府司录参军事,kai'feng'fu'si'lu'can'jun'shi
开封府推官,kai'feng'fu'tui'guan
开封府尹,kai'feng'fu'yin
开府,kai'fu
开府仪同三司,kai'fu'yi'tong'san'si
开国伯,kai'guo'bo
开国公,kai'guo'gong
开国男,kai'guo'nan
考功郎中,kao'gong'lang'zhong
考功司郎官,kao'gong'si'lang'guan
考功员外郎,kao'gong'yuan'wai'lang
考试官,kao'shi'guan
科给事中,ke'ji'shi'zhong
课绩院,ke'ji'yuan
控鹤监,kong'he'jian
控鹤内供奉,kong'he'nei'gong'feng
库部郎中,ku'bu'lang'zhong
库部司郎中,ku'bu'si'lang'zhong
库部司员外郎,ku'bu'si'yuan'wai'lang
库部员外郎,ku'bu'yuan'wai'lang
奎章阁鉴书博士,kui'zhang'ge'jian'shu'bo'shi
奎章阁学士院大学士,kui'zhang'ge'xue'shi'yuan'da'xue'shi
郎官,lang'guan
郎将,lang'jiang
郎中,lang'zhong
礼宾副使,li'bin'fu'shi
礼宾使,li'bin'shi
吏部,li'bu
礼部,li'bu
吏部观政,li'bu'guan'zheng
礼部观政,li'bu'guan'zheng
吏部郎官,li'bu'lang'guan
礼部郎官,li'bu'lang'guan
吏部郎中,li'bu'lang'zhong
礼部郎中,li'bu'lang'zhong
礼部儒士,li'bu'ru'shi
吏部尚书,li'bu'shang'shu
礼部尚书,li'bu'shang'shu
吏部侍郎,li'bu'shi'lang
礼部侍郎,li'bu'shi'lang
吏部侍郎左右选,li'bu'shi'lang'zuo'you'xuan
吏部司郎官,li'bu'si'lang'guan
礼部司郎官,li'bu'si'lang'guan
礼部司务,li'bu'si'wu
吏部右侍郎,li'bu'you'shi'lang
礼部右侍郎,li'bu'you'shi'lang
吏部右选侍郎,li'bu'you'xuan'shi'lang
吏部员外郎,li'bu'yuan'wai'lang
礼部员外郎,li'bu'yuan'wai'lang
吏部主事,li'bu'zhu'shi
礼部主事,li'bu'zhu'shi
吏部左侍郎,li'bu'zuo'shi'lang
礼部左侍郎,li'bu'zuo'shi'lang
礼记博士,li'ji'bo'shi
礼科都给事中,li'ke'du'ji'shi'zhong
吏科给事中,li'ke'ji'shi'zhong
礼科给事中,li'ke'ji'shi'zhong
吏目,li'mu
醴泉观使,li'quan'guan'shi
理问,li'wen
理问所理问,li'wen'suo'li'wen
理问所知事,li'wen'suo'zhi'shi
礼仪使,li'yi'shi
礼仪详定使,li'yi'xiang'ding'shi
礼仪院,li'yi'yuan
豊裕仓仓使,li'yu'cang'cang'shi
廉访司照磨,lian'fang'si'zhao'mo
两府,liang'fu
两省,liang'sheng
良医,liang'yi
良医正,liang'yi'zheng
两制,liang'zhi
麟台监,lin'tai'jian
麟台正字,lin'tai'zheng'zi
令人,ling'ren
令史,ling'shi
领使,ling'shi
灵台郎,ling'tai'lang
陵台令,ling'tai'ling
六部,liu'bu
六部尚书,liu'bu'shang'shu
六部侍郎,liu'bu'shi'lang
留后,liu'hou
流内铨吏部,liu'nei'quan'li'bu
留守,liu'shou
留守司留守,liu'shou'si'liu'shou
留守司同知,liu'shou'si'tong'zhi
流外铨,liu'wai'quan
六宅副使,liu'zhai'fu'shi
六宅使,liu'zhai'shi
龙图,long'tu
龙图阁待制,long'tu'ge'dai'zhi
路兵马都元帅,lu'bing'ma'dou'yuan'shuai
路察访使,lu'cha'fang'shi
路道录,lu'dao'lu
路分兵马都监,lu'fen'bing'ma'dou'jian
路分兵马钤辖,lu'fen'bing'ma'qian'xia
路分马步军副部署,lu'fen'ma'bu'jun'fu'bu'shu
路分马步军副总管,lu'fen'ma'bu'jun'fu'zong'guan
路经历,lu'jing'li
路吏,lu'li
路录事,lu'lu'shi
路判官,lu'pan'guan
路儒学正,lu'ru'xue'zheng
录事参军,lu'shi'can'jun
录事判官,lu'shi'pan'guan
录事司达鲁花赤,lu'shi'si'da'lu'hua'chi
录事司录事,lu'shi'si'lu'shi
录事司判官,lu'shi'si'pan'guan
路税务提领,lu'shui'wu'ti'ling
路司狱,lu'si'yu
路提点刑狱公事,lu'ti'dian'xing'yu'gong'shi
路提举市舶司,lu'ti'ju'shi'bo'si
路提举学事官,lu'ti'ju'xue'shi'guan
路提控案牍,lu'ti'kong'an'du
路同知,lu'tong'zhi
路万户,lu'wan'hu
路行大司农司令史,lu'xing'da'si'nong'si'ling'shi
路学正,lu'xue'zheng
路阴阳学教授,lu'yin'yang'xue'jiao'shou
路照磨,lu'zhao'mo
路驻泊兵马都监,lu'zhu'bo'bing'ma'dou'jian
路转运使,lu'zhuan'yun'shi
鸾台侍郎,luan'tai'shi'lang
洛苑副使,luo'yuan'fu'shi
洛苑使,luo'yuan'shi
率更令,lv'geng'ling
旅帅,lv'shuai
律学助教,lv'xue'zhu'jiao
马步军都部署,ma'bu'jun'dou'bu'shu
马步军都总管部署,ma'bu'jun'dou'zong'guan'bu'shu
马步军副都总管部署,ma'bu'jun'fu'dou'zong'guan'bu'shu
马步军副总管,ma'bu'jun'fu'zong'guan
马步军龙卫神卫四厢都指挥使,ma'bu'jun'long'wei'shen'wei'si'xiang'du'zhi'hui'shi
马步军总管,ma'bu'jun'zong'guan
美人,mei'ren
门下省典仪,men'xia'sheng'dian'yi
门下省给事中,men'xia'sheng'ji'shi'zhong
门下侍郎,men'xia'shi'lang
蒙古军万户,meng'gu'jun'wan'hu
蒙古字教授,meng'gu'zi'jiao'shou
秘阁,mi'ge
秘阁校勘,mi'ge'jiao'kan
秘阁校理,mi'ge'xiao'li
秘阁修撰,mi'ge'xiu'zhuan
秘书丞,mi'shu'cheng
秘书监,mi'shu'jian
秘书监辨验书画直长,mi'shu'jian'bian'yan'shu'hua'zhi'chang
秘书监典簿,mi'shu'jian'dian'bu
秘书监典吏,mi'shu'jian'dian'li
秘书监典史,mi'shu'jian'dian'shi
秘书监典书,mi'shu'jian'dian'shu
秘书监管勾,mi'shu'jian'guan'gou
秘书监监丞,mi'shu'jian'jian'cheng
秘书监监卿,mi'shu'jian'jian'qing
秘书监令史,mi'shu'jian'ling'shi
秘书监怯里马赤,mi'shu'jian'qie'li'ma'chi
秘书监太监,mi'shu'jian'tai'jian
秘书监提控案牍,mi'shu'jian'ti'kong'an'du
秘书监校书郎,mi'shu'jian'xiao'shu'lang
秘书监译史,mi'shu'jian'yi'shi
秘书监知印,mi'shu'jian'zhi'yin
秘书监著作郎,mi'shu'jian'zhu'zuo'lang
秘书监著作佐郎,mi'shu'jian'zhu'zuo'zuo'lang
秘书监奏差,mi'shu'jian'zou'cha
秘书郎,mi'shu'lang
秘书少监,mi'shu'shao'jian
秘书省,mi'shu'sheng
秘书省监,mi'shu'sheng'jian
秘书省少监,mi'shu'sheng'shao'jian
秘书省校书郎,mi'shu'sheng'xiao'shu'lang
秘书省正字,mi'shu'sheng'zheng'zi
秘书省著作郎,mi'shu'sheng'zhu'zuo'lang
民部尚书,min'bu'shang'shu
明威将军,ming'wei'jiang'jun
磨勘京朝官院,mo'kan'jing'chao'guan'yuan
磨勘诸路提点刑狱司,mo'kan'zhu'lu'ti'dian'xing'yu'si
某府府学教授,mou'fu'fu'xue'jiao'shou
某军承宣使,mou'jun'cheng'xuan'shi
某军节度观察留后,mou'jun'jie'du'guan'cha'liu'hou
某军节度使,mou'jun'jie'du'shi
某军军学教授,mou'jun'jun'xue'jiao'shou
某州刺使,mou'zhou'ci'shi
某州防御使,mou'zhou'fang'yu'shi
某州府兵曹参军,mou'zhou'fu'bing'cao'can'jun
某州府工曹参军,mou'zhou'fu'gong'cao'can'jun
某州府户曹参军,mou'zhou'fu'hu'cao'can'jun
某州府户曹掾,mou'zhou'fu'hu'cao'yuan
某州府军监学教授,mou'zhou'fu'jun'jian'xue'jiao'shou
某州府士曹参军,mou'zhou'fu'shi'cao'can'jun
某州府刑曹参军,mou'zhou'fu'xing'cao'can'jun
某州府驻扎御前诸军都统制,mou'zhou'fu'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi
某州府驻扎御前诸军都统制司,mou'zhou'fu'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi'si
某州观察使,mou'zhou'guan'cha'shi
某州团练使,mou'zhou'tuan'lian'shi
某州州学教授,mou'zhou'zhou'xue'jiao'shou
幕府,mu'fu
幕官,mu'guan
幕职官,mu'zhi'guan
幕中,mu'zhong
纳言,na'yan
南平王,nan'ping'wang
南台察院监察御史,nan'tai'cha'yuan'jian'cha'yu'shi
南台大夫,nan'tai'dai'fu
南台架阁库管勾,nan'tai'jia'ge'ku'guan'gou
南台经历,nan'tai'jing'li
南台掾,nan'tai'yuan
南台照磨,nan'tai'zhao'mo
南台中丞,nan'tai'zhong'cheng
内藏库,nei'cang'ku
内藏库使,nei'cang'ku'shi
内给事,nei'gei'shi
内供奉,nei'gong'feng
内侍,nei'shi
内史,nei'shi
内史舍人,nei'shi'she'ren
内侍省押班,nei'shi'sheng'ya'ban
内史侍郎,nei'shi'shi'lang
内谒者监,nei'ye'zhe'jian
内园使,nei'yuan'shi
判大理寺事,pan'da'li'si'shi
判大宗正司事,pan'da'zong'zheng'si'shi
判登闻检院事,pan'deng'wen'jian'yuan'shi
判都水监事,pan'dou'shui'jian'shi
判度支,pan'du'zhi
判官,pan'guan
判馆事,pan'guan'shi
判国子监事,pan'guo'zi'jian'shi
判户部事,pan'hu'bu'shi
判将作监事,pan'jiang'zuo'jian'shi
判军器监事,pan'jun'qi'jian'shi
判吏部流内铨事,pan'li'bu'liu'nei'quan'shi
判吏部南曹事,pan'li'bu'nan'cao'shi
判某府军府事,pan'mou'fu'jun'fu'shi
判某州军州事,pan'mou'zhou'jun'zhou'shi
判尚书省刑部事,pan'shang'shu'sheng'xing'bu'shi
判史馆事,pan'shi'guan'shi
判司簿尉,pan'si'bu'wei
判寺事大理等寺,pan'si'shi'da'li'deng'si
判太常卿事,pan'tai'chang'qing'shi
判太常寺,pan'tai'chang'si
判院事,pan'yuan'shi
炮水手都元帅,pao'shui'shou'dou'yuan'shuai
陪戎副尉,pei'rong'fu'wei
陪戎尉,pei'rong'wei
裨将,pi'jiang
辟雍博士,pi'yong'bo'shi
辟雍录,pi'yong'lu
骠骑大将军,piao'qi'da'jiang'jun
骠骑将军,piao'qi'jiang'jun
评事,ping'shi
平章事,ping'zhang'shi
平章政事,ping'zhang'zheng'shi
仆射,pu'ye
骑都尉,qi'du'wei
起居郎,qi'ju'lang
起居舍人,qi'ju'she'ren
七品散官,qi'pin'san'guan
齐王,qi'wang
千户,qian'hu
千户所管军总把,qian'hu'suo'guan'jun'zong'ba
千牛,qian'niu
千牛卫将军,qian'niu'wei'jiang'jun
佥事,qian'shi
签书节度判官厅公事,qian'shu'jie'du'pan'guan'ting'gong'shi
签书判官厅,qian'shu'pan'guan'ting
签署判官厅公事,qian'shu'pan'guan'ting'gong'shi
签书枢密院事,qian'shu'shu'mi'yuan'shi
佥提刑按察司事,qian'ti'xing'an'cha'si'shi
钤辖,qian'xia
亲军百户,qin'jun'bai'hu
亲军都指挥使,qin'jun'du'zhi'hui'shi
亲军千户,qin'jun'qian'hu
亲事,qin'shi
亲王府记室参军事,qin'wang'fu'ji'shi'can'jun'shi
亲王府翊善,qin'wang'fu'yi'shan
亲王府赞读,qin'wang'fu'zan'du
亲王府直讲,qin'wang'fu'zhi'jiang
亲卫大夫,qin'wei'dai'fu
轻车都尉,qing'che'du'wei
秋官侍郎,qiu'guan'shi'lang
驱使官,qu'shi'guan
权兵部尚书,quan'bing'bu'shang'shu
权兵部侍郎,quan'bing'bu'shi'lang
权发遣某州军州事,quan'fa'qian'mou'zhou'jun'zhou'shi
权工部尚书,quan'gong'bu'shang'shu
权工部侍郎,quan'gong'bu'shi'lang
权户部侍郎,quan'hu'bu'shi'lang
权吏部尚书,quan'li'bu'shang'shu
权礼部尚书,quan'li'bu'shang'shu
权礼部侍郎,quan'li'bu'shi'lang
劝农营田副使,quan'nong'ying'tian'fu'shi
权三司使公事,quan'san'si'shi'gong'shi
权尚书省户部尚书,quan'shang'shu'sheng'hu'bu'shang'shu
权尚书省吏部侍郎,quan'shang'shu'sheng'li'bu'shi'lang
权刑部尚书,quan'xing'bu'shang'shu
权刑部侍郎,quan'xing'bu'shi'lang
权御史中丞事,quan'yu'shi'zhong'cheng'shi
权知开封府事,quan'zhi'kai'feng'fu'shi
权直学士院,quan'zhi'xue'shi'yuan
权中书舍人,quan'zhong'shu'she'ren
群牧副使,qun'mu'fu'shi
群牧判官,qun'mu'pan'guan
群牧使,qun'mu'shi
群牧制置使,qun'mu'zhi'zhi'shi
荣禄大夫,rong'lu'dai'fu
儒官,ru'guan
如京副使,ru'jing'fu'shi
如京使,ru'jing'shi
儒林郎,ru'lin'lang
入名宦祠,ru'ming'huan'ci
入内供备库副使,ru'nei'gong'bei'ku'fu'shi
入内内侍省都知,ru'nei'nei'shi'sheng'dou'zhi
入内内侍省副都知,ru'nei'nei'shi'sheng'fu'dou'zhi
入内内侍省内东头供奉官,ru'nei'nei'shi'sheng'nei'dong'tou'gong'feng'guan
入内内侍省内侍黄门,ru'nei'nei'shi'sheng'nei'shi'huang'men
入内内侍省小黄门,ru'nei'nei'shi'sheng'xiao'huang'men
入内文思使,ru'nei'wen'si'shi
入内西京左藏库副使,ru'nei'xi'jing'zuo'cang'ku'fu'shi
入内西京左藏库使,ru'nei'xi'jing'zuo'cang'ku'shi
孺人,ru'ren
儒学教授,ru'xue'jiao'shou
儒学提举司副提举,ru'xue'ti'ju'si'fu'ti'ju
儒学提举司提举,ru'xue'ti'ju'si'ti'ju
儒学训导,ru'xue'xun'dao
三丞,san'cheng
散府知府或府尹,san'fu'zhi'fu'huo'fu'yin
三公,san'gong
三馆,san'guan
散官,san'guan
散骑常侍,san'qi'chang'shi
三司都勾院,san'si'dou'gou'yuan
三司都理欠司,san'si'dou'li'qian'si
三司都磨勘司,san'si'dou'mo'kan'si
三司都凭由司,san'si'dou'ping'you'si
三司度支副使,san'si'du'zhi'fu'shi
三司度支勾院,san'si'du'zhi'gou'yuan
三司度支判官,san'si'du'zhi'pan'guan
三司副使,san'si'fu'shi
三司勾当公事,san'si'gou'dang'gong'shi
三司户部副使,san'si'hu'bu'fu'shi
三司户部勾院,san'si'hu'bu'gou'yuan
三司户部判官,san'si'hu'bu'pan'guan
三司开拆司,san'si'kai'chai'si
三司判官,san'si'pan'guan
三司使,san'si'shi
三司盐铁副使,san'si'yan'tie'fu'shi
三司盐铁勾院,san'si'yan'tie'gou'yuan
三司盐铁判官,san'si'yan'tie'pan'guan
僧正,seng'zheng
膳部郎中,shan'bu'lang'zhong
膳部员外郎,shan'bu'yuan'wai'lang
删定官,shan'ding'guan
上百户摄行千户,shang'bai'hu'she'xing'qian'hu
上百户所百户,shang'bai'hu'suo'bai'hu
尚宝司丞,shang'bao'si'cheng
尚宝司卿,shang'bao'si'qing
尚宝司少卿,shang'bao'si'shao'qing
上护军,shang'hu'jun
上开府,shang'kai'fu
上林苑监录事,shang'lin'yuan'jian'lu'shi
上骑都尉,shang'qi'du'wei
上千户所达鲁花赤,shang'qian'hu'suo'da'lu'hua'chi
上轻车都尉,shang'qing'che'du'wei
尚书,shang'shu
尚书博士,shang'shu'bo'shi
尚书郎,shang'shu'lang
尚书郎中,shang'shu'lang'zhong
尚书令,shang'shu'ling
尚书省兵部侍郎,shang'shu'sheng'bing'bu'shi'lang
尚书省都事,shang'shu'sheng'dou'shi
尚书省工部工部司郎中,shang'shu'sheng'gong'bu'gong'bu'si'lang'zhong
尚书省工部工部司员外郎,shang'shu'sheng'gong'bu'gong'bu'si'yuan'wai'lang
尚书省工部尚书,shang'shu'sheng'gong'bu'shang'shu
尚书省工部侍郎,shang'shu'sheng'gong'bu'shi'lang
尚书省工部屯田司郎中,shang'shu'sheng'gong'bu'tun'tian'si'lang'zhong
尚书省工部屯田司员外郎,shang'shu'sheng'gong'bu'tun'tian'si'yuan'wai'lang
尚书省工部虞部司郎中,shang'shu'sheng'gong'bu'yu'bu'si'lang'zhong
尚书省工部虞部司员外郎,shang'shu'sheng'gong'bu'yu'bu'si'yuan'wai'lang
尚书省户部仓部司郎中,shang'shu'sheng'hu'bu'cang'bu'si'lang'zhong
尚书省户部仓部司员外郎,shang'shu'sheng'hu'bu'cang'bu'si'yuan'wai'lang
尚书省户部度支司,shang'shu'sheng'hu'bu'du'zhi'si
尚书省户部度支司郎中,shang'shu'sheng'hu'bu'du'zhi'si'lang'zhong
尚书省户部度支司员外郎,shang'shu'sheng'hu'bu'du'zhi'si'yuan'wai'lang
尚书省户部金部司郎中,shang'shu'sheng'hu'bu'jin'bu'si'lang'zhong
尚书省户部金部司员外郎,shang'shu'sheng'hu'bu'jin'bu'si'yuan'wai'lang
尚书省户部尚书,shang'shu'sheng'hu'bu'shang'shu
尚书省户部侍郎,shang'shu'sheng'hu'bu'shi'lang
尚书省礼部祠部司郎中,shang'shu'sheng'li'bu'ci'bu'si'lang'zhong
尚书省礼部祠部司员外郎,shang'shu'sheng'li'bu'ci'bu'si'yuan'wai'lang
尚书省吏部考功司郎中,shang'shu'sheng'li'bu'kao'gong'si'lang'zhong
尚书省吏部考功司员外郎,shang'shu'sheng'li'bu'kao'gong'si'yuan'wai'lang
尚书省吏部郎中,shang'shu'sheng'li'bu'lang'zhong
尚书省礼部膳部司郎中,shang'shu'sheng'li'bu'shan'bu'si'lang'zhong
尚书省礼部膳部司员外郎,shang'shu'sheng'li'bu'shan'bu'si'yuan'wai'lang
尚书省礼部司郎中,shang'shu'sheng'li'bu'si'lang'zhong
尚书省礼部司员外郎,shang'shu'sheng'li'bu'si'yuan'wai'lang
尚书省吏部员外郎,shang'shu'sheng'li'bu'yuan'wai'lang
尚书省礼部主客司,shang'shu'sheng'li'bu'zhu'ke'si
尚书省礼部主客司郎中,shang'shu'sheng'li'bu'zhu'ke'si'lang'zhong
尚书省吏部主客司员外郎,shang'shu'sheng'li'bu'zhu'ke'si'yuan'wai'lang
尚书省六部诸司郎中员外郎,shang'shu'sheng'liu'bu'zhu'si'lang'zhong'yuan'wai'lang
尚书省刑部比部司郎中,shang'shu'sheng'xing'bu'bi'bu'si'lang'zhong
尚书省刑部比部司员外郎,shang'shu'sheng'xing'bu'bi'bu'si'yuan'wai'lang
尚书省刑部都官司郎中,shang'shu'sheng'xing'bu'dou'guan'si'lang'zhong
尚书省刑部都官司员外郎,shang'shu'sheng'xing'bu'dou'guan'si'yuan'wai'lang
尚书省刑部尚书,shang'shu'sheng'xing'bu'shang'shu
尚书省刑部司门司郎中,shang'shu'sheng'xing'bu'si'men'si'lang'zhong
尚书省刑部司门司员外郎,shang'shu'sheng'xing'bu'si'men'si'yuan'wai'lang
尚书省刑部刑部司郎中,shang'shu'sheng'xing'bu'xing'bu'si'lang'zhong
尚书省刑部刑部司员外郎,shang'shu'sheng'xing'bu'xing'bu'si'yuan'wai'lang
尚书省右丞,shang'shu'sheng'you'cheng
尚书省右司郎官,shang'shu'sheng'you'si'lang'guan
尚书省右司郎中,shang'shu'sheng'you'si'lang'zhong
尚书省右司员外郎,shang'shu'sheng'you'si'yuan'wai'lang
尚书省左曹郎官,shang'shu'sheng'zuo'cao'lang'guan
尚书省左丞,shang'shu'sheng'zuo'cheng
尚书省左司郎官,shang'shu'sheng'zuo'si'lang'guan
尚书省左司郎中,shang'shu'sheng'zuo'si'lang'zhong
尚书省左司员外郎,shang'shu'sheng'zuo'si'yuan'wai'lang
尚书右丞相,shang'shu'you'cheng'xiang
尚书右仆射同中书门下平章事,shang'shu'you'pu'ye'tong'zhong'shu'men'xia'ping'zhang'shi
尚书员外郎,shang'shu'yuan'wai'lang
尚书左丞相,shang'shu'zuo'cheng'xiang
尚书左仆射,shang'shu'zuo'pu'ye
尚书左仆射兼门下侍郎,shang'shu'zuo'pu'ye'jian'men'xia'shi'lang
尚书左右丞,shang'shu'zuo'you'cheng
上仪同三司,shang'yi'tong'san'si
上柱国,shang'zhu'guo
少保,shao'bao
少傅,shao'fu
少府监,shao'fu'jian
少府监监,shao'fu'jian'jian
少府监主簿,shao'fu'jian'zhu'bu
少府少监,shao'fu'shao'jian
少监,shao'jian
少卿,shao'qing
少师,shao'shi
少尹,shao'yin
少宰,shao'zai
舍人,she'ren
舍人院,she'ren'yuan
审理,shen'li
审理正,shen'li'zheng
审刑院详议官,shen'xing'yuan'xiang'yi'guan
省都事,sheng'du'shi
省祭官,sheng'ji'guan
省掾,sheng'yuan
省照磨,sheng'zhao'mo
市舶副提举,shi'bo'fu'ti'ju
市舶司提举,shi'bo'si'ti'ju
侍从,shi'cong
侍读,shi'du
侍读学士,shi'du'xue'shi
使府,shi'fu
史馆,shi'guan
试官,shi'guan
史馆编修,shi'guan'bian'xiu
史馆检阅,shi'guan'jian'yue
史馆校勘,shi'guan'jiao'kan
史馆修撰,shi'guan'xiu'zhuan
侍讲,shi'jiang
十将,shi'jiang
侍讲学士,shi'jiang'xue'shi
侍禁,shi'jin
侍郎,shi'lang
实录院检讨官,shi'lu'yuan'jian'tao'guan
实录院同修撰,shi'lu'yuan'tong'xiu'zhuan
实录院修撰,shi'lu'yuan'xiu'zhuan
侍卫亲军步军司都虞候,shi'wei'qin'jun'bu'jun'si'dou'yu'hou
侍卫亲军步军司都指挥使,shi'wei'qin'jun'bu'jun'si'du'zhi'hui'shi
侍卫亲军步军司副都指挥使,shi'wei'qin'jun'bu'jun'si'fu'du'zhi'hui'shi
侍卫亲军副都指挥使,shi'wei'qin'jun'fu'du'zhi'hui'shi
侍卫亲军马军司都虞候,shi'wei'qin'jun'ma'jun'si'dou'yu'hou
侍卫亲军马军司都指挥使,shi'wei'qin'jun'ma'jun'si'du'zhi'hui'shi
侍卫亲军马军司副都指挥使,shi'wei'qin'jun'ma'jun'si'fu'du'zhi'hui'shi
侍卫亲军司马步军都虞候,shi'wei'qin'jun'si'ma'bu'jun'dou'yu'hou
侍卫亲军司马步军副都指挥使,shi'wei'qin'jun'si'ma'bu'jun'fu'du'zhi'hui'shi
拾遗,shi'yi
食邑,shi'yi
侍仪使,shi'yi'shi
侍仪司侍仪舍人,shi'yi'si'shi'yi'she'ren
侍右郎官,shi'you'lang'guan
侍御史,shi'yu'shi
侍御史知杂事,shi'yu'shi'zhi'za'shi
使职,shi'zhi
史职,shi'zhi
侍中,shi'zhong
侍左郎官,shi'zuo'lang'guan
守备,shou'bei
寿官,shou'guan
守御,shou'yu
淑妃,shu'fei
述古殿学士,shu'gu'dian'xue'shi
书记,shu'ji
庶吉士,shu'ji'shi
枢密,shu'mi
枢密副使,shu'mi'fu'shi
枢密使,shu'mi'shi
枢密院编修,shu'mi'yuan'bian'xiu
枢密院承旨,shu'mi'yuan'cheng'zhi
枢密院都承旨,shu'mi'yuan'dou'cheng'zhi
枢密院都事,shu'mi'yuan'dou'shi
枢密院副都承旨,shu'mi'yuan'fu'dou'cheng'zhi
枢密院副枢,shu'mi'yuan'fu'shu
枢密院计议官,shu'mi'yuan'ji'yi'guan
枢密院检详诸房文字,shu'mi'yuan'jian'xiang'zhu'fang'wen'zi
枢密院经历,shu'mi'yuan'jing'li
枢密院礼房副承旨,shu'mi'yuan'li'fang'fu'cheng'zhi
枢密院佥院,shu'mi'yuan'qian'yuan
枢密院同佥,shu'mi'yuan'tong'qian
枢密院同知,shu'mi'yuan'tong'zhi
枢密院院判,shu'mi'yuan'yuan'pan
枢密院掾史,shu'mi'yuan'yuan'shi
枢密院知院,shu'mi'yuan'zhi'yuan
枢密直学士,shu'mi'zhi'xue'shi
淑人,shu'ren
书院山长,shu'yuan'shan'chang
书状官,shu'zhuang'guan
帅府经历,shuai'fu'jing'li
帅府照磨,shuai'fu'zhao'mo
水部郎中,shui'bu'lang'zhong
水部司郎中,shui'bu'si'lang'zhong
水部司员外郎,shui'bu'si'yuan'wai'lang
水部员外郎,shui'bu'yuan'wai'lang
水军万户,shui'jun'wan'hu
税课局大使,shui'ke'ju'da'shi
税课使,shui'ke'shi
税课司大使,shui'ke'si'da'shi
水路发运使,shui'lu'fa'yun'shi
水陆转运使,shui'lu'zhuan'yun'shi
水陆转运使判官,shui'lu'zhuan'yun'shi'pan'guan
税使司大使,shui'shi'si'da'shi
税使司提领,shui'shi'si'ti'ling
硕人,shuo'ren
说书,shuo'shu
司仓,si'cang
寺丞,si'cheng
司法参军,si'fa'can'jun
司法参军事,si'fa'can'jun'shi
四方馆使,si'fang'guan'shi
司封郎中,si'feng'lang'zhong
司封司郎官,si'feng'si'lang'guan
司封司郎中,si'feng'si'lang'zhong
司封司员外郎,si'feng'si'yuan'wai'lang
司封员外郎,si'feng'yuan'wai'lang
寺副,si'fu
司户参军,si'hu'can'jun
司谏,si'jian
司经局正字,si'jing'ju'zheng'zi
司空,si'kong
司理参军,si'li'can'jun
司理参军事,si'li'can'jun'shi
司录参军事,si'lu'can'jun'shi
司马,si'ma
四门博士,si'men'bo'shi
司门郎中,si'men'lang'zhong
司门员外郎,si'men'yuan'wai'lang
司农卿,si'nong'qing
司农少卿,si'nong'shao'qing
司农寺丞,si'nong'si'cheng
司农寺卿,si'nong'si'qing
司农寺少卿,si'nong'si'shao'qing
司农寺主簿,si'nong'si'zhu'bu
司士参军,si'shi'can'jun
司天监丞,si'tian'jian'cheng
司天监冬官正,si'tian'jian'dong'guan'zheng
司天监提学,si'tian'jian'ti'xue
司天监主簿,si'tian'jian'zhu'bu
司徒,si'tu
嗣王,si'wang
司勋郎中,si'xun'lang'zhong
司勋司郎中,si'xun'si'lang'zhong
司勋司员外郎,si'xun'si'yuan'wai'lang
