唇若涂丹,chun'ruo'tu'dan
纯阳学说,chun'yang'xue'shuo
结语,jie'yu
口唇的望诊,kou'chun'de'wang'zhen
两耳红赤状若涂脂,liang'er'hong'chi'zhuang'ruo'tu'zhi
毛发的望诊,mao'fa'de'wang'zhen
面部望诊,mian'bu'wang'zhen
面部望诊歌诀,mian'bu'wang'zhen'ge'jue
面若搽粉过度,mian'ruo'cha'fen'guo'du
目睛的望诊,mu'jing'de'wang'zhen
腮若涂脂,sai'ruo'tu'zhi
少阳为枢,shao'yang'wei'shu
少阳学说,shao'yang'xue'shuo
少阳主春,shao'yang'zhu'chun
少阳主肝,shao'yang'zhu'gan
少阳主肾,shao'yang'zhu'shen
少阳主心,shao'yang'zhu'xin
望舌,wang'she
学术流派,xue'shu'liu'pai
学术思想,xue'shu'si'xiang
