熬鳔,ao'biao
拔闯,ba'chuang
吧唧,ba'ji
拔裂儿,ba'lie'er
八万和小白脸儿,ba'wan'he'xiao'bai'lian'er
白吃饱儿,bai'chi'bao'er
白话,bai'hua
摆谱儿,bai'pu'er
白眼儿,bai'yan'er
半参子,ban'can'zi
拌蒜了,ban'suan'le
膀大力的,bang'da'li'de
棒硬,bang'ying
报儿,bao'er
包涵,bao'han
爆皮,bao'pi
抱热火罐儿,bao're'huo'guan'er
包圆儿,bao'yuan'er
备不住,bei'bu'zhu
倍儿,bei'er
贝儿贝儿,bei'er'bei'er
背黑锅,bei'hei'guo
呗尊,bei'zun
比划,bi'hua
不分流儿,bu'fen'liu'er
不够揍儿,bu'gou'zou'er
不介,bu'jie
不觉闷,bu'jue'men
不识逗,bu'shi'dou
不拾闲儿,bu'shi'xian'er
不着调,bu'zhuo'diao
藏蒙个儿,cang'meng'ge'er
差道儿,cha'dao'er
岔读,cha'du
岔头儿,cha'tou'er
差样儿的,cha'yang'er'de
扯子,che'zi
沉会儿,chen'hui'er
嗔着,chen'zhe
斥打,chi'da
吃挂落儿,chi'gua'luo'er
吃炝药,chi'qiang'yao
吃味儿,chi'wei'er
虫子,chong'zi
抽抽,chou'chou
臭街了,chou'jie'le
臭嘴,chou'zui
出出,chu'chu
出溜,chu'liu
出幺蛾子,chu'yao'e'zi
穿小鞋儿,chuan'xiao'xie'er
戳腿,chuo'tui
刺挠,ci'nao
瓷实,ci'shi
打镲,da'cha
打点,da'dian
大头,da'tou
大尾巴鹰,da'wei'ba'ying
单儿,dan'er
得了吧,de'le'ba
得楞,de'leng
叠了,die'le
逗闷子,dou'men'zi
二五眼,er'wu'yan
过节儿,guo'jie'er
海了去了,hai'le'qu'le
糊弄局,hu'nong'ju
话沽,hua'gu
霍霍,huo'huo
挤斗,ji'dou
介玩意儿,jie'wan'yi'er
老鼻子,lao'bi'zi
冷年糕,leng'nian'gao
楞子,leng'zi
瞜兮,lou'xi
嘛事儿,ma'shi'er
嘛玩,ma'wan
猫腻,mao'ni
内嘛,nei'ma
你了可够哏儿的,ni'le'ke'gou'gen'er'de
你说嘛儿,ni'shuo'ma'er
念山音,nian'shan'yin
蔫损,nian'sun
起腻,qi'ni
轻钱儿惹重钱儿,qing'qian'er're'zhong'qian'er
绕麻儿,rao'ma'er
惹惹,re're
食火,shi'huo
实轴饽饽,shi'zhou'bo'bo
手潮,shou'chao
撕把,si'ba
肆横,si'heng
祟乎,sui'hu
塌秧,ta'yang
抬槓,tai'gang
踢蹬罐儿,ti'deng'guan'er
歪脖蜡,wai'bo'la
崴泥,wai'ni
玩意儿,wan'yi'er
窝脖儿,wo'bo'er
瞎八,xia'ba
惺惺,xing'xing
窑性,yao'xing
业障,ye'zhang
一担一挑,yi'dan'yi'tiao
招应,zhao'ying
折饼儿,zhe'bing'er
挣崴,zheng'wai
皱巴,zhou'ba
坐地炮,zuo'di'pao
