爱晚湖,ai'wan'hu
鞍山西道,an'shan'xi'dao
八里台,ba'li'tai
八楼,ba'lou
八楼半,ba'lou'ban
八斋,ba'zhai
白堤路,bai'di'lu
百脑汇,bai'nao'hui
保卫处,bao'wei'chu
保育院,bao'yu'yuan
北平大学,bei'ping'da'xue
北洋大学,bei'yang'da'xue
北洋大学堂,bei'yang'da'xue'tang
北洋道,bei'yang'dao
北洋工学院,bei'yang'gong'xue'yuan
北洋广场,bei'yang'guang'chang
北洋科学楼,bei'yang'ke'xue'lou
北洋书院,bei'yang'shu'yuan
北洋西学学堂,bei'yang'xi'xue'xue'tang
北洋校歌,bei'yang'xiao'ge
北洋艺术团,bei'yang'yi'shu'tuan
北洋游泳馆,bei'yang'you'yong'guan
北洋园,bei'yang'yuan
表演系,biao'yan'xi
博士点,bo'shi'dian
博士后公寓,bo'shi'hou'gong'yu
材料化学,cai'liao'hua'xue
材料科学,cai'liao'ke'xue
材料学院,cai'liao'xue'yuan
蔡儒楷,cai'ru'kai
蔡绍基,cai'shao'ji
财务处,cai'wu'chu
财务管理,cai'wu'guan'li
蔡远泽,cai'yuan'ze
曹楚生,cao'chu'sheng
陈荩民,chen'jin'min
陈傻子,chen'sha'zi
陈傻子包子,chen'sha'zi'bao'zi
陈予恕,chen'yu'shu
陈志华,chen'zhi'hua
成教学院,cheng'jiao'xue'yuan
城市规划,cheng'shi'gui'hua
崇明路,chong'ming'lu
船舶海洋,chuan'bo'hai'yang
船舶实验室,chuan'bo'shi'yan'shi
催化工程,cui'hua'gong'cheng
大活,da'huo
大学生活动中心,da'xue'sheng'huo'dong'zhong'xin
单平,dan'ping
档案馆,dang'an'guan
邓研会,deng'yan'hui
地燃中心,di'ran'zhong'xin
地下商场,di'xia'shang'chang
电工队,dian'gong'dui
电气工程,dian'qi'gong'cheng
电信工程,dian'xin'gong'cheng
电信学院,dian'xin'xue'yuan
电站,dian'zhan
电子科技,dian'zi'ke'ji
电子商务,dian'zi'shang'wu
丁惟鲁,ding'wei'lu
丁阳,ding'yang
动画系,dong'hua'xi
东阶,dong'jie
二楼,er'lou
二十八斋,er'shi'ba'zhai
二十二楼,er'shi'er'lou
二十二斋,er'shi'er'zhai
