坝头,ba'tou
百花,bai'hua
百货大楼,bai'huo'da'lou
白酒厂,bai'jiu'chang
北大仓,bei'da'cang
北钢车队,bei'gang'che'dui
北钢大门,bei'gang'da'men
殡仪馆,bin'yi'guan
布鞋厂,bu'xie'chang
采血站,cai'xie'zhan
车辆厂,che'liang'chang
城子河,cheng'zi'he
村口,cun'kou
大商,da'shang
党校,dang'xiao
道东,dao'dong
道口,dao'kou
地税局,di'shui'ju
电工小学,dian'gong'xiao'xue
电力医院,dian'li'yi'yuan
电台,dian'tai
东风电子城,dong'feng'dian'zi'cheng
东风小学,dong'feng'xiao'xue
东山,dong'shan
东太,dong'tai
二机电厂,er'ji'dian'chang
发电厂,fa'dian'chang
干校,gan'xiao
钢铁厂,gang'tie'chang
工区,gong'qu
广益城,guang'yi'cheng
果品公司,guo'pin'gong'si
果品市场,guo'pin'shi'chang
河滨公园,he'bin'gong'yuan
和平新村,he'ping'xin'cun
红光道口,hong'guang'dao'kou
红军路,hong'jun'lu
红旗西路,hong'qi'xi'lu
红星村,hong'xing'cun
红星乡,hong'xing'xiang
红星乡一,hong'xing'xiang'yi
华严寺,hua'yan'si
黄房,huang'fang
黄楼,huang'lou
火车站,huo'che'zhan
机电厂,ji'dian'chang
技师学院,ji'shi'xue'yuan
机务段,ji'wu'duan
鸡西大学,ji'xi'da'xue
鸡西三中,ji'xi'san'zhong
佳和,jia'he
教堂,jiao'tang
交通局,jiao'tong'ju
街里,jie'li
金龙大厦,jin'long'da'sha
金洲大厦,jin'zhou'da'sha
敬老院,jing'lao'yuan
敬亲院,jing'qin'yuan
局加油站,ju'jia'you'zhan
局一中,ju'yi'zhong
看守所,kan'shou'suo
客运中心,ke'yun'zhong'xin
矿业宾馆,kuang'ye'bin'guan
矿院北门,kuang'yuan'bei'men
矿总院,kuang'zong'yuan
冷库,leng'ku
立新,li'xin
粮店,liang'dian
梁家,liang'jia
粮食局,liang'shi'ju
两西村,liang'xi'cun
两西商店,liang'xi'shang'dian
六栋楼,liu'dong'lou
楼口,lou'kou
绿海广场,lv'hai'guang'chang
煤厂,mei'chang
煤气厂,mei'qi'chang
煤炭工业局,mei'tan'gong'ye'ju
孟家沟,meng'jia'gou
南岗,nan'gang
南岗路,nan'gang'lu
南山市场,nan'shan'shi'chang
南站,nan'zhan
农机厂,nong'ji'chang
七井,qi'jing
桥北开发区,qiao'bei'kai'fa'qu
桥南,qiao'nan
青岛啤酒,qing'dao'pi'jiu
秋林商场,qiu'lin'shang'chang
热电厂,re'dian'chang
仁和村,ren'he'cun
山南,shan'nan
商埠,shang'bu
设备厂,she'bei'chang
十八中,shi'ba'zhong
师范附小,shi'fan'fu'xiao
十九中,shi'jiu'zhong
十三中,shi'san'zhong
市医院,shi'yi'yuan
市一中,shi'yi'zhong
市政府,shi'zheng'fu
兽医院,shou'yi'yuan
蔬菜大市场,shu'cai'da'shi'chang
蔬菜公司,shu'cai'gong'si
水电厂,shui'dian'chang
水晶宫,shui'jing'gong
司法局,si'fa'ju
太恒山,tai'heng'shan
台阶,tai'jie
太阳沟,tai'yang'gou
腾飞桥,teng'fei'qiao
铁路道口,tie'lu'dao'kou
铁路医院,tie'lu'yi'yuan
铁西派出所,tie'xi'pai'chu'suo
铁中,tie'zhong
卫校门诊,wei'xiao'men'zhen
卫校体育场,wei'xiao'ti'yu'chang
文举女子双语学校,wen'ju'nv'zi'shuang'yu'xue'xiao
物价局,wu'jia'ju
武警道口,wu'jing'dao'kou
西郊蔬菜基地,xi'jiao'shu'cai'ji'di
西山口,xi'shan'kou
乡村农家院,xiang'cun'nong'jia'yuan
新发煤矿,xin'fa'mei'kuang
新发小学,xin'fa'xiao'xue
新华,xin'hua
新华道口,xin'hua'dao'kou
新华市场,xin'hua'shi'chang
新华书店,xin'hua'shu'dian
新玛特购物广场,xin'ma'te'gou'wu'guang'chang
新南站,xin'nan'zhan
新兴,xin'xing
幸福小区,xing'fu'xiao'qu
亚泰洗浴中心,ya'tai'xi'yu'zhong'xin
一百,yi'bai
一中,yi'zhong
幼儿园,you'er'yuan
娱乐中心,yu'le'zhong'xin
育英高中,yu'ying'gao'zhong
园丁小区,yuan'ding'xiao'qu
园林路东,yuan'lin'lu'dong
园林路西,yuan'lin'lu'xi
运输公司,yun'shu'gong'si
造纸厂,zao'zhi'chang
中医院,zhong'yi'yuan
周西,zhou'xi
砖厂,zhuan'chang
佐家,zuo'jia
