贝形饰,bei'xing'shi
鼻塞,bi'se
柄型器,bing'xing'qi
彩石羽神,cai'shi'yu'shen
长条形饰,chang'tiao'xing'shi
螭虎,chi'hu
春水玉,chun'shui'yu
单舞人,dan'wu'ren
扉棱璜,fei'leng'huang
拱形饰,gong'xing'shi
观音,guan'yin
龙凤合体,long'feng'he'ti
龙虎合体,long'hu'he'ti
鸟兽,niao'shou
麒麟,qi'lin
秋山玉,qiu'shan'yu
人面纹玉饰,ren'mian'wen'yu'shi
人面形玉饰,ren'mian'xing'yu'shi
人首,ren'shou
三棱形饰,san'leng'xing'shi
梳短辫玉人,shu'duan'bian'yu'ren
双舞人,shuang'wu'ren
型玉龙,xing'yu'long
鸭首,ya'shou
腰佩宽柄玉人,yao'pei'kuan'bing'yu'ren
玉扳指,yu'ban'zhi
玉杯,yu'bei
玉锛,yu'ben
玉匕,yu'bi
玉璧,yu'bi
玉壁虎,yu'bi'hu
玉辟邪,yu'bi'xie
玉柄,yu'bing
玉博具,yu'bo'ju
玉蚕,yu'can
玉蝉,yu'chan
玉铲,yu'chan
玉冲牙,yu'chong'ya
玉锄,yu'chu
玉串饰,yu'chuan'shi
玉琮,yu'cong
玉带板,yu'dai'ban
玉带钩,yu'dai'gou
玉带扣,yu'dai'kou
玉刀,yu'dao
玉鹅,yu'e
玉耳勺,yu'er'shao
玉纺轮,yu'fang'lun
玉凤,yu'feng
玉凤佩,yu'feng'pei
玉斧,yu'fu
玉覆面,yu'fu'mian
玉辅首,yu'fu'shou
玉戈,yu'ge
玉狗,yu'gou
玉箍,yu'gu
玉管,yu'guan
玉观音饰,yu'guan'yin'shi
玉圭,yu'gui
玉簋,yu'gui
玉龟,yu'gui
玉海螺,yu'hai'luo
玉琀,yu'han
玉盒,yu'he
玉鹤,yu'he
玉虎,yu'hu
玉花瓣饰,yu'hua'ban'shi
玉环,yu'huan
玉环首铜削刀,yu'huan'shou'tong'xue'dao
玉璜,yu'huang
玉蝗,yu'huang
玉笄,yu'ji
玉剑珌,yu'jian'bi
玉剑格,yu'jian'ge
玉剑首,yu'jian'shou
玉剑璏,yu'jian'zhi
玉襟钩,yu'jin'gou
玉玦,yu'jue
玉勒,yu'le
玉龙,yu'long
玉龙凤佩,yu'long'feng'pei
玉龙佩,yu'long'pei
玉龙饰,yu'long'shi
玉鹿,yu'lu
玉鸬鹚,yu'lu'ci
玉马,yu'ma
玉瑁,yu'mao
玉矛,yu'mao
玉瞑目,yu'ming'mu
玉鸟,yu'niao
玉牛,yu'niu
玉牛首,yu'niu'shou
玉牌,yu'pai
玉盘,yu'pan
玉佩饰,yu'pei'shi
玉戚,yu'qi
玉虬龙,yu'qiu'long
玉雀,yu'que
玉人,yu'ren
玉塞,yu'sai
玉神人兽面饰,yu'shen'ren'shou'mian'shi
玉饰,yu'shi
玉兽,yu'shou
玉兽面,yu'shou'mian
玉梳,yu'shu
玉螳螂,yu'tang'lang
玉兔,yu'tu
玉觽,yu'wei
玉握,yu'wo
玉犀,yu'xi
玉蜥蜴,yu'xi'yi
玉象,yu'xiang
玉香笼,yu'xiang'long
玉项饰,yu'xiang'shi
玉鸮,yu'xiao
玉韘,yu'xie
玉熊,yu'xiong
玉璇玑,yu'xuan'ji
玉鸭,yu'ya
玉牙璋,yu'ya'zhang
玉燕,yu'yan
玉印,yu'yin
玉阴阳人,yu'yin'yang'ren
玉鹰,yu'ying
玉鹦鹉,yu'ying'wu
玉鱼,yu'yu
玉瑗,yu'yuan
玉鸳鸯,yu'yuan'yang
玉钺,yu'yue
玉簪,yu'zan
玉簪帽饰,yu'zan'mao'shi
玉凿,yu'zao
玉卮,yu'zhi
玉猪,yu'zhu
玉珠,yu'zhu
玉竹节状饰,yu'zhu'jie'zhuang'shi
玉猪龙,yu'zhu'long
玉坠饰,yu'zhui'shi
玉镯,yu'zhuo
玉镞,yu'zu
云纹器,yun'wen'qi
