安全出水量,an'quan'chu'shui'liang
岸线,an'xian
扒移力,ba'yi'li
半混合湖,ban'hun'he'hu
薄层流,bao'ceng'liu
暴洪,bao'hong
暴洪河流,bao'hong'he'liu
曝气,bao'qi
暴雨径流,bao'yu'jing'liu
闭流区,bi'liu'qu
边沟,bian'gou
变温水层,bian'wen'shui'ceng
冰坝,bing'ba
不稳定河槽,bu'wen'ding'he'cao
参证水文站,can'zheng'shui'wen'zhan
产沙量,chan'sha'liang
常流河,chang'liu'he
常年河,chang'nian'he
超采,chao'cai
潮差,chao'cha
潮幅,chao'fu
超渗雨,chao'shen'yu
潮水波,chao'shui'bo
潮水河,chao'shui'he
潮汐,chao'xi
潮汐河流,chao'xi'he'liu
城市水文学,cheng'shi'shui'wen'xue
冲沟,chong'gou
冲蚀,chong'shi
冲刷,chong'shua
冲泻质,chong'xie'zhi
出流量,chu'liu'liang
出流水,chu'liu'shui
出水口,chu'shui'kou
春汛,chun'xun
大水,da'shui
代表性流域,dai'biao'xing'liu'yu
单分子层,dan'fen'zi'ceng
淡水,dan'shui
单位过程线,dan'wei'guo'cheng'xian
当地入流,dang'di'ru'liu
等流时线图,deng'liu'shi'xian'tu
等盐度线,deng'yan'du'xian
地表径流,di'biao'jing'liu
地表水,di'biao'shui
地表水水文学,di'biao'shui'shui'wen'xue
地表滞留,di'biao'zhi'liu
低潮位,di'chao'wei
地方入流,di'fang'ru'liu
底宽,di'kuan
地面渗流,di'mian'shen'liu
地面水,di'mian'shui
地面滞留,di'mian'zhi'liu
地球水圈,di'qiu'shui'quan
低水位,di'shui'wei
地下补给河,di'xia'bu'gei'he
地下河流,di'xia'he'liu
地下径流,di'xia'jing'liu
底下流,di'xia'liu
地震海啸,di'zhen'hai'xiao
动床,dong'chuang
断续河,duan'xu'he
泛滥,fan'lan
翻转,fan'zhuan
废水,fei'shui
分配曲线,fen'pei'qu'xian
分水岭,fen'shui'ling
分水线,fen'shui'xian
封闭湖泊,feng'bi'hu'po
峰顶水位,feng'ding'shui'wei
峰均比,feng'jun'bi
丰水年,feng'shui'nian
峰值均值比,feng'zhi'jun'zhi'bi
伏流,fu'liu
富营养湖,fu'ying'yang'hu
富营养化,fu'ying'yang'hua
