安全,an'quan
安全技术,an'quan'ji'shu
奥诡奇幻,ao'gui'qi'huan
凹透镜,ao'tou'jing
叭嗒,ba'da
半自动闭塞,ban'zi'dong'bi'se
宝成线,bao'cheng'xian
宝兰二线,bao'lan'er'xian
宝兰线,bao'lan'xian
保全盛誉,bao'quan'sheng'yu
北京交通大学,bei'jing'jiao'tong'da'xue
北京局,bei'jing'ju
北京铁路局,bei'jing'tie'lu'ju
北京西站,bei'jing'xi'zhan
臂板,bi'ban
臂板式信号机,bi'ban'shi'xin'hao'ji
闭塞,bi'se
闭塞分区,bi'se'fen'qu
禀赋奇厚,bing'fu'qi'hou
玻璃,bo'li
不得不尔,bu'de'bu'er
不苟言笑,bu'gou'yan'xiao
不见经传,bu'jian'jing'zhuan
裁员增效,cai'yuan'zeng'xiao
惨嗥,can'hao
残星明灭,can'xing'ming'mie
侧冲,ce'chong
测速传感器,ce'su'chuan'gan'qi
测速发动机,ce'su'fa'dong'ji
测速雷达,ce'su'lei'da
插切销,cha'qie'xiao
查询应答器,cha'xun'ying'da'qi
长春,chang'chun
长江后浪推前浪,chang'jiang'hou'lang'tui'qian'lang
长沙铁道学院,chang'sha'tie'dao'xue'yuan
车辆厂,che'liang'chang
车列,che'lie
沉椿,chen'chun
晨光熹微,chen'guang'xi'wei
成都铁路局,cheng'du'tie'lu'ju
城轨,cheng'gui
城市轨道交通,cheng'shi'gui'dao'jiao'tong
乘务员,cheng'wu'yuan
成渝线,cheng'yu'xian
池鱼之殃,chi'yu'zhi'yang
重载,chong'zai
触点,chu'dian
窗口,chuang'kou
词锋,ci'feng
磁悬浮,ci'xuan'fu
猝不及防,cu'bu'ji'fang
忖道,cun'dao
大连,da'lian
大连铁道学院,da'lian'tie'dao'xue'yuan
大凛,da'lin
打蛇不死反成仇,da'she'bu'si'fan'cheng'chou
大言不惭,da'yan'bu'can
大站,da'zhan
单动道岔,dan'dong'dao'cha
胆寒战怵,dan'han'zhan'chu
单行线,dan'xing'xian
道岔,dao'cha
道岔区段,dao'cha'qu'duan
道成仙去,dao'cheng'xian'qu
道床,dao'chuang
到达场,dao'da'chang
到发场,dao'fa'chang
道渣,dao'zha
道渣电容,dao'zha'dian'rong
地面信号,di'mian'xin'hao
地铁,di'tie
电动转辙机,dian'dong'zhuan'zhe'ji
电弧,dian'hu
电话,dian'hua
电火花,dian'huo'hua
电空转辙机,dian'kong'zhuan'zhe'ji
电缆,dian'lan
电缆沟,dian'lan'gou
电气,dian'qi
电气化,dian'qi'hua
电气化区段,dian'qi'hua'qu'duan
电气化铁路,dian'qi'hua'tie'lu
电务,dian'wu
电务处,dian'wu'chu
电务段,dian'wu'duan
电源屏,dian'yuan'ping
调车,diao'che
调车场,diao'che'chang
调度,diao'du
调度长,diao'du'chang
调度机车,diao'du'ji'che
调度监督系统,diao'du'jian'du'xi'tong
钓鱼,diao'yu
定远,ding'yuan
断轨,duan'gui
断轨检查,duan'gui'jian'cha
段长,duan'zhang
对天盟誓,dui'tian'meng'shi
多费唇舌,duo'fei'chun'she
愕然,e'ran
发车,fa'che
防雷,fang'lei
防雷单元,fang'lei'dan'yuan
分光蹈影,fen'guang'dao'ying
分局,fen'ju
分线盘,fen'xian'pan
富贵花,fu'gui'hua
辅助信号,fu'zhu'xin'hao
高架桥,gao'jia'qiao
高速,gao'su
高速铁路,gao'su'tie'lu
工程局,gong'cheng'ju
工程施工,gong'cheng'shi'gong
功率,gong'lv
工务,gong'wu
工长,gong'zhang
股道,gu'dao
鼓腮,gu'sai
故障安全,gu'zhang'an'quan
光谱,guang'pu
轨道电路,gui'dao'dian'lu
过载,guo'zai
哈尔滨铁路局,ha'er'bin'tie'lu'ju
哈局,ha'ju
骇目惊心,hai'mu'jing'xin
汗颜,han'yan
合济,he'ji
红灯,hong'deng
红光,hong'guang
后退,hou'tui
呼和浩特铁路局,hu'he'hao'te'tie'lu'ju
呼局,hu'ju
滑行,hua'xing
黄灯,huang'deng
黄光,huang'guang
黄绿,huang'lv
货场,huo'chang
货车,huo'che
殛毙,ji'bi
挤岔,ji'cha
机车厂,ji'che'chang
机车头,ji'che'tou
机车信号,ji'che'xin'hao
继电器,ji'dian'qi
计将何出,ji'jiang'he'chu
挤切销,ji'qie'xiao
悸人心神,ji'ren'xin'shen
计算机联锁,ji'suan'ji'lian'suo
机械室,ji'xie'shi
