龙岩万达店,long'yan'wan'da'dian
美珍香,mei'zhen'xiang
思美香,si'mei'xiang
思美香食品龙海有限公司,si'mei'xiang'shi'pin'long'hai'you'xian'gong'si
厦门禾祥西路店,xia'men'he'xiang'xi'lu'dian
厦门思明南店,xia'men'si'ming'nan'dian
厦门梧村中闽百货店,xia'men'wu'cun'zhong'min'bai'huo'dian
厦门中山店,xia'men'zhong'shan'dian
漳州中闽店,zhang'zhou'zhong'min'dian
