鳌门,ao'men
百花村,bai'hua'cun
白礁,bai'jiao
白牌,bai'pai
白树,bai'shu
白云岩路口,bai'yun'yan'lu'kou
榜山中学,bang'shan'zhong'xue
保生路口,bao'sheng'lu'kou
北斗村,bei'dou'cun
北环城路口,bei'huan'cheng'lu'kou
博爱医院,bo'ai'yi'yuan
玻璃厂,bo'li'chang
蔡坂村,cai'ban'cun
蔡坑路口,cai'keng'lu'kou
蔡前村,cai'qian'cun
灿坤,can'kun
草坂村,cao'ban'cun
草寮尾,cao'liao'wei
草坪头,cao'ping'tou
草前村,cao'qian'cun
茶铺,cha'pu
长边中学,chang'bian'zhong'xue
长福村,chang'fu'cun
长泰车站,chang'tai'che'zhan
长途车站,chang'tu'che'zhan
长途汽车站,chang'tu'qi'che'zhan
朝阳医院,chao'yang'yi'yuan
陈元光墓,chen'yuan'guang'mu
程溪,cheng'xi
程溪路口,cheng'xi'lu'kou
崇福村,chong'fu'cun
大房村,da'fang'cun
大房农场,da'fang'nong'chang
大梅溪,da'mei'xi
大闽国际,da'min'guo'ji
打山村,da'shan'cun
打山开发区,da'shan'kai'fa'qu
大同家园,da'tong'jia'yuan
大同市场,da'tong'shi'chang
岱山村,dai'shan'cun
岱仙岩,dai'xian'yan
丹霞路口,dan'xia'lu'kou
丹霞星城,dan'xia'xing'cheng
丹霞园,dan'xia'yuan
倒桥,dao'qiao
登科村,deng'ke'cun
第一技工学校,di'yi'ji'gong'xue'xiao
第一看守所,di'yi'kan'shou'suo
第一职业学校,di'yi'zhi'ye'xue'xiao
地质队,di'zhi'dui
店仔圩,dian'zai'xu
顶南坂,ding'nan'ban
顶旁山,ding'pang'shan
东坑村,dong'keng'cun
东头,dong'tou
东信纸业,dong'xin'zhi'ye
东屿,dong'yu
东屿村,dong'yu'cun
东岳新村,dong'yue'xin'cun
东岳新村南门,dong'yue'xin'cun'nan'men
丰乐村,feng'le'cun
丰山镇,feng'shan'zhen
丰山镇康山,feng'shan'zhen'kang'shan
福海阳光,fu'hai'yang'guang
富华光学,fu'hua'guang'xue
富华眼镜厂,fu'hua'yan'jing'chang
浮山路口,fu'shan'lu'kou
福寿宫路口,fu'shou'gong'lu'kou
妇幼保健院,fu'you'bao'jian'yuan
甘棠村,gan'tang'cun
港昌食品厂,gang'chang'shi'pin'chang
港龙花园,gang'long'hua'yuan
高校园区,gao'xiao'yuan'qu
公交公司,gong'jiao'gong'si
公交停车场,gong'jiao'ting'che'chang
工业学校,gong'ye'xue'xiao
官山村路口,guan'shan'cun'lu'kou
官园路口,guan'yuan'lu'kou
桂溪花园,gui'xi'hua'yuan
郭边村,guo'bian'cun
国辉家具,guo'hui'jia'ju
郭坑镇,guo'keng'zhen
过塘村,guo'tang'cun
航标卫浴,hang'biao'wei'yu
和成制罐,he'cheng'zhi'guan
和平里,he'ping'li
恒坑村,heng'keng'cun
珩坑村,heng'keng'cun
洪坂,hong'ban
鸿渐,hong'jian
鸿渐村,hong'jian'cun
洪坑,hong'keng
红梅家具,hong'mei'jia'ju
洪塘林墩,hong'tang'lin'dun
宏源表业,hong'yuan'biao'ye
后店村樟山社,hou'dian'cun'zhang'shan'she
琥珀岭,hu'po'ling
花博园,hua'bo'yuan
花卉交易中心,hua'hui'jiao'yi'zhong'xin
华联商厦,hua'lian'shang'sha
华侨饭店,hua'qiao'fan'dian
华侨医院,hua'qiao'yi'yuan
华艺钟表,hua'yi'zhong'biao
华元小区东门,hua'yuan'xiao'qu'dong'men
华元小区南门,hua'yuan'xiao'qu'nan'men
惠民花园,hui'min'hua'yuan
火车东站,huo'che'dong'zhan
货车三队,huo'che'san'dui
火车站,huo'che'zhan
火车站广场,huo'che'zhan'guang'chang
吉马公寓,ji'ma'gong'yu
吉马家居广场,ji'ma'jia'ju'guang'chang
吉马学院,ji'ma'xue'yuan
吉马印刷学校,ji'ma'yin'shua'xue'xiao
吉马印刷学院,ji'ma'yin'shua'xue'yuan
家世界建材城,jia'shi'jie'jian'cai'cheng
佳鑫花园,jia'xin'hua'yuan
检测中心,jian'ce'zhong'xin
江滨花园,jiang'bin'hua'yuan
江东村,jiang'dong'cun
交警驾校,jiao'jing'jia'xiao
交警支队,jiao'jing'zhi'dui
角美,jiao'mei
角美第二小学,jiao'mei'di'er'xiao'xue
角美地税分局,jiao'mei'di'shui'fen'ju
角美火车站,jiao'mei'huo'che'zhan
角美金山,jiao'mei'jin'shan
角美文圃大道,jiao'mei'wen'pu'da'dao
角美永辉超市,jiao'mei'yong'hui'chao'shi
角美镇政府,jiao'mei'zhen'zheng'fu
教师新村,jiao'shi'xin'cun
交通大楼,jiao'tong'da'lou
交通大楼西门,jiao'tong'da'lou'xi'men
交通局,jiao'tong'ju
交通指挥中心,jiao'tong'zhi'hui'zhong'xin
教育学院,jiao'yu'xue'yuan
金保大厦,jin'bao'da'sha
金峰花园,jin'feng'hua'yuan
金峰一道,jin'feng'yi'dao
金冠花园,jin'guan'hua'yuan
锦龙小区,jin'long'xiao'qu
锦浦桥,jin'pu'qiao
金山,jin'shan
锦绣冷冻厂,jin'xiu'leng'dong'chang
锦绣一方,jin'xiu'yi'fang
金源广场,jin'yuan'guang'chang
金源新村,jin'yuan'xin'cun
锦宅村,jin'zhai'cun
金之榕,jin'zhi'rong
靖城镇,jing'cheng'zhen
警官俱乐部,jing'guan'ju'le'bu
景山社区,jing'shan'she'qu
九冬村,jiu'dong'cun
九湖花市,jiu'hu'hua'shi
九湖交警中队,jiu'hu'jiao'jing'zhong'dui
九湖开发区,jiu'hu'kai'fa'qu
九湖镇政府,jiu'hu'zhen'zheng'fu
九龙公园,jiu'long'gong'yuan
九龙公园北门,jiu'long'gong'yuan'bei'men
九龙公园南门,jiu'long'gong'yuan'nan'men
九龙公园西门,jiu'long'gong'yuan'xi'men
