阿尔贝加缪,a'er'bei'jia'miu
阿克洛夫,a'ke'luo'fu
阿西莫夫,a'xi'mo'fu
埃德蒙费尔普斯,ai'de'meng'fei'er'pu'si
爱德温李费佛,ai'de'wen'li'fei'fo
爱丽丝镜中奇遇记,ai'li'si'jing'zhong'qi'yu'ji
艾伦坡,ai'lun'po
安德烈纪德,an'de'lie'ji'de
暗店街,an'dian'jie
安娜卡林列那,an'na'ka'lin'lie'na
安妮宝贝,an'ni'bao'bei
奥德丽尼芬格,ao'de'li'ni'fen'ge
奥格威,ao'ge'wei
奥威尔,ao'wei'er
巴黎伦敦落魄记,ba'li'lun'dun'luo'po'ji
八月未央,ba'yue'wei'yang
背德者,bei'de'zhe
贝姨,bei'yi
比利战争,bi'li'zhan'zheng
变形记,bian'xing'ji
薄迦丘,bo'jia'qiu
勃朗特,bo'lang'te
查尔斯金斯利,cha'er'si'jin'si'li
查泰莱夫人的情人,cha'tai'lai'fu'ren'de'qing'ren
超越生命的选择,chao'yue'sheng'ming'de'xuan'ze
出租,chu'zu
川端康成,chuan'duan'kang'cheng
茨威格,ci'wei'ge
催眠启示录,cui'mian'qi'shi'lu
大繁荣,da'fan'rong
大仲马,da'zhong'ma
丹尼尔凯斯,dan'ni'er'kai'si
道德情操论,dao'de'qing'cao'lun
钓愚操纵与欺骗的经济学,diao'yu'cao'zong'yu'qi'pian'de'jing'ji'xue
动物精神,dong'wu'jing'shen
动物凶猛,dong'wu'xiong'meng
动物庄园,dong'wu'zhuang'yuan
渡边淳一,du'bian'chun'yi
杜拉斯,du'la'si
发廊情话,fa'lang'qing'hua
凡迪恩,fan'di'en
房龙,fang'long
房龙地理,fang'long'di'li
菲茨杰拉德,fei'ci'jie'la'de
废都,fei'du
非理性繁荣,fei'li'xing'fan'rong
非理性繁荣与金融危机,fei'li'xing'fan'rong'yu'jin'rong'wei'ji
分手信,fen'shou'xin
妇女乐园,fu'nv'le'yuan
高尔基,gao'er'ji
高尔斯华绥,gao'er'si'hua'sui
高频交易员华尔街的速度游戏,gao'pin'jiao'yi'yuan'hua'er'jie'de'su'du'you'xi
个比利,ge'bi'li
古今谭概,gu'jin'tan'gai
股票作手回忆录,gu'piao'zuo'shou'hui'yi'lu
古斯塔夫勒庞,gu'si'ta'fu'le'pang
国富论,guo'fu'lun
海伦凯勒,hai'lun'kai'le
海明威,hai'ming'wei
海斯,hai'si
河边小镇的故事,he'bian'xiao'zhen'de'gu'shi
何平,he'ping
亨利基辛格,heng'li'ji'xin'ge
亨利克显克维奇,heng'li'ke'xian'ke'wei'qi
红与黑,hong'yu'hei
湖光山色,hu'guang'shan'se
虎牙,hu'ya
黄帝八十一难经,huang'di'ba'shi'yi'nan'jing
黄仁宇,huang'ren'yu
霍达,huo'da
霍金,huo'jin
活着,huo'zhe
纪德,ji'de
加缪,jia'miu
贾平凹,jia'ping'wa
假如给我三天光明,jia'ru'gei'wo'san'tian'guang'ming
简爱,jian'ai
将军吟,jiang'jun'yin
姜戎,jiang'rong
金粉世家,jin'fen'shi'jia
金融新秩序,jin'rong'xin'zhi'xu
静静的顿河,jing'jing'de'dun'he
局外人,ju'wai'ren
卡夫卡,ka'fu'ka
卡耐基,ka'nai'ji
开到荼蘼花事了,kai'dao'tu'mi'hua'shi'le
看上去很美,kan'shang'qu'hen'mei
克里森兹,ke'li'sen'zi
肯福莱特,ken'fu'lai'te
廊桥遗梦,lang'qiao'yi'meng
狼图腾,lang'tu'teng
劳伦斯,lao'lun'si
老人与海,lao'ren'yu'hai
勒庞,le'pang
李佩甫,li'pei'fu
李自成,li'zi'cheng
了不起的盖兹比,liao'bu'qi'de'gai'zi'bi
刘易斯卡罗尔,liu'yi'si'ka'luo'er
刘震云,liu'zhen'yun
陆小曼,lu'xiao'man
论美国的民主,lun'mei'guo'de'min'zhu
