熬鳔,ao'biao
巴不能够儿,ba'bu'neng'gou'er
拔闯,ba'chuang
霸呲,ba'ci
把对,ba'dui
把该,ba'gai
把滑,ba'hua
拔火罐,ba'huo'guan
吧唧,ba'ji
把家虎儿,ba'jia'hu'er
巴结,ba'jie
罢了,ba'le
疤黎,ba'li
拔裂儿,ba'lie'er
扒秋,ba'qiu
扒头儿,ba'tou'er
掰不开瓣儿,bai'bu'kai'ban'er
白吃饱儿,bai'chi'bao'er
白钢刀,bai'gang'dao
白给,bai'gei
白话,bai'hua
白话蛋,bai'hua'dan
白话舌,bai'hua'she
白灰,bai'hui
白豁,bai'huo
白净子,bai'jing'zi
白毛汗,bai'mao'han
摆谱儿,bai'pu'er
掰生,bai'sheng
白眼儿,bai'yan'er
搬不倒儿,ban'bu'dao'er
半参子,ban'can'zi
板寸,ban'cun
板生,ban'sheng
拌蒜,ban'suan
拌蒜了,ban'suan'le
膀大力的,bang'da'li'de
梆硬,bang'ying
棒硬,bang'ying
梆子,bang'zi
棒子,bang'zi
膀子,bang'zi
棒子面,bang'zi'mian
报儿,bao'er
报儿次,bao'er'ci
包涵,bao'han
包了儿,bao'le'er
爆皮,bao'pi
爆皮儿,bao'pi'er
抱热火罐儿,bao're'huo'guan'er
暴腾,bao'teng
包圆儿,bao'yuan'er
保准儿,bao'zhun'er
刨子,bao'zi
雹子,bao'zi
备不住,bei'bu'zhu
倍儿,bei'er
倍儿哏儿,bei'er'gen'er
背黑锅,bei'hei'guo
呗尊,bei'zun
笨揣,ben'chuai
奔敲鼓儿,ben'qiao'gu'er
比划,bi'hua
憋嘟,bie'du
别介,bie'jie
病病歪歪,bing'bing'wai'wai
饽饽,bo'bo
脖葛儿,bo'ge'er
簸了盖,bo'le'gai
玻璃碴子,bo'li'cha'zi
驳头,bo'tou
不吃劲,bu'chi'jin
不分流儿,bu'fen'liu'er
不够捻,bu'gou'nian
不够揍儿,bu'gou'zou'er
不合遥向,bu'he'yao'xiang
不介,bu'jie
不觉闷,bu'jue'men
不靠盘儿,bu'kao'pan'er
步撵儿,bu'nian'er
不识逗,bu'shi'dou
不拾闲儿,bu'shi'xian'er
不吐口儿,bu'tu'kou'er
不着调,bu'zhuo'diao
踩挤,cai'ji
藏蒙个儿,cang'meng'ge'er
草鸡了,cao'ji'le
碴巴过节儿,cha'ba'guo'jie'er
差道儿,cha'dao'er
岔读,cha'du
茶缸子,cha'gang'zi
岔头儿,cha'tou'er
插销,cha'xiao
差样儿的,cha'yang'er'de
拆兑,chai'dui
馋猫儿,chan'mao'er
炒勺,chao'shao
抄摊子,chao'tan'zi
扯子,che'zi
沉会儿,chen'hui'er
嗔着,chen'zhe
趁子,chen'zi
撑子,cheng'zi
斥打,chi'da
吃二磨,chi'er'mo
吃瓜落儿,chi'gua'lao'er
吃挂落儿,chi'gua'luo'er
吃货,chi'huo
吃犒劳,chi'kao'lao
吃炝药,chi'qiang'yao
吃味儿,chi'wei'er
冲肺管子,chong'fei'guan'zi
虫子,chong'zi
臭遍街了,chou'bian'jie'le
抽抽,chou'chou
臭街了,chou'jie'le
抽冷子,chou'leng'zi
臭美,chou'mei
愁衣裳,chou'yi'shang
臭嘴,chou'zui
出出,chu'chu
出儿出儿,chu'er'chu'er
出溜,chu'liu
出数儿,chu'shu'er
出幺蛾子,chu'yao'e'zi
出幺讹子,chu'yao'e'zi
椽儿亮,chuan'er'liang
串老婆舌头,chuan'lao'po'she'tou
穿小鞋儿,chuan'xiao'xie'er
床子,chuang'zi
吹大梨,chui'da'li
戳腿,chuo'tui
戳腿儿,chuo'tui'er
刺儿头,ci'er'tou
刺挠,ci'nao
瓷实,ci'shi
刺痒,ci'yang
凑分子,cou'fen'zi
脆生,cui'sheng
皴儿,cun'er
寸了,cun'le
打八岔,da'ba'cha
大白,da'bai
大板牙,da'ban'ya
大背心,da'bei'xin
大宾,da'bin
打驳拦儿,da'bo'lan'er
大脖溜儿,da'bo'liu'er
打脖溜儿,da'bo'liu'er
打补丁,da'bu'ding
打糙,da'cao
打镲,da'cha
打喳喳,da'cha'cha
大大,da'da
大得,da'de
打等儿,da'deng'er
打点,da'dian
大发了,da'fa'le
大概齐,da'gai'qi
大哥大,da'ge'da
打鼓,da'gu
大鬼,da'gui
大锅盖,da'guo'gai
打滑溜儿,da'hua'liu'er
大壳帽,da'ke'mao
大了,da'le
大梨,da'li
答理,da'li
大梨膏,da'li'gao
打落,da'luo
打马虎眼,da'ma'hu'yan
大猫小猫,da'mao'xiao'mao
大拿,da'na
打蔫儿,da'nian'er
打泡儿,da'pao'er
打水漂儿,da'shui'piao'er
大头,da'tou
打歪歪,da'wai'wai
大尾巴鹰,da'wei'ba'ying
打小空儿,da'xiao'kong'er
大牙,da'ya
