阿含,a'han
阿迦答沙都,a'jia'da'sha'dou
阿拉汉,a'la'han
阿难达,a'nan'da
阿奴卢塔,a'nu'lu'ta
阿槃提,a'pan'ti
阿毗达摩,a'pi'da'mo
阿沙基,a'sha'ji
阿首咖,a'shou'ka
阿蘇罗,a'su'luo
安雅袞丹雅,an'ya'gun'dan'ya
盎嘎,ang'ga
巴嗒厘子,ba'da'li'zi
巴帝摩卡,ba'di'mo'ka
吧古喇,ba'gu'la
巴吉帝亚,ba'ji'di'ya
巴迦巴帝苟答弥,ba'jia'ba'di'gou'da'mi
巴拉基嘎,ba'la'ji'ga
巴拉密,ba'la'mi
巴拉纳西,ba'la'na'xi
巴谢那地,ba'xie'na'di
本那满答尼补答,ben'na'man'da'ni'bu'da
比库,bi'ku
比库尼,bi'ku'ni
毕陵达瓦差,bi'ling'da'wa'cha
宾比萨拉,bin'bi'sa'la
宾兜喇跋拉度阿迦,bin'dou'la'ba'la'du'a'jia
布德嘎亚,bu'de'ga'ya
阐那,chan'na
禅那,chan'na
达拔马喇子,da'ba'ma'la'zi
答咖西喇,da'ka'xi'la
达摩,da'mo
迭瓦达答,die'wa'da'da
都西答,dou'xi'da
独觉,du'jue
恶作,e'zuo
吠舍,fei'she
佛陀,fo'tuo
嘎卢腊,ga'lu'la
嘎提那,ga'ti'na
嘎旺巴帝,ga'wang'ba'di
甘马,gan'ma
甘塔拔,gan'ta'ba
甘塔拉,gan'ta'la
高沙喇,gao'sha'la
高赏比,gao'shang'bi
苟答马,gou'da'ma
孤邸,gu'di
古卢,gu'lu
古西那拉,gu'xi'na'la
皈命,gui'ming
果那咖马那,guo'na'ka'ma'na
吉答,ji'da
基瓦咖,ji'wa'ka
金比喇,jin'bi'la
近事男,jin'shi'nan
咖毕喇瓦土,ka'bi'la'wa'tu
咖古三塔,ka'gu'san'ta
咖噜达夷,ka'lu'da'yi
咖沙巴,ka'sha'ba
咖西,ka'xi
柯玛,ke'ma
库竹答拉,ku'zhu'da'la
拉胡喇,la'hu'la
勒瓦答,le'wa'da
礼敬,li'jing
伦比尼,lun'bi'ni
马嘎塔,ma'ga'ta
马哈果提答,ma'ha'guo'ti'da
马哈咖比那,ma'ha'ka'bi'na
马哈咖沙巴,ma'ha'ka'sha'ba
马哈咖吒亚那,ma'ha'ka'zha'ya'na
马哈摩嘎喇那,ma'ha'mo'ga'la'na
马哈那马,ma'ha'na'ma
马喇,ma'la
玛莉咖,ma'li'ka
马那答,ma'na'da
马兴德,ma'xing'de
美德亚,mei'de'ya
弥林达,mi'lin'da
牟尼,mou'ni
难达,nan'da
尼乾陀,ni'qian'tuo
尼萨耆亚巴吉帝亚,ni'sa'qi'ya'ba'ji'di'ya
入出息,ru'chu'xi
入流道,ru'liu'dao
萨度,sa'du
桑喀帝,sang'ka'di
桑喀地谢沙,sang'ka'di'xie'sha
桑喀蜜妲,sang'ka'mi'da
桑咖沙,sang'ka'sha
刹帝利,sha'di'li
沙咖天帝,sha'ka'tian'di
沙利补答,sha'li'bu'da
沙马内拉,sha'ma'nei'la
沙马内莉,sha'ma'nei'li
沙玛瓦帝,sha'ma'wa'di
沙瓦提,sha'wa'ti
释迦,shi'jia
释迦牟尼,shi'jia'mou'ni
蘇跋达,su'ba'da
蘇菩帝,su'pu'di
土喇难达,tu'la'nan'da
土喇吒亚,tu'la'zha'ya
瓦基,wa'ji
瓦萨,wa'sa
维巴沙那,wei'ba'sha'na
维巴西,wei'ba'xi
维毒哒跋,wei'du'da'ba
维沙卡,wei'sha'ka
韦沙离,wei'sha'li
韦沙菩,wei'sha'pu
韦沙瓦纳,wei'sha'wa'na
伍巴离,wu'ba'li
伍巴难达,wu'ba'nan'da
伍波萨他,wu'bo'sa'ta
伍答拉难答母,wu'da'la'nan'da'mu
伍达亚那,wu'da'ya'na
伍达夷,wu'da'yi
伍嘎,wu'ga
伍卢韦喇,wu'lu'wei'la
西奇,xi'qi
下裙,xia'qun
亚卡,ya'ka
亚马,ya'ma
亚沙,ya'sha
亚寿塔拉,ya'shou'ta'la
阎魔,yan'mo
掩腋衣,yan'ye'yi
应悔过,ying'hui'guo
有身见,you'shen'jian
由旬,you'xun
臾那,yu'na
在学尼,zai'xue'ni
瞻部洲,zhan'bu'zhou
旃陀罗,zhan'tuo'luo
支那,zhi'na
支提,zhi'ti
朱腊般他嘎,zhu'la'ban'ta'ga
准达,zhun'da
坐具,zuo'ju
