打桩设备,da'zhuang'she'bei
地基处理与基础,di'ji'chu'li'yu'ji'chu
法律法规,fa'lv'fa'gui
工程师,gong'cheng'shi
规章制度,gui'zhang'zhi'du
技术员,ji'shu'yuan
建筑安全,jian'zhu'an'quan
建筑类专业,jian'zhu'lei'zhuan'ye
建筑学院,jian'zhu'xue'yuan
经济纠纷,jing'ji'jiu'fen
企事业单位,qi'shi'ye'dan'wei
企业管理,qi'ye'guan'li
人身财产保险,ren'shen'cai'chan'bao'xian
施工场所,shi'gong'chang'suo
施工方案,shi'gong'fang'an
施工现场应急预案,shi'gong'xian'chang'ying'ji'yu'an
特殊工种,te'shu'gong'zhong
拖欠工程款,tuo'qian'gong'cheng'kuan
文明验收,wen'ming'yan'shou
岩土考察,yan'tu'kao'cha
正规化,zheng'gui'hua
职业道德,zhi'ye'dao'de
