斑点,ban'dian
斑点定位法,ban'dian'ding'wei'fa
半高峰宽,ban'gao'feng'kuan
板效能,ban'xiao'neng
棒状色谱柱,bang'zhuang'se'pu'zhu
薄层板,bao'ceng'ban
薄层棒色谱法,bao'ceng'bang'se'pu'fa
薄层扫描仪,bao'ceng'sao'miao'yi
薄层色谱法,bao'ceng'se'pu'fa
保护柱,bao'hu'zhu
保留常数值,bao'liu'chang'shu'zhi
保留时间,bao'liu'shi'jian
保留体积,bao'liu'ti'ji
比移值,bi'yi'zhi
边缘效应,bian'yuan'xiao'ying
薄壳型填充剂,bo'qiao'xing'tian'chong'ji
程序流速,cheng'xu'liu'su
程序溶剂,cheng'xu'rong'ji
程序压力,cheng'xu'ya'li
尺寸排除色谱法,chi'cun'pai'chu'se'pu'fa
等度洗脱,deng'du'xi'tuo
等水容剂,deng'shui'rong'ji
电化学检测器,dian'hua'xue'jian'ce'qi
点样器,dian'yang'qi
叠加法,die'jia'fa
多次展开,duo'ci'zhan'kai
多孔型填充剂,duo'kong'xing'tian'chong'ji
二阶中心矩,er'jie'zhong'xin'ju
阀进样,fa'jin'yang
反冲,fan'chong
反峰,fan'feng
反相薄层板,fan'xiang'bao'ceng'ban
反相液相色谱法,fan'xiang'ye'xiang'se'pu'fa
放射自显影法,fang'she'zi'xian'ying'fa
分步展开,fen'bu'zhan'kai
分离度,fen'li'du
分离因子,fen'li'yin'zi
峰底,feng'di
峰高,feng'gao
峰宽,feng'kuan
峰面积,feng'mian'ji
复班,fu'ban
负载容量,fu'zai'rong'liang
改性剂,gai'xing'ji
高比移值,gao'bi'yi'zhi
高效薄层色谱法,gao'xiao'bao'ceng'se'pu'fa
高效液相色谱法,gao'xiao'ye'xiang'se'pu'fa
工作站,gong'zuo'zhan
沟流,gou'liu
固定相,gu'ding'xiang
固定液,gu'ding'ye
拐点,guai'dian
管壁效应,guan'bi'xiao'ying
光密度计,guang'mi'du'ji
归一法,gui'yi'fa
过载,guo'zai
化学键合相填充剂,hua'xue'jian'he'xiang'tian'chong'ji
环形展开,huan'xing'zhan'kai
混合柱,hun'he'zhu
活化,huo'hua
积分检测器,ji'fen'jian'ce'qi
积分仪,ji'fen'yi
畸峰,ji'feng
记录器,ji'lu'qi
基体,ji'ti
基线,ji'xian
基线漂移,ji'xian'piao'yi
基线噪声,ji'xian'zao'sheng
假峰,jia'feng
加宽校正,jia'kuan'jiao'zheng
加宽校正因子,jia'kuan'jiao'zheng'yin'zi
检测器,jian'ce'qi
间隔臂效应,jian'ge'bi'xiao'ying
校准函数或校准曲线,jiao'zhun'han'shu'huo'jiao'zhun'qu'xian
浸渍薄层色谱法,jin'zi'bao'ceng'se'pu'fa
径向展开,jing'xiang'zhan'kai
孔体积,kong'ti'ji
空心柱,kong'xin'zhu
粒间体积,li'jian'ti'ji
离心展开,li'xin'zhan'kai
离子对色谱法,li'zi'dui'se'pu'fa
离子交换薄层色谱法,li'zi'jiao'huan'bao'ceng'se'pu'fa
离子交换剂,li'zi'jiao'huan'ji
离子交换容量,li'zi'jiao'huan'rong'liang
离子交换色谱法,li'zi'jiao'huan'se'pu'fa
离子色谱法,li'zi'se'pu'fa
离子抑制色谱法,li'zi'yi'zhi'se'pu'fa
连续展开,lian'xu'zhan'kai
流出液,liu'chu'ye
流动相,liu'dong'xiang
流动相前沿,liu'dong'xiang'qian'yan
流动相迁移距离,liu'dong'xiang'qian'yi'ju'li
馏分收集器,liu'fen'shou'ji'qi
流体力学体积,liu'ti'li'xue'ti'ji
内标法,nei'biao'fa
