阿和,a'he
阿空,a'kong
阿辽,a'liao
阿武,a'wu
阿岳,a'yue
阿丈,a'zhang
阿助,a'zhu
埃及神兽,ai'ji'shen'shou
爱精灵兽,ai'jing'ling'shou
艾力兽,ai'li'shou
爱心,ai'xin
安杜路兽,an'du'lu'shou
暗黑兽,an'hei'shou
奥柏兽,ao'bai'shou
奥菲尼兽,ao'fei'ni'shou
奥加兽,ao'jia'shou
奥米加兽,ao'mi'jia'shou
巴达兽,ba'da'shou
巴多拉兽,ba'duo'la'shou
巴鲁兽,ba'lu'shou
八神光,ba'shen'guang
八神嘉儿,ba'shen'jia'er
八神太一,ba'shen'tai'yi
白川恵,bai'chuan'hui
白虎兽,bai'hu'shou
百问兽,bai'wen'shou
百晓兽,bai'xiao'shou
白羊兽,bai'yang'shou
爆裂轰击,bao'lie'hong'ji
爆裂进化,bao'lie'jin'hua
暴龙改造者,bao'long'gai'zao'zhe
暴龙兽,bao'long'shou
暴雪兽,bao'xue'shou
北川健太,bei'chuan'jian'tai
本宫大辅,ben'gong'da'fu
比多兽,bi'duo'shou
比高兽,bi'gao'shou
比丘兽,bi'qiu'shou
比兹兽,bi'zi'shou
蝙蝠兽,bian'fu'shou
变色龙兽,bian'se'long'shou
冰见友树,bing'jian'you'shu
兵棋兽,bing'qi'shou
冰熊兽,bing'xiong'shou
波高兽,bo'gao'shou
博和,bo'he
布加兽,bu'jia'shou
裁决兽,cai'jue'shou
柴山纯平,chai'shan'chun'ping
超比多兽,chao'bi'duo'shou
超级火车兽,chao'ji'huo'che'shou
超进化,chao'jin'hua
超进化组件,chao'jin'hua'zu'jian
城户丈,cheng'hu'zhang
诚实,cheng'shi
成熟期,cheng'shu'qi
成长期,cheng'zhang'qi
虫虫兽,chong'chong'shou
穿山兽,chuan'shan'shou
纯平,chun'ping
纯真,chun'zhen
大便兽,da'bian'shou
大地暴龙兽,da'di'bao'long'shou
大耳兽,da'er'shou
大辅,da'fu
大古拉兽,da'gu'la'shou
大和,da'he
大门大,da'men'da
大门小百合,da'men'xiao'bai'he
大门知香,da'men'zhi'xiang
大象兽,da'xiang'shou
大嘴鸟兽,da'zui'niao'shou
袋鼠兽,dai'shu'shou
蛋蛋兽,dan'dan'shou
单角龙兽,dan'jiao'long'shou
稻草人兽,dao'cao'ren'shou
道士兽,dao'shi'shou
迪哥兽,di'ge'shou
帝皇龙甲兽,di'huang'long'jia'shou
帝厉魔,di'li'mo
迪路兽,di'lu'shou
帝王暴龙机,di'wang'bao'long'ji
电光兽,dian'guang'shou
蝶虫兽,die'chong'shou
丁香兽,ding'xiang'shou
洞穴兽,dong'xue'shou
豆丁兽,dou'ding'shou
豆苗兽,dou'miao'shou
独角兽,du'jiao'shou
对偶神兽,dui'ou'shen'shou
钝钝兽,dun'dun'shou
堕天地狱兽,duo'tian'di'yu'shou
恶魔兽,e'mo'shou
饭刚,fan'gang
飞虫兽,fei'chong'shou
飞虎兽,fei'hu'shou
飞鼠兽,fei'shu'shou
飞行机械兽,fei'xing'ji'xie'shou
飞鱼兽,fei'yu'shou
分身术,fen'shen'shu
分子兽,fen'zi'shou
凤凰兽,feng'huang'shou
风神兽,feng'shen'shou
浮球兽,fu'qiu'shou
浮游兽,fu'you'shou
钢蜂兽,gang'feng'shou
钢铁海龙兽,gang'tie'hai'long'shou
钢铁加鲁鲁,gang'tie'jia'lu'lu
钢钻兽,gang'zuan'shou
高石武,gao'shi'wu
高石岳,gao'shi'yue
哥多路兽,ge'duo'lu'shou
格拉尼,ge'la'ni
哥玛兽,ge'ma'shou
工藤大器,gong'teng'da'qi
古加兽,gu'jia'shou
古拉兽,gu'la'shou
古洛顿兽,gu'luo'dun'shou
古神兽,gu'shen'shou
古乐兽,gu'yue'shou
管狐兽,guan'hu'shou
光明,guang'ming
光子郎,guang'zi'lang
滚球兽,gun'qiu'shou
哈比兽,ha'bi'shou
海龟兽,hai'gui'shou
海马兽,hai'ma'shou
海人兽,hai'ren'shou
海鲨兽,hai'sha'shou
海狮兽,hai'shi'shou
海天使兽,hai'tian'shi'shou
河童兽,he'tong'shou
黑暗战斗暴龙兽,hei'an'zhan'dou'bao'long'shou
黑暗之塔,hei'an'zhi'ta
黑大耳兽,hei'da'er'shou
黑崎美树,hei'qi'mei'shu
黑球兽,hei'qiu'shou
黑狮兽,hei'shi'shou
黑鹰兽,hei'ying'shou
红卡,hong'ka
红莲骑士兽,hong'lian'qi'shi'shou
红莲骑士兽真红莲形态,hong'lian'qi'shi'shou'zhen'hong'lian'xing'tai
红蜜蜂兽,hong'mi'feng'shou
蝴蝶兽,hu'die'shou
花瓣龙兽,hua'ban'long'shou
花旦兽,hua'dan'shou
花龙兽,hua'long'shou
花仙兽,hua'xian'shou
幻影加奥加兽,huan'ying'jia'ao'jia'shou
黄金剑狮兽,huang'jin'jian'shi'shou
黄金拉比兽,huang'jin'la'bi'shou
皇蛇兽,huang'she'shou
辉二,hui'er
辉一,hui'yi
昏暗兽,hun'an'shou
火车兽,huo'che'shou
火龙兽,huo'long'shou
火神兽,huo'shen'shou
火田伊织,huo'tian'yi'zhi
及川悠纪夫,ji'chuan'you'ji'fu
极恶魔王,ji'e'mo'wang
极恶吸血魔兽,ji'e'xi'xue'mo'shou
基尔兽,ji'er'shou
基基兽,ji'ji'shou
机甲龙兽,ji'jia'long'shou
基路比兽,ji'lu'bi'shou
基米拉兽,ji'mi'la'shou
机械暴龙兽,ji'xie'bao'long'shou
机械邪龙兽,ji'xie'xie'long'shou
加奥加兽,jia'ao'jia'shou
加奥兽,jia'ao'shou
加布兽,jia'bu'shou
甲虫兽,jia'chong'shou
嘉儿,jia'er
加高兽,jia'gao'shou
伽路达兽,jia'lu'da'shou
加鲁哥兽,jia'lu'ge'shou
加鲁鲁兽,jia'lu'lu'shou
加藤树莉,jia'teng'shu'li
建良,jian'liang
剑龙兽,jian'long'shou
健太,jian'tai
箭猪兽,jian'zhu'shou
金刚杵兽,jin'gang'chu'shou
金刚界曼陀罗,jin'gang'jie'man'tuo'luo
金刚武神兽,jin'gang'wu'shen'shou
进化徽章,jin'hua'hui'zhang
进化钥匙,jin'hua'yao'shi
金甲龙兽,jin'jia'long'shou
鲸人兽,jing'ren'shou
井上京,jing'shang'jing
究极古加兽,jiu'ji'gu'jia'shou
究极进化,jiu'ji'jin'hua
究极魔兽,jiu'ji'mo'shou
究极体,jiu'ji'ti
究极天使兽,jiu'ji'tian'shi'shou
究极吸血魔兽,jiu'ji'xi'xue'mo'shou
九尾狐瘦,jiu'wei'hu'shou
