成都市成华区,cheng'du'shi'cheng'hua'qu
成都市锦江区,cheng'du'shi'jin'jiang'qu
成都市金牛区,cheng'du'shi'jin'niu'qu
成都市龙泉驿区,cheng'du'shi'long'quan'yi'qu
成都市青白江区,cheng'du'shi'qing'bai'jiang'qu
成都市青羊区,cheng'du'shi'qing'yang'qu
成都市温江区,cheng'du'shi'wen'jiang'qu
成都市武侯区,cheng'du'shi'wu'hou'qu
成都市新都区,cheng'du'shi'xin'du'qu
崇州市,chong'zhou'shi
大邑县,da'yi'xian
都江堰市,du'jiang'yan'shi
金堂县,jin'tang'xian
彭州市,peng'zhou'shi
郫县,pi'xian
蒲江县,pu'jiang'xian
邛崃市,qiong'lai'shi
双流县,shuang'liu'xian
新津县,xin'jin'xian
