阿拉,a'la
阿無卵,a'mo'luan
阿无卵,a'wu'luan
爱民,ai'min
鞍山新村,an'shan'xin'cun
澳门路,ao'men'lu
八佰伴,ba'bai'ban
八号桥,ba'hao'qiao
巴林路,ba'lin'lu
八桥,ba'qiao
巴士四汽,ba'shi'si'qi
巴士一汽,ba'shi'yi'qi
八字,ba'zi
白城路,bai'cheng'lu
白渡路,bai'du'lu
白渡桥,bai'du'qiao
白鹤憩园,bai'he'qi'yuan
白丽路,bai'li'lu
白莲泾,bai'lian'jing
白龙港,bai'long'gang
百曲,bai'qu
白沙,bai'sha
白相,bai'xiang
白杨路,bai'yang'lu
白衣聚,bai'yi'ju
白玉路,bai'yu'lu
半凇园路,ban'song'yuan'lu
宝安新苑,bao'an'xin'yuan
宝北村,bao'bei'cun
宝昌路,bao'chang'lu
宝城路,bao'cheng'lu
报春路,bao'chun'lu
报春新村,bao'chun'xin'cun
保德路,bao'de'lu
保定路,bao'ding'lu
宝东路,bao'dong'lu
宝钢医院,bao'gang'yi'yuan
宝交公司,bao'jiao'gong'si
保乐路,bao'le'lu
宝林路,bao'lin'lu
宝林支路,bao'lin'zhi'lu
宝南路,bao'nan'lu
宝山,bao'shan
宝山宾馆,bao'shan'bin'guan
宝山路,bao'shan'lu
宝山医院,bao'shan'yi'yuan
宝山镇,bao'shan'zhen
保税区,bao'shui'qu
保税区港区,bao'shui'qu'gang'qu
包头路,bao'tou'lu
包头南路,bao'tou'nan'lu
宝秀路,bao'xiu'lu
宝杨路,bao'yang'lu
宝杨路汽车站,bao'yang'lu'qi'che'zhan
宝杨码头,bao'yang'ma'tou
宝仪花苑,bao'yi'hua'yuan
宝仪花园,bao'yi'hua'yuan
北艾路,bei'ai'lu
北宝兴路,bei'bao'xing'lu
北蔡,bei'cai
北蔡中学,bei'cai'zhong'xue
北丁,bei'ding
贝港,bei'gang
北港,bei'gang
北虹路,bei'hong'lu
北虹路延安中学,bei'hong'lu'yan'an'zhong'xue
北街,bei'jie
北京东路,bei'jing'dong'lu
北京东路外滩,bei'jing'dong'lu'wai'tan
北京路外滩,bei'jing'lu'wai'tan
北京西路,bei'jing'xi'lu
北林路,bei'lin'lu
北马村,bei'ma'cun
北门,bei'men
北区汽车站,bei'qu'qi'che'zhan
北市场,bei'shi'chang
北石路,bei'shi'lu
北宋,bei'song
北新,bei'xin
北新泾,bei'xin'jing
北新泾镇,bei'xin'jing'zhen
北行,bei'xing
北杨村,bei'yang'cun
北洋径路,bei'yang'jing'lu
北洋泾路,bei'yang'jing'lu
北园路,bei'yuan'lu
北宅,bei'zhai
北翟路,bei'zhai'lu
北张华浜,bei'zhang'hua'bang
北张华滨,bei'zhang'hua'bin
北中路,bei'zhong'lu
本溪路,ben'xi'lu
碧云路,bi'yun'lu
宾阳路,bin'yang'lu
博山东路,bo'shan'dong'lu
博山路,bo'shan'lu
博文路,bo'wen'lu
博兴路,bo'xing'lu
蔡家弄,cai'jia'nong
蔡桥,cai'qiao
仓房浜,cang'fang'bang
苍梧路,cang'wu'lu
苍梧路钦州北路,cang'wu'lu'qin'zhou'bei'lu
草庵,cao'an
曹安路,cao'an'lu
漕宝路,cao'bao'lu
漕宝路桂林路,cao'bao'lu'gui'lin'lu
漕宝路六号桥,cao'bao'lu'liu'hao'qiao
漕宝路七号桥,cao'bao'lu'qi'hao'qiao
漕宝路四号桥,cao'bao'lu'si'hao'qiao
漕宝路停车场,cao'bao'lu'ting'che'chang
漕宝路五号桥,cao'bao'lu'wu'hao'qiao
漕东支路,cao'dong'zhi'lu
草高路,cao'gao'lu
漕河径,cao'he'jing
漕河泾,cao'he'jing
曹家渡,cao'jia'du
曹家宅,cao'jia'zhai
曹路,cao'lu
曹溪北路,cao'xi'bei'lu
漕溪北路,cao'xi'bei'lu
曹行,cao'xing
曹行镇,cao'xing'zhen
曹阳八村,cao'yang'ba'cun
曹杨八村,cao'yang'ba'cun
曹杨六村,cao'yang'liu'cun
曹阳路,cao'yang'lu
曹杨路,cao'yang'lu
