廣修供養懺悔業障,an'xiu'gong'yang'chan'hui'ye'zhang
被弘誓鎧,bei'hong'shi'kai
波羅密多,bo'luo'mi'duo
不可以少善根福德因緣,bu'ke'yi'shao'shan'gen'fu'de'yin'yuan
得生彼國,de'sheng'bi'guo
加到你頭上,jia'dao'ni'tou'shang
皆得神通自在,jie'de'shen'tong'zi'zai
禮敬諸佛稱讚如來,li'jing'zhu'fo'cheng'zan'ru'lai
普賢菩薩十大願王,pu'xian'pu'sa'shi'da'yuan'wang
誰啊雲谷禪師,shei'a'yun'gu'chan'shi
什麼哥德巴赫猜想,shen'mo'ge'de'ba'he'cai'xiang
世間那富貴如五更春夢啊,shi'jian'na'fu'gui'ru'wu'geng'chun'meng'a
隨喜功德請轉法輪,sui'xi'gong'de'qing'zhuan'fa'lun
天降禍猶可過,tian'jiang'huo'you'ke'guo
也不是用那一種,ye'bu'shi'yong'na'yi'zhong
以宏誓功德而自莊嚴,yi'hong'shi'gong'de'er'zi'zhuang'yan
造謠誹謗打擊陷害,zao'yao'fei'bang'da'ji'xian'hai
這個人非愚即狂,zhe'ge'ren'fei'yu'ji'kuang
自作孽不可活,zi'zuo'nie'bu'ke'huo
