巴豆,ba'dou
巴豆油,ba'dou'you
白常山,bai'chang'shan
白细辛,bai'xi'xin
驳骨丹,bo'gu'dan
博落回,bo'luo'hui
藏茄,cang'jia
草乌头,cao'wu'tou
侧子,ce'zi
蟾酥,chan'su
常山,chang'shan
川乌头,chuan'wu'tou
船形乌头,chuan'xing'wu'tou
大风子,da'feng'zi
大风子油,da'feng'zi'you
大戟,da'ji
大狼毒,da'lang'du
大一枝箭,da'yi'zhi'jian
灯盏细辛,deng'zhan'xi'xin
地乌,di'wu
滇常山,dian'chang'shan
东莨宕,dong'liang'dang
毒芹根,du'qin'gen
毒鱼藤,du'yu'teng
峨山草乌,e'shan'cao'wu
粉霜,fen'shuang
附子,fu'zi
甘遂,gan'sui
狗肝,gou'gan
钩吻,gou'wen
关白附,guan'bai'fu
河豚,he'tun
河豚目,he'tun'mu
河豚鱼肝油,he'tun'yu'gan'you
河豚子,he'tun'zi
黑细辛,hei'xi'xin
花脸细辛,hua'lian'xi'xin
黄花夹竹桃,huang'hua'jia'zhu'tao
黄花夹竹桃叶,huang'hua'jia'zhu'tao'ye
黄细辛,huang'xi'xin
火焰子,huo'yan'zi
鸡肠狼毒,ji'chang'lang'du
急毒药材,ji'du'yao'cai
鸡骨常山,ji'gu'chang'shan
莨菪根,lang'dang'gen
莨菪叶,lang'dang'ye
狼毒,lang'du
雷公藤,lei'gong'teng
了哥王,liao'ge'wang
了哥王根,liao'ge'wang'gen
了哥王子,liao'ge'wang'zi
铃兰,ling'lan
漏篮子,lou'lan'zi
露蕊乌头,lu'rui'wu'tou
吕宋果,lv'song'guo
吕宋楸毛,lv'song'qiu'mao
麻蕡,ma'fen
马肝,ma'gan
马钱子,ma'qian'zi
马桑根,ma'sang'gen
马桑树皮,ma'sang'shu'pi
马桑叶,ma'sang'ye
马蹄细辛,ma'ti'xi'xin
麦角,mai'jiao
曼陀茄根,man'tuo'jia'gen
曼佗罗根,man'tuo'luo'gen
曼佗罗叶,man'tuo'luo'ye
曼佗罗子,man'tuo'luo'zi
蔓乌头,man'wu'tou
毛茛,mao'gen
毛叶巴豆,mao'ye'ba'dou
美商陆,mei'shang'lu
闹狗药,nao'gou'yao
硇砂,nao'sha
闹羊花,nao'yang'hua
披麻草,pi'ma'cao
披麻草根,pi'ma'cao'gen
砒石,pi'shi
砒霜,pi'shuang
千金子,qian'jin'zi
荨麻,qian'ma
荨麻根,qian'ma'gen
轻粉,qing'fen
赛莨菪,sai'lang'dang
三白草,san'bai'cao
三白草根,san'bai'cao'gen
三分三,san'fen'san
三角风,san'jiao'feng
商陆,shang'lu
商陆花,shang'lu'hua
苕叶细辛,shao'ye'xi'xin
蛇附子,she'fu'zi
射罔,she'wang
生漆,sheng'qi
石盐,shi'yan
水银,shui'yin
四叶细辛,si'ye'xi'xin
藤黄,teng'huang
藤商陆,teng'shang'lu
藤乌头,teng'wu'tou
藤仲,teng'zhong
天仙子,tian'xian'zi
天雄,tian'xiong
铁棒槌,tie'bang'chui
铁棒锤茎叶,tie'bang'chui'jing'ye
土常山,tu'chang'shan
土瓜狼毒,tu'gua'lang'du
芜花,wu'hua
芜花根,wu'hua'gen
乌头附子尖,wu'tou'fu'zi'jian
无爷藤,wu'ye'teng
锡生藤,xi'sheng'teng
细辛,xi'xin
细叶大戟,xi'ye'da'ji
小白撑,xiao'bai'cheng
小草乌,xiao'cao'wu
雪上一枝蒿,xue'shang'yi'zhi'hao
雪乌,xue'wu
盐胆水,yan'dan'shui
洋金花,yang'jin'hua
羊踯躅根,yang'zhi'zhu'gen
野百合,ye'bai'he
野颠茄,ye'dian'qie
野决明,ye'jue'ming
野棉花,ye'mian'hua
一叶荻,yi'ye'di
禹白附,yu'bai'fu
窄叶大戟,zhai'ye'da'ji
紫花鱼灯草,zi'hua'yu'deng'cao
紫金皮,zi'jin'pi
醉马草,zui'ma'cao
醉鱼草,zui'yu'cao
醉鱼草花,zui'yu'cao'hua
