阿飞,a'fei
岸本,an'ben
暗部,an'bu
八卦六十四掌,ba'gua'liu'shi'si'zhang
八门遁甲,ba'men'dun'jia
八俣大蛇,ba'yu'da'she
白,bai
白虎,bai'hu
白眼,bai'yan
半藏,ban'cang
倍化之术,bei'hua'zhi'shu
变化术,bian'hua'shu
表莲华,biao'lian'hua
不知火玄马,bu'zhi'huo'xuan'ma
查克拉,cha'ke'la
赤砂之蝎,chi'sha'zhi'xie
赤铜铠,chi'tong'kai
赤丸,chi'wan
创造再生,chuang'zao'zai'sheng
春野樱,chun'ye'ying
此处非之术,ci'chu'fei'zhi'shu
次郎坊,ci'lang'fang
大瀑布之术,da'pu'bu'zhi'shu
大蛇丸,da'she'wan
迪达拉,di'da'la
定身术,ding'shen'shu
杜门,du'men
多重影分身之术,duo'chong'ying'fen'shen'zhi'shu
多由也,duo'you'ye
二代,er'dai
飞段,fei'duan
分身术,fen'shen'shu
风遁之术,feng'dun'zhi'shu
封火法印,feng'huo'fa'yin
风魔手里剑影风车,feng'mo'shou'li'jian'ying'feng'che
风魔之血,feng'mo'zhi'xue
风沙阵,feng'sha'zhen
凤仙火之术,feng'xian'huo'zhi'shu
封邪法印,feng'xie'fa'yin
干柿鬼鲛,gan'shi'gui'jiao
纲手,gang'shou
鬼童丸,gui'tong'wan
蛤蟆口束缚术,ha'ma'kou'shu'fu'shu
蛤蟆文太,ha'ma'wen'tai
海野伊鲁卡,hai'ye'yi'lu'ka
貉,hao
豪火球之术,hao'huo'qiu'zhi'shu
黑暗行之术,hei'an'xing'zhi'shu
后宫之术,hou'gong'zhi'shu
狐狸心中之术,hu'li'xin'zhong'zhi'shu
幻龙九封印,huan'long'jiu'feng'yin
幻术,huan'shu
回天,hui'tian
秽土转生,hui'tu'zhuan'sheng
火遁,huo'dun
火龙炎弹,huo'long'yan'tan
火影,huo'ying
火之国,huo'zhi'guo
矶抚,ji'fu
剑三隅,jian'san'yu
角都,jiao'dou
结印,jie'yin
禁术,jin'shu
惊门,jing'men
景门,jing'men
九尾狐,jiu'wei'hu
绝,jue
君麻吕,jun'ma'lv
开门,kai'men
勘九郎,kan'jiu'lang
苦无,ku'wu
蛞蝓,kuo'yu
雷遁,lei'dun
雷切,lei'qie
雷兽,lei'shou
里莲华,li'lian'hua
李洛克,li'luo'ke
练空弹,lian'kong'tan
灵媒之术,ling'mei'zhi'shu
胧分身之术,long'fen'shen'zhi'shu
龙火之术,long'huo'zhi'shu
螺旋丸,luo'xuan'wan
脉络,mai'luo
猫又,mao'you
鸣人连弹,ming'ren'lian'tan
冥王,ming'wang
魔幻镜天地,mo'huan'jing'tian'di
魔镜冰晶,mo'jing'bing'jing
木遁,mu'dun
木叶,mu'ye
木叶白牙,mu'ye'bai'ya
木叶烈风,mu'ye'lie'feng
木叶忍者,mu'ye'ren'zhe
木叶丸,mu'ye'wan
木叶旋风,mu'ye'xuan'feng
奈烙见之术,nai'lao'jian'zhi'shu
奈良鹿丸,nai'liang'lu'wan
拟人忍法,ni'ren'ren'fa
拟兽忍法,ni'shou'ren'fa
拟影术,ni'ying'shu
涅盘精舍之术,nie'pan'jing'she'zhi'shu
浓眉,nong'mei
佩因,pei'yin
彭侯,peng'hou
旗木卡卡西,qi'mu'ka'ka'xi
旗木蒴茂传,qi'mu'shuo'mao'chuan
千年杀,qian'nian'sha
千鸟,qian'niao
千杀水翔,qian'sha'shui'xiang
潜影蛇手,qian'ying'she'shou
切都,qie'dou
青龙,qing'long
秋道丁次,qiu'dao'ding'ci
犬冢牙,quan'zhong'ya
认识札,ren'shi'zha
人柱力,ren'zhu'li
日向雏田,ri'xiang'chu'tian
日向花火,ri'xiang'hua'huo
日向宁次,ri'xiang'ning'ci
日向日差,ri'xiang'ri'cha
日向日足,ri'xiang'ri'zu
日向一族,ri'xiang'yi'zu
肉弹战车,rou'dan'zhan'che
三代,san'dai
三日月之舞,san'ri'yue'zhi'wu
色诱之术,se'you'zhi'shu
森乃伊比喜,sen'nai'yi'bi'xi
砂縳柩,sha'juan'jiu
砂瀑送葬,sha'pu'song'zang
沙忍,sha'ren
砂手里剑,sha'shou'li'jian
山中井野,shan'zhong'jing'ye
伤门,shang'men
上忍,shang'ren
舌齿粘酸,she'chi'zhan'suan
神月出云,shen'yue'chu'yun
生门,sheng'men
尸鬼封尽,shi'gui'feng'jin
守鹤,shou'he
