爱克发,ai'ke'fa
暗角,an'jiao
奥林巴斯,ao'lin'ba'si
奥林巴斯口,ao'lin'ba'si'kou
白板,bai'ban
百诺,bai'nuo
白平衡,bai'ping'heng
保谷,bao'gu
曝光补偿,bao'guang'bu'chang
饱和度,bao'he'du
包围曝光,bao'wei'bao'guang
背景布,bei'jing'bu
背景纸,bei'jing'zhi
边缘失光,bian'yuan'shi'guang
标准变焦,biao'zhun'bian'jiao
标准镜头,biao'zhun'jing'tou
宾得,bin'de
宾得口,bin'de'kou
布朗,bu'lang
蔡司,cai'si
测光表,ce'guang'biao
插件,cha'jian
场曲,chang'qu
超广角,chao'guang'jiao
超声波马达,chao'sheng'bo'ma'da
冲印,chong'yin
吹气球,chui'qi'qiu
大变焦比,da'bian'jiao'bi
大画幅,da'hua'fu
打印,da'yin
大自然,da'zi'ran
单电,dan'dian
德头,de'tou
灯架,deng'jia
灯箱,deng'xiang
灯箱片,deng'xiang'pian
灯罩,deng'zhao
杜马克,du'ma'ke
镀膜,du'mo
对比度,dui'bi'du
对焦放大镜,dui'jiao'fang'da'jing
对焦屏,dui'jiao'ping
多层镀膜,duo'ceng'du'mo
多次曝光,duo'ci'bao'guang
法兰距,fa'lan'ju
反光板,fan'guang'ban
反转片,fan'zhuan'pian
防潮箱,fang'chao'xiang
放大率,fang'da'lv
非球面,fei'qiu'mian
飞思,fei'si
福伦达,fu'lun'da
富士,fu'shi
冈仁波齐,gang'ren'bo'qi
高坚,gao'jian
高明,gao'ming
高速镜头,gao'su'jing'tou
高压气罐,gao'ya'qi'guan
观片器,guan'pian'qi
光圈,guang'quan
过曝,guo'bao
哈苏,ha'su
黑板,hei'ban
后帘同步,hou'lian'tong'bu
画幅,hua'fu
坏点,huai'dian
慧差,hui'cha
灰度卡,hui'du'ka
畸变,ji'bian
技术相机,ji'shu'xiang'ji
佳能,jia'neng
佳能口,jia'neng'kou
减光镜,jian'guang'jing
焦距转换系数,jiao'ju'zhuan'huan'xi'shu
焦平面,jiao'ping'mian
接口,jie'kou
捷信,jie'xin
金贝,jin'bei
近摄镜,jin'she'jing
近摄皮腔,jin'she'pi'qiang
近摄套筒,jin'she'tao'tong
金钟,jin'zhong
京瓷,jing'ci
景深,jing'shen
景深预览,jing'shen'yu'lan
镜头,jing'tou
镜头架,jing'tou'jia
静物台,jing'wu'tai
卡西欧,ka'xi'ou
康泰时,kang'tai'shi
柯达,ke'da
柯尼卡,ke'ni'ka
肯高,ken'gao
口径,kou'jing
快门线,kuai'men'xian
快装板,kuai'zhuang'ban
宽容度,kuan'rong'du
莱卡,lai'ka
乐摄宝,le'she'bao
理光,li'guang
利图,li'tu
亮点,liang'dian
裂像屏,lie'xiang'ping
林哈夫,lin'ha'fu
禄来,lu'lai
罗顿斯德,luo'dun'si'de
滤镜,lv'jing
玛米亚,ma'mi'ya
曼富图,man'fu'tu
美能达,mei'neng'da
弥散圆,mi'san'yuan
魔术手,mo'shu'shou
尼康,ni'kang
尼康口,ni'kang'kou
尼克尔,ni'ke'er
旁轴,pang'zhou
片夹,pian'jia
偏振镜,pian'zhen'jing
骑士,qi'shi
前帘同步,qian'lian'tong'bu
球台,qiu'tai
球形象差,qiu'xing'xiang'cha
取景器,qu'jing'qi
全画幅,quan'hua'fu
热靴,re'xue
柔光镜,rou'guang'jing
色阶,se'jie
色偏,se'pian
色散,se'san
色深度,se'shen'du
世光,shi'guang
失光,shi'guang
适马,shi'ma
施耐德,shi'nai'de
视野,shi'ye
手柄,shou'bing
数码后背,shu'ma'hou'bei
松下,song'xia
索尼,suo'ni
太阳灯,tai'yang'deng
腾龙,teng'long
通光量,tong'guang'liang
图丽,tu'li
推拉镜头,tui'la'jing'tou
微单,wei'dan
微硬盘,wei'ying'pan
仙娜,xian'na
纤维灯,xian'wei'deng
像场,xiang'chang
相机,xiang'ji
象散,xiang'san
小数码,xiao'shu'ma
肖特玻璃,xiao'te'bo'li
新闻灯,xin'wen'deng
星座,xing'zuo
雅佳,ya'jia
伊尔福,yi'er'fu
移轴,yi'zhou
引闪器,yin'shan'qi
萤石玻璃,ying'shi'bo'li
影室灯,ying'shi'deng
预闪,yu'shan
脏点,zang'dian
噪点,zao'dian
增距镜,zeng'ju'jing
遮光罩,zhe'guang'zhao
中画幅,zhong'hua'fu
主控灯,zhu'kong'deng
转机,zhuan'ji
