阿拉伯式柱头,a'la'bo'shi'zhu'tou
按摩室,an'mo'shi
安全出口,an'quan'chu'kou
安全岛,an'quan'dao
安全管理,an'quan'guan'li
安全照明,an'quan'zhao'ming
暗适应,an'shi'ying
巴洛克建筑,ba'luo'ke'jian'zhu
拔磉,ba'sang
扒山廊,ba'shan'lang
百分比收费,bai'fen'bi'shou'fei
百货商店,bai'huo'shang'dian
百页窗,bai'ye'chuang
百叶型风口,bai'ye'xing'feng'kou
拜占庭建筑,bai'zhan'ting'jian'zhu
半常绿植物,ban'chang'lv'zhi'wu
半岛园,ban'dao'yuan
办公建筑,ban'gong'jian'zhu
板筋,ban'jin
半耐寒植物,ban'nai'han'zhi'wu
半球形穹顶,ban'qiu'xing'qiong'ding
板岩,ban'yan
半圆形壁龛,ban'yuan'xing'bi'kan
棒球场,bang'qiu'chang
饱和空气温度,bao'he'kong'qi'wen'du
保护层,bao'hu'ceng
保护防爆灯具,bao'hu'fang'bao'deng'ju
保护区,bao'hu'qu
保护热箱法,bao'hu're'xiang'fa
刨花板,bao'hua'ban
报警阀,bao'jing'fa
抱框,bao'kuang
保龄球场,bao'ling'qiu'chang
保税区,bao'shui'qu
抱头梁,bao'tou'liang
保温,bao'wen
保养间,bao'yang'jian
包子铺,bao'zi'pu
被动式太阳房,bei'dong'shi'tai'yang'fang
被抚养人口,bei'fu'yang'ren'kou
背景,bei'jing
背景噪声,bei'jing'zao'sheng
壁柜,bi'gui
闭架管理,bi'jia'guan'li
避雷设计,bi'lei'she'ji
壁炉,bi'lu
闭路电视系统,bi'lu'dian'shi'xi'tong
壁泉,bi'quan
比热,bi're
壁纸,bi'zhi
变风量系统,bian'feng'liang'xi'tong
变更通告单,bian'geng'tong'gao'dan
边框,bian'kuang
边篱,bian'li
边幕,bian'mu
变形缝,bian'xing'feng
边缘效应,bian'yuan'xiao'ying
边缘种植,bian'yuan'zhong'zhi
表面片落,biao'mian'pian'luo
表面起泡,biao'mian'qi'pao
表面温度,biao'mian'wen'du
表演区,biao'yan'qu
标语牌,biao'yu'pai
标准分项,biao'zhun'fen'xiang
标准时,biao'zhun'shi
标准有效温度,biao'zhun'you'xiao'wen'du
标准撞击器,biao'zhun'zhuang'ji'qi
宾馆,bin'guan
冰雹,bing'bao
冰球场,bing'qiu'chang
波动声学,bo'dong'sheng'xue
搏缝版,bo'feng'ban
博古架,bo'gu'jia
波浪式浴盆,bo'lang'shi'yu'pen
玻璃丝,bo'li'si
玻璃制品,bo'li'zhi'pin
波形瓦,bo'xing'wa
薄质涂料,bo'zhi'tu'liao
播种盘,bo'zhong'pan
布店,bu'dian
不对称平衡,bu'dui'chen'ping'heng
布告窗,bu'gao'chuang
不击舟,bu'ji'zhou
补间铺作,bu'jian'pu'zuo
布景,bu'jing
哺乳室,bu'ru'shi
步石,bu'shi
擦窗机,ca'chuang'ji
材,cai
彩度,cai'du
采光,cai'guang
采光均匀度,cai'guang'jun'yun'du
采光口,cai'guang'kou
采光系数,cai'guang'xi'shu
采光罩,cai'guang'zhao
材料计算蓄热系数,cai'liao'ji'suan'xu're'xi'shu
裁判席,cai'pan'xi
餐室,can'shi
餐厅,can'ting
草坪加肥器,cao'ping'jia'fei'qi
草坪区,cao'ping'qu
草坪植物,cao'ping'zhi'wu
槽升子,cao'sheng'zi
草药花坛,cao'yao'hua'tan
草原景观,cao'yuan'jing'guan
草原生态系统,cao'yuan'sheng'tai'xi'tong
侧面采光,ce'mian'cai'guang
侧台,ce'tai
侧天窗,ce'tian'chuang
侧向反射声,ce'xiang'fan'she'sheng
层次,ceng'ci
层压材料,ceng'ya'cai'liao
茶厂,cha'chang
叉手,cha'shou
茶亭,cha'ting
拆除费用,chai'chu'fei'yong
拆建比,chai'jian'bi
颤动回声,chan'dong'hui'sheng
缠绕植物,chan'rao'zhi'wu
场地地形,chang'di'di'xing
场地分析,chang'di'fen'xi
场地工程,chang'di'gong'cheng
场地面积,chang'di'mian'ji
场地设施,chang'di'she'shi
场地通达度,chang'di'tong'da'du
厂房,chang'fang
常绿绿篱,chang'lv'lv'li
常设人工辅助照明,chang'she'ren'gong'fu'zhu'zhao'ming
场所,chang'suo
场所感,chang'suo'gan
常住人口,chang'zhu'ren'kou
超高层建筑,chao'gao'ceng'jian'zhu
陈列室,chen'lie'shi
城堡,cheng'bao
成本计划,cheng'ben'ji'hua
撑竿跳高场地,cheng'gan'tiao'gao'chang'di
乘客电梯,cheng'ke'dian'ti
城市,cheng'shi
城市布局,cheng'shi'bu'ju
城市地理学,cheng'shi'di'li'xue
城市电力系统,cheng'shi'dian'li'xi'tong
城市防洪,cheng'shi'fang'hong
城市防灾,cheng'shi'fang'zai
城市分类,cheng'shi'fen'lei
城市改建,cheng'shi'gai'jian
城市供热系统,cheng'shi'gong're'xi'tong
城市公园,cheng'shi'gong'yuan
城市公园系统,cheng'shi'gong'yuan'xi'tong
城市规划,cheng'shi'gui'hua
城市规划标准,cheng'shi'gui'hua'biao'zhun
城市规划实施,cheng'shi'gui'hua'shi'shi
城市规模,cheng'shi'gui'mo
城市核心,cheng'shi'he'xin
城市化,cheng'shi'hua
城市环境,cheng'shi'huan'jing
城市环境卫生,cheng'shi'huan'jing'wei'sheng
城市给水,cheng'shi'ji'shui
城市建设管理,cheng'shi'jian'she'guan'li
城市建筑法规,cheng'shi'jian'zhu'fa'gui
城市交通,cheng'shi'jiao'tong
城市结构,cheng'shi'jie'gou
